row_id,source_register,artifact_id,issue_type,severity,blocker_scope,recommended_action,can_code_comparison_proceed,must_fix_before_code_mutation,must_fix_before_runtime_mutation,must_fix_before_production,source_path_or_paths,source_row_evidence
TRIAGE-00011,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO,docs/canon/adopted_sources/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE.md,"The review must document timeline, impact, root and contributing causes, control performance, decision quality, detection gaps, recovery quality, communication quality, unresolved uncertainty, corrective owners, due date"
TRIAGE-00012,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,| Row
TRIAGE-00013,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,Adoption
TRIAGE-00014,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,Lock
TRIAGE-00015,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,P0
TRIAGE-00016,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,Open P1
TRIAGE-00017,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,Blocking P2
TRIAGE-00018,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,Retained P2 |
TRIAGE-00019,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_FORMAL_ADOPTION_VALIDATION.md,P0: `0`; open P1: `0`; adoption-blocking P2: `0`; retained nonblocking P2: `0`.
TRIAGE-00020,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,- Adoption-readiness findings: `P0 0; open P1 0; adoption-blocking P2 0`
TRIAGE-00021,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,P2,DOES_NOT_BLOCK_GLOBAL_READ_ONLY_COMPARISON,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,YES,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,"""blocker"": REPO / ""docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/C0_UNRESOLVED_LIFECYCLE_BLOCKER_LEDGER.md"","
TRIAGE-00022,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,P2,DOES_NOT_BLOCK_GLOBAL_READ_ONLY_COMPARISON,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,YES,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,"""blocker"": f""| {row_id}"
TRIAGE-00023,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,{family}
TRIAGE-00024,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,lock_required
TRIAGE-00025,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,FOUNDER_ADOPTED
TRIAGE-00026,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,"Adopted and controlling; constitutional lock remains separately gated. |"","
TRIAGE-00027,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,"f""| Privacy and Data Protection V2.0"
TRIAGE-00028,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,Adopted controlling constitutional canon
TRIAGE-00029,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,Founder adoption approved
TRIAGE-00030,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,Yes
TRIAGE-00031,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,`NOT YET LOCKED`
TRIAGE-00032,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,SHA-256 `{post_hashes[PRIVACY_MD]}`; P0/P1/blocking P2 0; all operational authority f
TRIAGE-00033,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,"f""| Reporting, Analytics, and Business Intelligence V2.0"
TRIAGE-00034,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,Adopted controlling constitutional canon
TRIAGE-00035,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,Founder adoption approved
TRIAGE-00036,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,Yes
TRIAGE-00037,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,`NOT YET LOCKED`
TRIAGE-00038,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,SHA-256 `{post_hashes[REPORTING_DOCX]}`; P0/P1/blocking P2 0; all
TRIAGE-00039,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,"write(directory / f""{row.replace('-', '_')}_RETAINED_P2_REGISTER.md"", f""# {row} Retained P2 Register\n\nRetained P2 findings: `0`. Adoption-blocking P2 findings: `0`. Constitutional lock remains separately gated.\n"")"
TRIAGE-00040,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,P1,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,YES_EXCEPT_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,"""findings"": {""p0"": 0, ""open_p1"": 0, ""adoption_blocking_p2"": 0},"
TRIAGE-00041,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,"checks[""retained_p2_accounting""] = build[""retained_p2""] == {""C0-023"": 0, ""C0-035"": 0}"
TRIAGE-00042,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,P1,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,YES_EXCEPT_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,"checks[""findings_gate""] = build[""findings""] == {""p0"": 0, ""open_p1"": 0, ""adoption_blocking_p2"": 0}"
TRIAGE-00043,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,"""findings"": {""p0"": 0, ""open_p1"": 0, ""adoption_blocking_p2"": 0, ""retained_nonblocking_p2"": 0},"
TRIAGE-00044,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,"lines.extend(["""", ""P0: `0`; open P1: `0`; adoption-blocking P2: `0`; retained nonblocking P2: `0`."", """", ""No substantive canon content changed. Constitutional lock was not issued. All operational authority remains `FALSE"
TRIAGE-00045,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,| Row
TRIAGE-00046,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,Adoption
TRIAGE-00047,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,Lock
TRIAGE-00048,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,P1,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,YES_EXCEPT_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,P0
TRIAGE-00049,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,P1,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,YES_EXCEPT_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,Open P1
TRIAGE-00050,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,OPEN_BLOCKING_FINDING_REQUIRES_SCOPE_GATE,P1,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Triage against affected feature/canon scope before relying on this artifact for mutation authority.,YES_EXCEPT_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES_FOR_AFFECTED_SCOPE,YES,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,Blocking P2
TRIAGE-00051,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,C0_023,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,Retained P2 |
