row_id,source_path,reason_excluded,blocker_scope,required_action_before_comparison,founder_disposition_required,second_reviewer_or_outside_review_closure_required
UNASSESSED-00028,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/C0_019_AGREEMENT_CONSENT_AND_AUTHORIZATION_CONSTITUTIONAL_ADOPTION_RECORD.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00029,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_ADOPTED_PRE_LOCK.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00030,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/history/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_PRE_ADOPTION_FOUNDER_APPROVED.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00031,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00032,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,Comparison blocker in triage register,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE | BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00033,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_C0_035_LOCK_READINESS_MASTER_REPORT.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00034,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_PRIVACY_LOCK_READINESS_ASSESSMENT.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00035,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_035_REPORTING_LOCK_READINESS_ASSESSMENT.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00036,docs/canon/adoptions/c0_023_c0_035_lock_readiness/tools/build_lock_readiness.py,Comparison blocker in triage register,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE | BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00037,docs/canon/adoptions/c0_023_privacy_v2_0/C0_023_LOCK_READINESS_PREPARATION.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00038,docs/canon/adoptions/c0_023_privacy_v2_0/C0_023_PRIVACY_AND_DATA_PROTECTION_CONSTITUTIONAL_ADOPTION_RECORD.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00039,docs/canon/adoptions/c0_035_reporting_v2_0/C0_035_LOCK_READINESS_PREPARATION.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00040,docs/canon/adoptions/c0_035_reporting_v2_0/C0_035_REPORTING_ANALYTICS_AND_BUSINESS_INTELLIGENCE_CONSTITUTIONAL_ADOPTION_RECORD.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00041,docs/canon/adoptions/equine_health_v1_1/EQUINE_HEALTH_V1_1_RETAINED_P2_REGISTER.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00042,docs/canon/candidates/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_FOUNDER_APPROVED.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00043,docs/canon/candidates/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V1_0.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00044,docs/canon/candidates/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V1_1.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00045,docs/canon/candidates/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V1_2.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00046,docs/canon/candidates/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00047,docs/canon/companions/CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_1.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00048,docs/canon/companions/CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_1.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00049,docs/canon/companions/EQUINESYNC_CANON_DEPENDENCY_MAP_V1_2.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00050,docs/canon/companions/EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_2.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00051,docs/canon/companions/EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_2.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00052,docs/canon/companions/MASTER_EQUINESYNC_FOUNDER_DECISION_REGISTER_V1_0.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00053,docs/canon/companions/MASTER_EQUINESYNC_GOVERNANCE_REQUIREMENT_INDEX_V1_0.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00054,docs/canon/companions/MASTER_EQUINESYNC_REQUIREMENT_TRACEABILITY_MATRIX_V1_0.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00055,docs/canon/founder_approved_sources/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_FOUNDER_APPROVED.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00056,docs/canon/founder_approved_sources/MASTER_REPORTING_ANALYTICS_AND_BUSINESS_INTELLIGENCE_MODEL_V2_0_FOUNDER_APPROVED.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00057,docs/canon/governance/MASTER_RECORD_GOVERNANCE_GAP_MATRIX_V2_0.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00058,docs/canon/governance/MASTER_RECORD_GOVERNANCE_GAP_MATRIX_V2_0_CLASSIFICATION_REPORT.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00059,docs/canon/history/MASTER_RELATIONSHIP_MODEL_V1_FINAL_LOCKED.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00060,docs/canon/history/agreement_consent_authorization_v2_0/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_0_HISTORICAL_SUPERSEDED_CANDIDATE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00061,docs/canon/intake/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_FOUNDER_SOURCE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00062,docs/canon/intake/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_CANDIDATE_SOURCE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00063,docs/canon/intake/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_V2_0_SOURCE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00064,docs/canon/intake/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_FOUNDER_SOURCE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00065,docs/canon/locks/privacy_v2_0/tools/build_c0_023_lock.py,Comparison blocker in triage register,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE | BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00066,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,Comparison blocker in triage register,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00067,docs/canon/registries/CANON_ARTIFACT_INVENTORY.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00068,docs/canon/registries/CANON_DEPENDENCY_REGISTRY.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00069,docs/canon/registries/CANON_LOCK_LEDGER.md,Comparison blocker in triage register,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00070,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00071,docs/canon/registries/DOMAIN_OWNER_AND_STEWARD_REGISTRY.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00072,docs/canon/registries/GOVERNANCE_FINDING_REGISTRY.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00073,docs/canon/registries/IMPLEMENTATION_AUTHORIZATION_REGISTRY.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00074,docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/C0_004_SOURCE_INVENTORY.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00075,docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/tools/build_c0_004.py,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00076,docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/tools/finalize_c0_004.py,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00077,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/C0_019_CHANGED_FILE_MANIFEST.json,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00078,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/C0_019_CROSS_CANON_IMPACT_REPORT.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00079,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/C0_019_EVIDENCE_PACKAGE_MANIFEST.json,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00080,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/C0_019_FINAL_LIFECYCLE_COMPLETION_REPORT.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00081,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/C0_019_PRIVACY_DEPENDENCY_IMPACT_REPORT.md,Comparison blocker in triage register,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00082,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/C0_019_SOURCE_IDENTITY_DECISION_RECORD.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00083,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/C0_019_SOURCE_INVENTORY.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00084,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/C0_019_SOURCE_SUCCESSION_ANALYSIS.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00085,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/source_event/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_ORIGINAL.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00086,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/tools/build_c0_019.py,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00087,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/tools/finalize_c0_019.py,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00088,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/tools/validate_and_package_c0_019.py,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00089,docs/canon/reviews/c0_022_permission_v1_1_source_identity_confirmation/C0_022_PERMISSION_V1_1_FOUNDER_SOURCE_IDENTITY_CONFIRMATION.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00090,docs/canon/reviews/c0_022_permission_v1_1_source_identity_confirmation/tools/record_c0_022_source_identity.py,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00091,docs/canon/reviews/c0_source_reconciliation_v1_0/EQUINESYNC_C0_SOURCE_RECONCILIATION_REPORT_V1_0.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00092,docs/canon/reviews/drafting_equine_health_welfare_medical_v1_0/SECTION_ISSUE_AND_RECOMMENDATION_LEDGER.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00093,docs/canon/reviews/drafting_equine_health_welfare_medical_v1_0/UNRESOLVED_QUESTION_REGISTER.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00094,docs/canon/reviews/drafting_minor_guardianship_safeguarding_v1_0/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_DELEGATED_ASSISTANCE_CANON_V1_0_DRAFT.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00095,docs/canon/reviews/drafting_minor_guardianship_safeguarding_v1_0/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_DELEGATED_ASSISTANCE_CANON_V1_0_REVISED_NONCONTROLLING_DRAFT.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00096,docs/canon/reviews/eight_canon_founder_approval_reconciliation_v1_0/tools/build_reconciliation.py,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00097,docs/canon/reviews/equine_health_founder_decision_reconciliation_v1_1/source/EQUINE_HEALTH_FOUNDER_DECISION_REGISTER_UPLOADED_2026-07-15.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00098,docs/canon/reviews/financial_truth_v2_1/FOUNDER_DIRECTIVE_FINANCIAL_TRUTH_V2_1_ADOPTION_AND_LOCK.md,Comparison blocker in triage register,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00099,docs/canon/reviews/financial_truth_v2_1/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1_FINDINGS_REGISTER.md,Comparison blocker in triage register,BLOCKS_AFFECTED_COMPARISON_OR_MUTATION_SCOPE,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
