row_id,artifact_id,source_path_or_paths,issue_type,blocker_scope,feature_scope,must_fix_before_code_mutation,must_fix_before_runtime_mutation,must_fix_before_production,required_action,authority_boundary
AUTHBLOCK-00023,EQUINE_HEALTH_V1_1_POST_ADOPTION_VALIDATION_REPORT,docs/canon/adoptions/equine_health_v1_1/EQUINE_HEALTH_V1_1_POST_ADOPTION_VALIDATION_REPORT.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,facility_barn_horse_lifecycle,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00024,EQUINE_HEALTH_V1_1_RETAINED_P2_REGISTER,docs/canon/adoptions/equine_health_v1_1/EQUINE_HEALTH_V1_1_RETAINED_P2_REGISTER.md,CANONICAL_SOURCE_CONFLICT_REQUIRES_REVIEW,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,facility_barn_horse_lifecycle,YES,YES,YES,Resolve or explicitly pin canonical governance source before using this artifact for implementation comparison.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00025,EQUINESYNC_SAFEGUARDING_V1_2_FOUNDER_ADOPTION_DIRECTIVE,docs/canon/adoptions/safeguarding_v1_2/EQUINESYNC_SAFEGUARDING_V1_2_FOUNDER_ADOPTION_DIRECTIVE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,facility_barn_horse_lifecycle|relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00026,SAFEGUARDING_V1_2_POST_ADOPTION_VALIDATION_REPORT,docs/canon/adoptions/safeguarding_v1_2/SAFEGUARDING_V1_2_POST_ADOPTION_VALIDATION_REPORT.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00027,SAFEGUARDING_V1_2_RETAINED_P2_REGISTER,docs/canon/adoptions/safeguarding_v1_2/SAFEGUARDING_V1_2_RETAINED_P2_REGISTER.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,NO_UNLESS_SCOPE_TOUCHES_AUTHORITY,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00028,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_,docs/canon/candidates/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_CANDIDATE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00029,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_,docs/canon/candidates/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_CANDIDATE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00030,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_,docs/canon/candidates/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_CANDIDATE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00031,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_,docs/canon/candidates/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_CANDIDATE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00032,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_,docs/canon/candidates/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_CANDIDATE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00033,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_,docs/canon/candidates/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_CANDIDATE.md,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,relationships_authority_consent,YES,YES,YES,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.","READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00034,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00035,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00036,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00037,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00038,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00039,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00040,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00041,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00042,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00043,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
AUTHBLOCK-00044,CANON_INDEX,docs/canon/CANON_INDEX.md,FEATURE_INCLUSION_CONFLICT_OR_TRACEABILITY_RISK,DOES_NOT_BLOCK_GLOBAL_COMPARISON,facility_barn_horse_lifecycle,NO,YES_FOR_AFFECTED_FEATURE,YES_FOR_AFFECTED_FEATURE,Retain during comparison and flag affected feature scope for reviewer attention.,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
