finding_or_risk,source_path,canonical_path,status,authority_boundary,sha256,commit_sha
| Row,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c8344e0e1067191f372631f468127428028344d3963dd46a3e093562aa92e633,f5b2973c9a796d6864607dcae42aa6c89f894250
Adoption,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c8344e0e1067191f372631f468127428028344d3963dd46a3e093562aa92e633,f5b2973c9a796d6864607dcae42aa6c89f894250
Lock,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c8344e0e1067191f372631f468127428028344d3963dd46a3e093562aa92e633,f5b2973c9a796d6864607dcae42aa6c89f894250
P0,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c8344e0e1067191f372631f468127428028344d3963dd46a3e093562aa92e633,f5b2973c9a796d6864607dcae42aa6c89f894250
Open P1,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c8344e0e1067191f372631f468127428028344d3963dd46a3e093562aa92e633,f5b2973c9a796d6864607dcae42aa6c89f894250
Blocking P2,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c8344e0e1067191f372631f468127428028344d3963dd46a3e093562aa92e633,f5b2973c9a796d6864607dcae42aa6c89f894250
Retained P2 |,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_CONSTITUTIONAL_ADOPTION_REPORT.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c8344e0e1067191f372631f468127428028344d3963dd46a3e093562aa92e633,f5b2973c9a796d6864607dcae42aa6c89f894250
P0: `0`; open P1: `0`; adoption-blocking P2: `0`; retained nonblocking P2: `0`.,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_FORMAL_ADOPTION_VALIDATION.md,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_FORMAL_ADOPTION_VALIDATION.json,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,6f05ec78ebafdd53ad6405511876b3bc0699b38092c35c7eb36ddd4dd08de7cb,f5b2973c9a796d6864607dcae42aa6c89f894250
- Adoption-readiness findings: `P0 0; open P1 0; adoption-blocking P2 0`,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
"""blocker"": REPO / ""docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/C0_UNRESOLVED_LIFECYCLE_BLOCKER_LEDGER.md"",",docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
"""blocker"": f""| {row_id}",docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
{family},docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
lock_required,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
FOUNDER_ADOPTED,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
"Adopted and controlling; constitutional lock remains separately gated. |"",",docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
"f""| Privacy and Data Protection V2.0",docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
Adopted controlling constitutional canon,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
Founder adoption approved,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
Yes,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
`NOT YET LOCKED`,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
SHA-256 `{post_hashes[PRIVACY_MD]}`; P0/P1/blocking P2 0; all operational authority f,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
"f""| Reporting, Analytics, and Business Intelligence V2.0",docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
Adopted controlling constitutional canon,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
Founder adoption approved,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
Yes,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
`NOT YET LOCKED`,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
SHA-256 `{post_hashes[REPORTING_DOCX]}`; P0/P1/blocking P2 0; all,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
"write(directory / f""{row.replace('-', '_')}_RETAINED_P2_REGISTER.md"", f""# {row} Retained P2 Register\n\nRetained P2 findings: `0`. Adoption-blocking P2 findings: `0`. Constitutional lock remains separately gated.\n"")",docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
"""findings"": {""p0"": 0, ""open_p1"": 0, ""adoption_blocking_p2"": 0},",docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,docs/canon/adoptions/c0_023_c0_035_adoption/tools/build_adoption.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,9500bfbba3bc04bdf9b19867d5f2b6d13c3db5a82b1b2a351f2fd7842bf21e99,f5b2973c9a796d6864607dcae42aa6c89f894250
"checks[""retained_p2_accounting""] = build[""retained_p2""] == {""C0-023"": 0, ""C0-035"": 0}",docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
"checks[""findings_gate""] = build[""findings""] == {""p0"": 0, ""open_p1"": 0, ""adoption_blocking_p2"": 0}",docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
"""findings"": {""p0"": 0, ""open_p1"": 0, ""adoption_blocking_p2"": 0, ""retained_nonblocking_p2"": 0},",docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
"lines.extend(["""", ""P0: `0`; open P1: `0`; adoption-blocking P2: `0`; retained nonblocking P2: `0`."", """", ""No substantive canon content changed. Constitutional lock was not issued. All operational authority remains `FALSE",docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
| Row,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
Adoption,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
Lock,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
P0,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
Open P1,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
Blocking P2,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
Retained P2 |,docs/canon/adoptions/c0_023_c0_035_adoption/tools/validate_and_package.py,docs/canon/locks/privacy_v2_0/tools/validate_and_package.py,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,c28a470e263d806f31fe12e12658b6dcae049ddd4ead43d88087b779026a32ff,f5b2973c9a796d6864607dcae42aa6c89f894250
`C0-023-LR-P1-01` is closed. The C0-028 and C0-041 change-impact observation remains assigned and nonblocking; their later adoption must conform to locked Privacy authority.,docs/canon/adoptions/c0_023_c0_035_lock_readiness_rerun/C0_023_PRIVACY_LOCK_READINESS_RERUN.md,docs/canon/adoptions/c0_023_c0_035_lock_readiness_rerun/C0_023_PRIVACY_LOCK_READINESS_RERUN.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,3d43a6a116b2187650298dcb46dc636532edaf29261ddca43360b826f1cbcd8b,f5b2973c9a796d6864607dcae42aa6c89f894250
| Row,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_C0_035_LOCK_READINESS_MASTER_REPORT.md,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_C0_035_LOCK_READINESS_MASTER_REPORT.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,fc93211461b5905bb485724ea9890f82df9f570a9bd0cb57969e6dec87758585,f5b2973c9a796d6864607dcae42aa6c89f894250
Adoption,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_C0_035_LOCK_READINESS_MASTER_REPORT.md,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_C0_035_LOCK_READINESS_MASTER_REPORT.md,RETAINED_OPEN_OR_RESIDUAL_RISK_TEXT_PRESENT,NOT_CLOSED_BY_ACCESSION,fc93211461b5905bb485724ea9890f82df9f570a9bd0cb57969e6dec87758585,f5b2973c9a796d6864607dcae42aa6c89f894250
