classification_record_id,source_or_document_id,source_id,source_layer,repository_path,title,source_family,source_class,authority_status,primary_guide_family,related_guide_families,primary_classification,normative_status,source_freeze_status,controlling_or_contextual_role,provenance,immutable_commit_or_checksum,conflict_status,classification_basis,review_status,required_later_action,notes
CGP006-CL-0011,CGP005-RC-0011,CGSRC-ARCH-0011,CGP005_REFERENCE_CORPUS_ROW,docs/OFFLINE_SECURITY_MODEL.md,Offline Security Model,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,cba05dc2ceb6afe4ce032ce3481e04478913a161719e041e42e1f3c770e2f6a3,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0012,CGP005-RC-0012,CGSRC-ARCH-0012,CGP005_REFERENCE_CORPUS_ROW,docs/RF15_OFFLINE_LOCK_SCREEN_FIELD_RELIABILITY.md,"RF15 Offline, Lock-Screen, and Field Reliability",REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,6c32e5532c289ea7bd35b2260cb0dd86c228e6b48b8c7e8c09d488175d554eb7,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0013,CGP005-RC-0013,CGSRC-ARCH-0013,CGP005_REFERENCE_CORPUS_ROW,docs/RF15_OFFLINE_LOCK_SCREEN_FIELD_RELIABILITY_PLAN.md,"RF15 Offline, Lock-Screen, and Field Reliability Plan",REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,8a125a62e2171063ba0da5e6e59a798cdea479741c675148e44b16434c24b3a3,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0014,CGP005-RC-0014,CGSRC-ARCH-0014,CGP005_REFERENCE_CORPUS_ROW,docs/SCHEMA_CHANGE_POLICY.md,SCHEMA_CHANGE_POLICY.md,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,8fd80a5feebfcc75b0de3ef274311f954282d228850f78a44af214e42a809761,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0015,CGP005-RC-0015,CGSRC-ARCH-0015,CGP005_REFERENCE_CORPUS_ROW,docs/WORKFLOW_MAPS.md,WORKFLOW_MAPS.md,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,80f3d5fb79c7b0c9d903dd6c07db58b3fa166b6288aa69a12bd0988c2ec49a50,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0016,CGP005-RC-0016,CGSRC-ARCH-0016,CGP005_REFERENCE_CORPUS_ROW,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md,MASTER EXTERNAL ARCHITECTURE AND ADAPTER MODEL,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,0cdad90cb5929588ee137e9835f6b499c3651159381960fbfad436dfcd0fa18d,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0017,CGP005-RC-0017,CGSRC-ARCH-0017,CGP005_REFERENCE_CORPUS_ROW,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_REPORT.md,Master External Architecture and Adapter Model V2.0 Adoption Report,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,3b3ac9df2cf4497674b71e91d8ad5188674b7aac9152365b16c8ef3a5a57d110,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0018,CGP005-RC-0018,CGSRC-ARCH-0018,CGP005_REFERENCE_CORPUS_ROW,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_FINAL_LOCK_REPORT.md,Master External Architecture and Adapter Model V2.0 Final Lock Report,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,05a6805641909f67fa721890baee9682a62b93ad55b41c24602e52ca93a7d672,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0019,CGP005-RC-0019,CGSRC-ARCH-0019,CGP005_REFERENCE_CORPUS_ROW,docs/canon/adopted_sources/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE.md,MASTER SECURITY INCIDENT RESPONSE AND DISCLOSURE MODEL,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,3dafa7991acc40eb321cdfeae5b9caa59dbf0a41f5184bee36ec9defb0b59734,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0020,CGP005-RC-0020,CGSRC-ARCH-0020,CGP005_REFERENCE_CORPUS_ROW,docs/canon/adoptions/c0_batch_1/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_ADOPTION_RECORD.md,Master Security Incident Response and Disclosure Model Adoption Record,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,92ca7148d0631dadbcf312d510a71a3f8ea893df50778c2b133107247caa42e1,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0021,CGP005-RC-0021,CGSRC-ARCH-0021,CGP005_REFERENCE_CORPUS_ROW,docs/canon/candidates/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md,MASTER EXTERNAL ARCHITECTURE AND ADAPTER MODEL,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,SUPERSEDED,NON_NORMATIVE_SUPERSEDED_CONTEXT,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,SUPERSEDED_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,0cdad90cb5929588ee137e9835f6b499c3651159381960fbfad436dfcd0fa18d,RETAINED_CONFLICT_VISIBLE,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,Use successor source or separate Founder disposition before drafting reliance.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0022,CGP005-RC-0022,CGSRC-ARCH-0022,CGP005_REFERENCE_CORPUS_ROW,docs/canon/candidates/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0.md,MASTER SECURITY INCIDENT RESPONSE AND DISCLOSURE MODEL,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,3dafa7991acc40eb321cdfeae5b9caa59dbf0a41f5184bee36ec9defb0b59734,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0023,CGP005-RC-0023,CGSRC-ARCH-0023,CGP005_REFERENCE_CORPUS_ROW,docs/canon/history/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_REVIEWED_CANDIDATE.md,MASTER EXTERNAL ARCHITECTURE AND ADAPTER MODEL,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,7d35dca4762c247cae23212fa1844ea1ed94ad6731090b588b2fd1a2670d5d72,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0024,CGP005-RC-0024,CGSRC-ARCH-0024,CGP005_REFERENCE_CORPUS_ROW,docs/canon/history/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_REVIEWED_SOURCE.md,MASTER EXTERNAL ARCHITECTURE AND ADAPTER MODEL,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,65d2d706c367d92f1452dc64f945cc39984ea03f58d3ca567b4b3dad875dbe3a,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0025,CGP005-RC-0025,CGSRC-ARCH-0025,CGP005_REFERENCE_CORPUS_ROW,docs/canon/locks/security_incident_response_v1_0/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_CONSTITUTIONAL_LOCK_RECORD.md,Master Security Incident Response and Disclosure Model Constitutional Lock Record,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,ff4537e3e322bc6ebcb4927b57365d1ef9e5bd972201192bc6940dc31db1cb31,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0026,CGP005-RC-0026,CGSRC-ARCH-0026,CGP005_REFERENCE_CORPUS_ROW,docs/canon/locks/security_incident_response_v1_0/C0_030_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_POST_LOCK_CHANGE_CONTROL_PROTOCOL.md,Master Security Incident Response and Disclosure Model Post-Lock Change-Control Protocol,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,a4083baa89b4c9001ea1415ed30d84285a96421e2ef6c62d8f04c25304f5d2c6,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
