historical_record_id,source_or_document_id,source_id,repository_path,title,source_class,authority_status,controlling_or_contextual_role,expressly_retained_by_normative_freeze,supersession_status,required_later_action,notes
CGP006-HIST-0016,CGP005-RC-1500,CGSRC-HIST-0016,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_phase_c_pre_operation/C0_HISTORICAL_TO_CURRENT_DELTA.json,C0 Historical To Current Delta.Json,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0017,CGP005-RC-1501,CGSRC-HIST-0017,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_phase_c_pre_operation/C0_HISTORICAL_TO_CURRENT_DELTA.md,C0 Historical-to-Current Delta,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0018,CGP005-RC-1502,CGSRC-HIST-0018,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_phase_c_pre_operation/C0_ROW_BY_ROW_LIFECYCLE_RESOLUTION_LEDGER.json,C0 Row By Row Lifecycle Resolution Ledger.Json,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0019,CGP005-RC-1503,CGSRC-HIST-0019,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_phase_c_pre_operation/C0_ROW_BY_ROW_LIFECYCLE_RESOLUTION_LEDGER.md,C0 Row-by-Row Lifecycle Resolution Ledger,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0020,CGP005-RC-1504,CGSRC-HIST-0020,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_phase_c_pre_operation/C0_UNRESOLVED_LIFECYCLE_BLOCKER_LEDGER.md,C0 Unresolved Lifecycle Blocker Ledger,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0021,CGP005-RC-1505,CGSRC-HIST-0021,docs/canon/reviews/parallel_safeguarding_companion_reconciliation_v1_0/history/pre_founder_confirmation/MANIFEST.json,Manifest.Json,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0022,CGP005-RC-1506,CGSRC-HIST-0022,docs/canon/reviews/parallel_safeguarding_companion_reconciliation_v1_0/history/pre_founder_confirmation/PARALLEL_SAFEGUARDING_RECONCILIATION_DATA.json,Parallel Safeguarding Reconciliation Data.Json,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0023,CGP005-RC-1507,CGSRC-HIST-0023,docs/canon/reviews/parallel_safeguarding_companion_reconciliation_v1_0/history/pre_founder_confirmation/SAFEGUARDING_POLICY_CONFLICT_AND_FOUNDER_CONFIRMATION_REGISTER.md,Safeguarding Policy Conflict and Founder Confirmation Register,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0024,CGP005-RC-1508,CGSRC-HIST-0024,docs/canon/reviews/parallel_safeguarding_companion_reconciliation_v1_0/history/pre_founder_confirmation/SAFEGUARDING_RECONCILIATION_COMPLETION_REPORT.md,Safeguarding Reconciliation Completion Report,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0025,CGP005-RC-1509,CGSRC-HIST-0025,docs/canon/reviews/parallel_safeguarding_companion_reconciliation_v1_0/history/pre_founder_confirmation/SG_FD_TO_FD_MSP_DECISION_CROSSWALK.md,SG-FD to FD-MSP Decision Crosswalk,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0026,CGP005-RC-1510,CGSRC-HIST-0026,docs/canon/reviews/parallel_safeguarding_companion_reconciliation_v1_0/history/pre_founder_confirmation/VALIDATION_REPORT.md,Parallel Safeguarding Reconciliation Validation Report,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0027,CGP005-RC-1511,CGSRC-HIST-0027,docs/canon/history/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_ADOPTION_REVIEWED_CANDIDATE.md,MASTER EXTERNAL ARCHITECTURE AND ADAPTER MODEL,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0028,CGP005-RC-1512,CGSRC-HIST-0028,docs/canon/history/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_0_CANDIDATE.md,Master Financial Truth and Responsibility Model,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0029,CGP005-RC-1513,CGSRC-HIST-0029,docs/canon/history/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_V2_0_CONTROLLED_CANDIDATE.md,MASTER HORSE TRANSFER AND CONTINUITY POLICY,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0030,CGP005-RC-1514,CGSRC-HIST-0030,docs/canon/history/agreement_consent_authorization_v2_0/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_0_HISTORICAL_SUPERSEDED_CANDIDATE.md,"MASTER AGREEMENT, CONSENT, AND AUTHORIZATION MODEL",HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0031,CGP005-RC-1515,CGSRC-HIST-0031,docs/canon/history/master_product_vision_v2_0/MASTER_PRODUCT_VISION_V2_0_HISTORICAL_PREDECESSOR.pdf,Master Product Vision V2 0 Historical Predecessor.Pdf,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0032,CGP005-RC-1516,CGSRC-HIST-0032,docs/canon/intake/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_CANDIDATE_SOURCE.md,MASTER AUDIT EVENT AND EVIDENCE MODEL,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0033,CGP005-RC-1517,CGSRC-HIST-0033,docs/canon/intake/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_FOUNDER_APPROVAL_DIRECTIVE.md,MASTER AUDIT EVENT AND EVIDENCE MODEL V2.0 — FOUNDER APPROVAL DIRECTIVE,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0034,CGP005-RC-1518,CGSRC-HIST-0034,docs/canon/intake/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_FOUNDER_SOURCE.md,"MASTER CLAIMS, DISPUTES, AND AUTHORITY MODEL",HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0035,CGP005-RC-1519,CGSRC-HIST-0035,docs/canon/intake/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_CANDIDATE_SOURCE.md,"MASTER COMMUNICATION, NOTIFICATION, AND NOTICE MODEL",HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0036,CGP005-RC-1520,CGSRC-HIST-0036,docs/canon/intake/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_V2_0_SOURCE.md,MASTER HORSE TRANSFER AND CONTINUITY POLICY,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0037,CGP005-RC-1521,CGSRC-HIST-0037,docs/canon/intake/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_FOUNDER_SOURCE.md,MASTER RECORD STEWARDSHIP AND RETENTION MODEL,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0038,CGP005-RC-1522,CGSRC-HIST-0038,governance/pia/items/10_owner_portal_communications_archival_only,PIA source family: 10_owner_portal_communications_archival_only,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0039,CGP005-NF-ES-CG-13-0022,CGSRC-HIST-0038,governance/pia/items/10_owner_portal_communications_archival_only,PIA source family: 10_owner_portal_communications_archival_only,HISTORICAL_PREDECESSOR,HISTORICAL,RETAINED_HISTORICAL_EVIDENCE_WITHIN_GUIDE_FREEZE_SCOPE,YES,RETAINED_HISTORICAL_CONTEXT,Use only for bounded candidate drafting after separate Founder authority; not adopted or active by classification.,"Normative status attaches to this guide-freeze row, not to the reference-corpus layer."
