allocation_id,source_or_document_id,source_id,primary_guide_family,related_guide_families,allocation_basis,normative_row_count,reference_corpus_status,notes
CGP006-ALLOC-0014,CGP005-RC-0014,CGSRC-ARCH-0014,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0015,CGP005-RC-0015,CGSRC-ARCH-0015,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0016,CGP005-RC-0016,CGSRC-ARCH-0016,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0017,CGP005-RC-0017,CGSRC-ARCH-0017,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0018,CGP005-RC-0018,CGSRC-ARCH-0018,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0019,CGP005-RC-0019,CGSRC-ARCH-0019,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0020,CGP005-RC-0020,CGSRC-ARCH-0020,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0021,CGP005-RC-0021,CGSRC-ARCH-0021,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,SUPERSEDED_CONTEXT_ONLY
CGP006-ALLOC-0022,CGP005-RC-0022,CGSRC-ARCH-0022,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0023,CGP005-RC-0023,CGSRC-ARCH-0023,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0024,CGP005-RC-0024,CGSRC-ARCH-0024,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0025,CGP005-RC-0025,CGSRC-ARCH-0025,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0026,CGP005-RC-0026,CGSRC-ARCH-0026,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0027,CGP005-RC-0027,CGSRC-ARCH-0027,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0028,CGP005-RC-0028,CGSRC-ARCH-0028,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0029,CGP005-RC-0029,CGSRC-ARCH-0029,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0030,CGP005-RC-0030,CGSRC-ARCH-0030,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0031,CGP005-RC-0031,CGSRC-ARCH-0031,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0032,CGP005-RC-0032,CGSRC-ARCH-0032,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0033,CGP005-RC-0033,CGSRC-ARCH-0033,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0034,CGP005-RC-0034,CGSRC-ARCH-0034,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0035,CGP005-RC-0035,CGSRC-ARCH-0035,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0036,CGP005-RC-0036,CGSRC-ARCH-0036,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0037,CGP005-RC-0037,CGSRC-ARCH-0037,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0038,CGP005-RC-0038,CGSRC-ARCH-0038,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0039,CGP005-RC-0039,CGSRC-ARCH-0039,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0040,CGP005-RC-0040,CGSRC-ARCH-0040,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0041,CGP005-RC-0041,CGSRC-ARCH-0041,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0042,CGP005-RC-0042,CGSRC-ARCH-0042,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0043,CGP005-RC-0043,CGSRC-ARCH-0043,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0044,CGP005-RC-0044,CGSRC-ARCH-0044,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0045,CGP005-RC-0045,CGSRC-ARCH-0045,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0046,CGP005-RC-0046,CGSRC-ARCH-0046,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0047,CGP005-RC-0047,CGSRC-ARCH-0047,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0048,CGP005-RC-0048,CGSRC-ARCH-0048,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0049,CGP005-RC-0049,CGSRC-ARCH-0049,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0050,CGP005-RC-0050,CGSRC-ARCH-0050,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0051,CGP005-RC-0051,CGSRC-ARCH-0051,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0052,CGP005-RC-0052,CGSRC-ARCH-0052,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0053,CGP005-RC-0053,CGSRC-ARCH-0053,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0054,CGP005-RC-0054,CGSRC-ARCH-0054,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0055,CGP005-RC-0055,CGSRC-ARCH-0055,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0056,CGP005-RC-0056,CGSRC-ARCH-0056,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0057,CGP005-RC-0057,CGSRC-ARCH-0057,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0058,CGP005-RC-0058,CGSRC-ARCH-0058,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0059,CGP005-RC-0059,CGSRC-ARCH-0059,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0060,CGP005-RC-0060,CGSRC-ARCH-0060,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0061,CGP005-RC-0061,CGSRC-ARCH-0061,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0062,CGP005-RC-0062,CGSRC-ARCH-0062,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0063,CGP005-RC-0063,CGSRC-ARCH-0063,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0064,CGP005-RC-0064,CGSRC-ARCH-0064,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0065,CGP005-RC-0065,CGSRC-ARCH-0065,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0066,CGP005-RC-0066,CGSRC-ARCH-0066,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0067,CGP005-RC-0067,CGSRC-ARCH-0067,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0068,CGP005-RC-0068,CGSRC-ARCH-0068,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0069,CGP005-RC-0069,CGSRC-ARCH-0069,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0070,CGP005-RC-0070,CGSRC-ARCH-0070,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0071,CGP005-RC-0071,CGSRC-ARCH-0071,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0072,CGP005-RC-0072,CGSRC-ARCH-0072,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0073,CGP005-RC-0073,CGSRC-ARCH-0073,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0074,CGP005-RC-0074,CGSRC-ARCH-0074,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0075,CGP005-RC-0075,CGSRC-ARCH-0075,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0076,CGP005-RC-0076,CGSRC-ARCH-0076,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0077,CGP005-RC-0077,CGSRC-ARCH-0077,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0078,CGP005-RC-0078,CGSRC-ARCH-0078,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0079,CGP005-RC-0079,CGSRC-ARCH-0079,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0080,CGP005-RC-0080,CGSRC-ARCH-0080,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0081,CGP005-RC-0081,CGSRC-ARCH-0081,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0082,CGP005-RC-0082,CGSRC-ARCH-0082,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0083,CGP005-RC-0083,CGSRC-ARCH-0083,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0084,CGP005-RC-0084,CGSRC-ARCH-0084,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0085,CGP005-RC-0085,CGSRC-ARCH-0085,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0086,CGP005-RC-0086,CGSRC-ARCH-0086,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0087,CGP005-RC-0087,CGSRC-ARCH-0087,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0088,CGP005-RC-0088,CGSRC-ARCH-0088,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0089,CGP005-RC-0089,CGSRC-ARCH-0089,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0090,CGP005-RC-0090,CGSRC-ARCH-0090,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0091,CGP005-RC-0091,CGSRC-ARCH-0091,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0092,CGP005-RC-0092,CGSRC-ARCH-0092,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
CGP006-ALLOC-0093,CGP005-RC-0093,CGSRC-ARCH-0093,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP005_REFERENCE_CORPUS_ROW,0,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY
