path,sha256,bytes,identifier,version,artifact_class,lifecycle_state,authority,listed_in_internal_manifest
EQUINESYNC_MINOR_SAFEGUARDING_V1_1_FOUNDER_APPROVAL_AND_INTEGRATION_DIRECTIVE_V1_0.md,b0546e1762a8e1e84091595dbbee9ffd7ed2d1833580f7479702046adb581607,2102,EQUINESYNC_MINOR_SAFEGUARDING_V1_1_FOUNDER_APPROVAL_AND_INTEGRATION_DIRECTIVE_V1_0,1.1,GENERATED_APPROVAL_ASSERTION,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,FALSE,true
EQUINESYNC_SAFEGUARDING_COMPANION_ARTIFACT_INTEGRATION_MEMORANDUM_V1_0.docx,dcb57538adc443b17179fe9bf739f7df11dbc8042a9257a759396406518379cd,13173,EQUINESYNC_SAFEGUARDING_COMPANION_ARTIFACT_INTEGRATION_MEMORANDUM_V1_0,1.0,PACKAGE_EVIDENCE,NONAUTHORITATIVE_PACKAGE_EVIDENCE,FALSE,true
EQUINESYNC_SAFEGUARDING_COMPANION_ARTIFACT_INTEGRATION_MEMORANDUM_V1_0.md,c1cf18fcb99630d4699d7de43dbc6fe647c46ea34a42a8c44336cd41e284d349,3565,EQUINESYNC_SAFEGUARDING_COMPANION_ARTIFACT_INTEGRATION_MEMORANDUM_V1_0,1.0,PACKAGE_EVIDENCE,NONAUTHORITATIVE_PACKAGE_EVIDENCE,FALSE,true
EQUINESYNC_SAFEGUARDING_COMPANION_INTEGRATION_VALIDATION_REPORT_V1_0.md,be09f1c071d40ffbbc3e649be3dea11f473d750040ca6cfc9b40df4621303636,3621,EQUINESYNC_SAFEGUARDING_COMPANION_INTEGRATION_VALIDATION_REPORT_V1_0,1.0,PACKAGE_EVIDENCE,NONAUTHORITATIVE_PACKAGE_EVIDENCE,FALSE,true
EQUINESYNC_SAFEGUARDING_COMPANION_PATCH_REGISTER_V1_0.xlsx,100ad2cf53cbc1084c0086084b5652732b3a9154f02a75a97c887e68baa4c6ab,18412,EQUINESYNC_SAFEGUARDING_COMPANION_PATCH_REGISTER_V1_0,1.0,PATCH_EVIDENCE,PROVISIONAL_IDS_NOT_APPLIED,FALSE,true
EQUINESYNC_SAFEGUARDING_COMPANION_PATCH_SCHEDULE_V1_0.docx,da5929a714dc4eb9d57daf516d03739a05ba76f7c1a852b927d4acc0d2b6300f,21070,EQUINESYNC_SAFEGUARDING_COMPANION_PATCH_SCHEDULE_V1_0,1.0,PATCH_EVIDENCE,PROVISIONAL_IDS_NOT_APPLIED,FALSE,true
EQUINESYNC_SAFEGUARDING_COMPANION_PATCH_SCHEDULE_V1_0.md,f1f025b1a2b549dc2b6035052bb3f66f86d0c7e2d0f3b0ecdbd06d7a82b37bee,26408,EQUINESYNC_SAFEGUARDING_COMPANION_PATCH_SCHEDULE_V1_0,1.0,PATCH_EVIDENCE,PROVISIONAL_IDS_NOT_APPLIED,FALSE,true
MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_1_REVIEWED_DRAFT.docx,8058981a7a5288698324c55ebee33ba7d4902548a723c2a5c35e4f3a12daa76c,59592,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_1_REVIEWED_DRAFT,1.1,PARALLEL_CANON_DRAFT,NONAUTHORITATIVE_PARALLEL_DRAFT_EVIDENCE,FALSE,true
MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_1_REVIEWED_DRAFT.md,e956999709da35b2260ce8fdac230bc37d0bee6000007cec35c18e3653f59f05,109521,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_1_REVIEWED_DRAFT,1.1,PARALLEL_CANON_DRAFT,NONAUTHORITATIVE_PARALLEL_DRAFT_EVIDENCE,FALSE,true
PACKAGE_FILE_MANIFEST.md,f3d2cd2238fce9ab5e5665ce47dbcbc5614e054dfb7794747ebb34aec1e198fd,5736,PACKAGE_FILE_MANIFEST,UNSPECIFIED,PACKAGE_EVIDENCE,NONAUTHORITATIVE_PACKAGE_EVIDENCE,FALSE,false
PACKAGE_MANIFEST.json,080d2fe2f2e64fb978ba46450449d4365c48a85c061f774b9160eccc68b4f45e,9019,PACKAGE_MANIFEST,UNSPECIFIED,PACKAGE_EVIDENCE,NONAUTHORITATIVE_PACKAGE_EVIDENCE,FALSE,false
README.md,2f2d3615793be4d5a4d5a8de58faf0eb07611d2aa9852f1505281ea57ed1b94e,887,README,UNSPECIFIED,PACKAGE_EVIDENCE,NONAUTHORITATIVE_PACKAGE_EVIDENCE,FALSE,true
REPOSITORY_APPLICATION_INSTRUCTIONS.md,88935684003ea4b2bfc54c132f0e580451705b1db77a30e1976b41b213cb09cd,867,REPOSITORY_APPLICATION_INSTRUCTIONS,UNSPECIFIED,PACKAGE_EVIDENCE,NONAUTHORITATIVE_PACKAGE_EVIDENCE,FALSE,true
SHA256SUMS.txt,a6c56868d03c8a0ef3739952c2d7a64b155742b4f592832ab318078e192810a8,5230,SHA256SUMS,UNSPECIFIED,PACKAGE_EVIDENCE,NONAUTHORITATIVE_PACKAGE_EVIDENCE,FALSE,false
safeguarding_patch_data.json,348376a32a5d234c5b980b8ffd655bde77f2b55bf507ce107abfab9830ae88f1,36974,safeguarding_patch_data,UNSPECIFIED,PATCH_EVIDENCE,PROVISIONAL_IDS_NOT_APPLIED,FALSE,true
validation/CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_1.json,6686918e85908a4ca91cea99ee23dbb285ab6b36d0724015ab50c939e90c1192,215,CONSTITUTIONAL_DOMAIN_OWNERSHIP_AND_BOUNDARY_REGISTER_V1_1,1.1,COMPANION_DELTA_CANDIDATE,EXACT_PREDECESSOR_NOT_MOUNTED,FALSE,true
validation/CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_1.json,14ca3e61564ba3328c5fa1f22aaa356ca835edb9bf0402ef0c4296444fdc22b9,206,CROSS_CANON_REFERENCE_NORMALIZATION_REGISTER_V1_1,1.1,COMPANION_DELTA_CANDIDATE,EXACT_PREDECESSOR_NOT_MOUNTED,FALSE,true
validation/EQUINESYNC_CANON_DEPENDENCY_MAP_V1_2.json,a84a7e22cb881341501edac84861aadece6efe6453d369885ee1b06f54688deb,193,EQUINESYNC_CANON_DEPENDENCY_MAP_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
validation/EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_2.json,ae75bd66993700d3b50bdd4d344f3dacdacbac3cd2e17c1c74c1736e490dacb9,204,EQUINESYNC_CONSTITUTIONAL_AUTHORITY_MATRIX_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
validation/EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_2.json,3d53bc80ba1f4a4810a79fa868addc9f76ad3d067481fb8baf4b8bbbba171c2b,209,EQUINESYNC_CONSTITUTIONAL_CROSS_REFERENCE_INDEX_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
validation/EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_2.json,945c089d34d2cefe5dcf0c88709a4bfc6e13d30d20b8a68b22fcb5fc2650e1ad,220,EQUINESYNC_CONSTITUTIONAL_VOCABULARY_AND_DEFINITIONS_INDEX_V1_2,1.2,COMPANION_SUCCESSOR_CANDIDATE,PENDING_PREDECESSOR_DIFF_REVIEW,FALSE,true
validation/EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0.json,27c1101e2e3c8ddce2a1093d9616afc1feeee7f49072dcb8e26cc4739f9d8189,236,EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,1.0,GENERATED_APPROVAL_ASSERTION,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,FALSE,true
validation/EQUINESYNC_MINOR_SAFEGUARDING_V1_1_FOUNDER_APPROVAL_AND_INTEGRATION_DIRECTIVE_V1_0.json,3889e8c4a67789b025f0799bea6b77c17dcd7c2a9b9580cc5a932f98f80fe745,239,EQUINESYNC_MINOR_SAFEGUARDING_V1_1_FOUNDER_APPROVAL_AND_INTEGRATION_DIRECTIVE_V1_0,1.1,GENERATED_APPROVAL_ASSERTION,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,FALSE,true
validation/EQUINESYNC_SAFEGUARDING_COMPANION_ARTIFACT_INTEGRATION_MEMORANDUM_V1_0.json,a8886355395b08696b8f80f8a71152c21c1801c9f12f10ab4eb2037fa64d9dd1,227,EQUINESYNC_SAFEGUARDING_COMPANION_ARTIFACT_INTEGRATION_MEMORANDUM_V1_0,1.0,PACKAGE_SELF_VALIDATION,NONAUTHORITATIVE_PACKAGE_EVIDENCE,FALSE,true
validation/EQUINESYNC_SAFEGUARDING_COMPANION_PATCH_SCHEDULE_V1_0.json,5bca4528ade90061b849fe23a75508c797edafc9ae4372cca5acb9a8360baedf,210,EQUINESYNC_SAFEGUARDING_COMPANION_PATCH_SCHEDULE_V1_0,1.0,PATCH_EVIDENCE,PROVISIONAL_IDS_NOT_APPLIED,FALSE,true
validation/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_1_REVIEWED_DRAFT.json,5c026d84ddb2b62b70a0e579eded8b426997226ef13f4c23d854f63da5f8d812,247,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_1_REVIEWED_DRAFT,1.1,PARALLEL_CANON_DRAFT,NONAUTHORITATIVE_PARALLEL_DRAFT_EVIDENCE,FALSE,true
