t1c_id,source_review_ids,evidence_artifact,evidence_locator,validation_or_review_required,closure_assertion,remaining_open_item
T1C-011,CLAUDE-V2-09;PPLX-P-05,V3 package file set and validation outputs,V3 binds thirteen-state terminology and retains lifecycle validation evidence.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-012,PPLX-N-01;PPLX-N-04,V3 package file set and validation outputs,V3 executes an orphan duplicate-cluster negative fixture and retains register validation.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-013,CLAUDE-V2-04;PPLX-P-09,V3 package file set and validation outputs,V3 records this as time-bound documentary evidence only and does not authorize merge.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-014,PPLX-P-02;PPLX-P-03;PPLX-P-05;PPLX-P-07;PPLX-N-07,V3 package file set and validation outputs,V3 strengthens selected dictionaries/schemas but keeps substantive content-depth rereview open.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-015,CLAUDE-V2-01;CLAUDE-V2-02,V3 package file set and validation outputs,V3 preserves the exact no-certification boundary and validation report status is not certification.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-016,PPLX-P-08;PPLX-N-07;PPLX-N-08,V3 package file set and validation outputs,V3 keeps this as a reviewer judgment item rather than self-closing.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-017,CLAUDE-V2-01;PPLX-N-01,V3 package file set and validation outputs,V3 rebuilds root and per-directory manifests and emits a detached final ZIP checksum/report.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-018,PPLX-P-06,V3 package file set and validation outputs,V3 replaces the unsafe Founder approval evidence label with a non-adoption source-evidence label.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-019,CLAUDE-V2-06,V3 package file set and validation outputs,V3 states Patrick K. Spoon Sr. was designated by directive context only; no performed second review or formal appointment evidence is fabricated.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-020,PPLX-P-09,V3 package file set and validation outputs,V3 records macOS local validation and retains Linux/CI reproduction as open.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
