t1c_id,severity,consolidated_defect,current_target_disposition,closure_state,source_review_ids,current_target_evidence,second_reviewer_state,authority_effect,merge_effect
T1C-011,MEDIUM,Lifecycle vocabulary and transitions may conflict.,PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V1 contains 13-state matrix; V2 keeps verification open for independent closure.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-012,MEDIUM,Duplicate clusters may lack referential linkage.,PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 adds orphan-cluster negative fixture; current register still requires independent proof.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-013,MEDIUM,Workstream/PR data may be stale or omit PR #83.,PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 custody record includes PR #83 current base/head and as-of timestamp.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-014,MEDIUM,Boilerplate appears in rationale and remediation sections.,VALID_OPEN,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 leaves boilerplate/content-quality closure open for reviewer judgment.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-015,MEDIUM,Certification/audit/attestation terminology may overstate documentary status.,PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 authority boundary and validation prohibit certification/adoption claims; closure rereview still required.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-016,MEDIUM,Principal Documents 03-10 may be too thin.,VALID_OPEN,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,Substantive narrative adequacy remains open for bounded rereview.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-017,LOW,Manifest/bootstrap exclusions and archive custody incompletely disclosed.,PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,"V2 includes manifest, checksums, detached ZIP checksum, and custody record.",NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-018,LOW,Authoritative current rows may lack versions; implementation_use wording unsafe.,VALID_OPEN,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 retains as verification-required pending row-level source disposition review.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-019,LOW,Ownership vacancy controls remain weak.,VALID_OPEN,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 does not fabricate Patrick K. Spoon Sr. review or appointment; second reviewer state remains not performed.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-020,LOW,Validation is single-platform in reviewed later package.,RETAINED_NONBLOCKING,RETAINED_NONBLOCKING_PENDING_LINUX_CI_REPRODUCTION,see consolidated outside-review register source findings column,Local macOS validation performed; independent Linux/CI reproduction not available in this turn.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
