source_id,record_type,custody_visibility,canonical_update_authorization_state,implementation_mapping,implementation
CGP006-AR-IMAP-ES_CG_00,IMPLEMENTATION_MAPPING_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-IMAP-ES_CG_01,IMPLEMENTATION_MAPPING_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-IMAP-ES_CG_13,IMPLEMENTATION_MAPPING_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-IMAP-ES_CG_10,IMPLEMENTATION_MAPPING_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-IMPL-ES_CG_00,IMPLEMENTATION_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-IMPL-ES_CG_01,IMPLEMENTATION_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-IMPL-ES_CG_13,IMPLEMENTATION_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-IMPL-ES_CG_10,IMPLEMENTATION_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
W1-V11-FIND-0001,RETAINED_PRE_ACTIVATION_CONDITION,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
W1-V11-FIND-0002,RETAINED_PRE_ACTIVATION_CONDITION,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
W1-V11-FIND-0003,RETAINED_OPEN_GAP,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
W1-V11-FIND-0004,RETAINED_WARNING,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
W1-V11-FIND-0005,IMPLEMENTATION_EVIDENCE_LIMITATION,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
W1-V11-FIND-0006,RUNTIME_EVIDENCE_LIMITATION,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
