evidence_id,checklist_area,check_result,locator,sha256_or_value,observation
FSR-EVID-011,06_ACTION_TIME_AUTHORIZATION,PASS,"PERMISSION_AND_AUTHORIZATION_BOUNDARY_MATRIX.csv:2-20",6daa285d10fdf86b6a781452fd784d28f52a058afc56d6d1c38c3d291b4486b0,"Actions require scoped evidence; roles, associations, verification, and onboarding are explicitly non-authorizing."
FSR-EVID-012,06_ACTION_TIME_AUTHORIZATION,PASS,"REQUIREMENT_REGISTER.csv:FAC-REQ-005,FAC-REQ-040,FAC-REQ-041",0f2ef5ae7342aad8e081b7b1685babb0b75b678c18c8d958daad164f17126fc9,"Current actor/context/purpose/time/relationship evidence is required for consequential and later-association actions."
FSR-EVID-013,07_EXPLICIT_CONTEXT_SELECTION,PASS,"WORKFLOW_REGISTER.md:29-35; PERMISSION_AND_AUTHORIZATION_BOUNDARY_MATRIX.csv:15",17b4e2e73c84af4e810bc4793855616aa5ca452de0fc5a813c7f497f2a4cffcc,"Allowed contexts are listed, selected explicitly, displayed, revalidated, and denied without enumeration."
FSR-EVID-014,07_EXPLICIT_CONTEXT_SELECTION,PASS,"ADVERSARIAL_SCENARIOS.md:29-30",bb6c701f759a4b1157eac85b183d14df09cf424250b2d7022b72d28000b65412,"Deep links cannot silently switch context and missing context cannot trigger legacy default/primary fallback."
FSR-EVID-015,08_NON_CASCADING_LIFECYCLE_TOPOLOGY,PASS,"FOUNDER_DECISION_REGISTER.md:79-99",be253b55e72204a048461d769aaa736e4e747fe3d053739526264af173c1d319,"Approved lifecycle and change-set doctrine requires retained identities, lineage, no silent reactivation, and no cascade."
FSR-EVID-016,08_NON_CASCADING_LIFECYCLE_TOPOLOGY,PASS,"GOLDEN_PATHS.md:32-60; STATE_TRANSITION_MATRIX.csv:2-31","golden_sha256=ee6158c96a9c0000d0ea242df9738e3aae43d48250af37672a510a147f054ef7;state_sha256=2ebbd4784417d4c5f3b9d8212f454b0c95209e2111a2f3bdeb94ebfe0c687615","Area moves, operator transitions, suspension, closure, and archives preserve lineage and do not cascade dependent-domain truth."
FSR-EVID-017,09_BOUNDED_OFFLINE_BEHAVIOR,PASS,"PIA_FACILITY_TENANT_ORGANIZATION_V1_1_0.md:97-100",18eed6064f4b110c5fdcd8b84d47ecc11d219fa9abbc918363d99577a1373390,"Offline rule is marked candidate, cache is expiring/minimum, canonical topology mutations are barred, and observations await online revalidation."
FSR-EVID-018,09_BOUNDED_OFFLINE_BEHAVIOR,PASS,"FOUNDER_DECISION_GATE_STATUS_REGISTER.csv:20",ff75bdaed3f1aa5c349e3be3c0e9004b1881b4852ce12644be67e6be305f00e7,"FAC-FD-019 remains open before implementation authorization rather than being represented as approved doctrine."
FSR-EVID-019,10_SEPARATE_REVOCABLE_PUBLIC_PROJECTION,PASS,"DATA_DICTIONARY.md:26; WORKFLOW_REGISTER.md:85-91","data_sha256=b2a488973aacf81478ba42f89f4e797d7c0c92aeaf5cd960f342a3234c1a37ce;workflow_sha256=17b4e2e73c84af4e810bc4793855616aa5ca452de0fc5a813c7f497f2a4cffcc","PublicFacilityProjection is a separate revocable subset and is never canonical private truth."
FSR-EVID-020,10_SEPARATE_REVOCABLE_PUBLIC_PROJECTION,PASS,"GOLDEN_PATHS.md:62-66; API_EVENT_JOB_CONTRACTS.md:21-22,27",ee6158c96a9c0000d0ea242df9738e3aae43d48250af37672a510a147f054ef7,"Publication is opt-in/coarse, exact layouts and occupants are excluded, and expiry fails private."
FSR-EVID-021,11_OPEN_DECISION_CLASSIFICATION,PASS,"FOUNDER_DECISION_GATE_STATUS_REGISTER.csv:2-29",ff75bdaed3f1aa5c349e3be3c0e9004b1881b4852ce12644be67e6be305f00e7,"The dedicated gate register contains 18 approved, six implementation-gate open, and four enrollment-gate open decisions."
FSR-EVID-022,11_OPEN_DECISION_CLASSIFICATION,FAIL,"RISK_FINDING_DEVIATION_REGISTER.csv:2-4,7-8,10",ff6d1c2f668498c26ecef5e8884515b5f5c705a74eca0d132825e1eff98abeab,"Six rows retain an open-Founder status although their cited Founder decisions are approved design doctrine."
FSR-EVID-023,12_RESIDUAL_P2_HANDLING,PASS,"RESIDUAL_P2_STATUS.md:13-28",e73592c97e1cc78f36a2670032007e1a83822a2c469da5ae82e0ec54d5a5d63f,"Field-level schedules remain open at FAC-FD-022 and legacy conflation remains an unauthorized implementation gap."
FSR-EVID-024,12_RESIDUAL_P2_HANDLING,PASS,"AS_BUILT_RECONCILIATION.md:17-34",8303a9f77fd27a6a7e6b1386f02f13e67a33c5bbce6d2c787878818089e3bb27,"Legacy default/primary behavior is documented as nonconforming; no migration or remediation is authorized."
FSR-EVID-025,13_NO_IMPLEMENTATION_AUTHORITY,PASS,"PIA_FACILITY_TENANT_ORGANIZATION_MACHINE_READABLE.json:2-10",c245b05f767419863cce1a347e30a5ae1ee1af261657d078a9f578c02d42db23,"Implementation, migration, production, release, enrollment, custom-agent activation, and F-0001 closure flags are false."
FSR-EVID-026,13_NO_IMPLEMENTATION_AUTHORITY,PASS,"source_evidence/FOUNDER_DECISION_INCORPORATION_DIRECTIVE.md:9-12,63-71,365-384",8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,"Controlling authority limits the package to documentary design work and expressly prohibits operational actions."
FSR-EVID-027,14_FROZEN_INTEGRITY,PASS,"FROZEN_REVISED_CANDIDATE_SHA256SUMS.txt",2918cc26e64968716f89eb623bb073d7b9ad6582b3f741d1009bf7dd819d01e1,"Independent sha256sum -c check passed all 66 recorded entries."
FSR-EVID-028,14_FROZEN_INTEGRITY,FAIL,"FROZEN_REVISED_CANDIDATE_MANIFEST.txt:1-6; predecessor_evidence/v1.0.0/PACKAGE_MANIFEST.json","manifest_sha256=de9d9c8b34b4b5a0b885f9b2de4f5cf2a71853669d7ac130db92f39d8d9eb7c5;omitted_file_sha256=f935360b4af017d70049d0ef5e9d958d9ce5850705087da0bde0029994da5187","Frozen manifest says 66 files but frozen scope contains 67; the relocated predecessor package manifest is unlisted."
FSR-EVID-029,14_FROZEN_INTEGRITY,PASS,"git checkout metadata","commit=b604bf2a4679457e533cc02af33563f51a88bca2;parent=0beee6137183eb4079e7346c8596f6bec552f2f2;status=clean","Detached checkout and required parent were verified; worktree and index had zero status entries."
FSR-EVID-030,15_FULL_TRACEABILITY,FAIL,"EVIDENCE_MANIFEST.json:9-43",6ac7c63c19bca87ea13dc90b94b7734664389e9c01e4ac19f4124be840d865cf,"Six historical evidence locators fail existence checks from the package root after relocation."
FSR-EVID-031,15_FULL_TRACEABILITY,FAIL,"FOUNDER_DECISION_INCORPORATION_REGISTER.csv:2-19",3072139f59adc260367e0c3db15b9e264a0d94182a383675c91767887cc37396,"Artifact aliases and ALL_* interface wildcards have no concrete resolver mapping, so affected-artifact/interface traceability is not fully machine-resolvable."
FSR-EVID-032,15_FULL_TRACEABILITY,PASS,"REQUIREMENT_REGISTER.csv; ACCEPTANCE_CRITERIA.csv; TEST_MATRIX.csv","requirements_sha256=0f2ef5ae7342aad8e081b7b1685babb0b75b678c18c8d958daad164f17126fc9;counts=42/42/42","Independent row counts show one acceptance criterion and one planned test row for each of 42 requirements; this partial structural check does not cure broken evidence locators."
FSR-EVID-033,15_FULL_TRACEABILITY,FAIL,"TRACEABILITY_VALIDATION_REPORT.md:12-45; INTERNAL_CONSISTENCY_VALIDATION_REPORT.md:12-36","trace_sha256=3bca76f2d8f4e6b06b8a0191f81ce4c9cfa5b08cbe0b8196e315405db0268f5d;consistency_sha256=7048d68fa0446a8591ddf9817718a3534412a7fcdb28e8242e7732d694d382f3","Author-produced PASS reports did not detect the broken locators, stale Founder-gate risk statuses, incomplete freeze coverage, Business-definition omission, or stale PIA counts."
FSR-EVID-034,01_FAITHFUL_INCORPORATION_FAC_FD_001_018,FAIL,"FOUNDER_DECISION_INCORPORATION_REGISTER.csv:2",3072139f59adc260367e0c3db15b9e264a0d94182a383675c91767887cc37396,"FAC-FD-001 row claims incorporation into PIA, DATA_DICTIONARY, and MACHINE_READABLE, but Business is missing from those canonical definition surfaces."
