feature_id,parent_feature_id,feature_name,product_domain,stable_id_basis,historical_or_repository_mapping,status
ES-FEAT-IDENTITY-014,ES-FEAT-IDENTITY-000,service accounts,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/ServiceProviderDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Signup.jsx;frontend/src/pages/AdminBillingDashboard.jsx;backend/routes/service_provider_center.py;backend/routes/horse_ledger.py;backend/routes/admin_billing.py;backend/routes/barn_owner_intake.py;backend/routes/onboarding.py,MATRIX_ROW
ES-FEAT-IDENTITY-015,ES-FEAT-IDENTITY-000,account closure,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/TrainerDashboard.jsx;frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;frontend/src/pages/Enrollment.jsx;backend/routes/account_context.py;backend/routes/horse_ledger.py;backend/routes/horses.py;backend/routes/onboarding.py;backend/routes/service_provider_center.py,MATRIX_ROW
ES-FEAT-IDENTITY-016,ES-FEAT-IDENTITY-000,duplicate identity and merge,Identity and access,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/EmergencyContacts.jsx;frontend/src/pages/EmergencyWorkflows.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminBillingDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;backend/routes/care.py;backend/routes/horse_ledger.py;backend/routes/horses.py;backend/routes/operations.py;backend/routes/admin.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-000,ROOT,Relationships and guardianship,Relationships and guardianship,DOMAIN_PARENT_FROM_DIRECTIVE_SECTION_8,backend/core/minor_safety.py; backend/routes/student_guardians.py; backend/core/permissions.py,DOMAIN_PARENT_ONLY_NOT_A_MATRIX_ROW
ES-FEAT-RELATIONSHIP-001,ES-FEAT-RELATIONSHIP-000,owner-horse relationships,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,backend/routes/student_guardians.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-002,ES-FEAT-RELATIONSHIP-000,trainer-client relationships,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/TrainerDashboard.jsx;frontend/src/pages/Landing.jsx;frontend/src/pages/Signup.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;backend/routes/student_guardians.py;backend/routes/trainer_intake.py;backend/routes/trainer_operating_center.py;backend/routes/care.py;backend/routes/admin_billing.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-003,ES-FEAT-RELATIONSHIP-000,guardian-minor relationships,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/GuardianDashboard.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/FormsSignatures.jsx;backend/routes/student_guardians.py;backend/routes/guardian_intake.py;backend/routes/billing.py;backend/routes/document_signatures.py;backend/routes/onboarding.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-004,ES-FEAT-RELATIONSHIP-000,delegated authority,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,backend/routes/student_guardians.py;backend/routes/billing.py;backend/routes/document_signatures.py;backend/routes/operations.py;backend/routes/recurring_charges.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-005,ES-FEAT-RELATIONSHIP-000,effective dates,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/OwnerUpdates.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/HorseProfile.jsx;frontend/src/pages/OwnerPortal.jsx;backend/routes/owner_updates.py;backend/routes/backlog.py;backend/routes/digests.py;backend/routes/reports.py;backend/routes/student_guardians.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-006,ES-FEAT-RELATIONSHIP-000,disputes,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,backend/routes/student_guardians.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-007,ES-FEAT-RELATIONSHIP-000,restrictions,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,backend/routes/student_guardians.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-008,ES-FEAT-RELATIONSHIP-000,relationship verification,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/EmergencyContacts.jsx;frontend/src/pages/VerifyEmail.jsx;backend/routes/student_guardians.py;backend/routes/admin_review.py;backend/routes/auth.py;backend/routes/digests.py;backend/routes/onboarding.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-009,ES-FEAT-RELATIONSHIP-000,relationship termination,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/EmergencyContacts.jsx;backend/routes/student_guardians.py;backend/routes/onboarding.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-010,ES-FEAT-RELATIONSHIP-000,cross-tenant relationships,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/AuditLog.jsx;frontend/src/pages/Dashboard.jsx;frontend/src/pages/Feed.jsx;frontend/src/pages/Riders.jsx;backend/routes/student_guardians.py;backend/routes/admin.py;backend/routes/dashboard.py;backend/routes/horse_ledger.py;backend/routes/pulse.py,MATRIX_ROW
ES-FEAT-RELATIONSHIP-011,ES-FEAT-RELATIONSHIP-000,historical relationships,Relationships and guardianship,ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,backend/routes/student_guardians.py,MATRIX_ROW
ES-FEAT-FACILITY-000,ROOT,"Facility, barn, business, and physical operations","Facility, barn, business, and physical operations",DOMAIN_PARENT_FROM_DIRECTIVE_SECTION_8,backend/routes/barns.py; backend/routes/onboarding.py; backend/routes/backlog.py; backend/routes/admin_portal/facilities.py,DOMAIN_PARENT_ONLY_NOT_A_MATRIX_ROW
ES-FEAT-FACILITY-001,ES-FEAT-FACILITY-000,facility creation,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/FacilityDashboard.jsx;frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/barn_owner_intake.py,MATRIX_ROW
ES-FEAT-FACILITY-002,ES-FEAT-FACILITY-000,barn lifecycle,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/BarnLocations.jsx;frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;backend/routes/barn_owner_intake.py;backend/routes/barns.py;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py,MATRIX_ROW
ES-FEAT-FACILITY-003,ES-FEAT-FACILITY-000,locations,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/BarnLocations.jsx;frontend/src/pages/Landing.jsx;frontend/src/pages/Onboarding.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;backend/routes/onboarding.py;backend/routes/backlog.py;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/auth.py,MATRIX_ROW
ES-FEAT-FACILITY-004,ES-FEAT-FACILITY-000,stalls,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/Enrollment.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/backlog.py,MATRIX_ROW
ES-FEAT-FACILITY-005,ES-FEAT-FACILITY-000,arenas,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/ArenaSchedule.jsx;frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;backend/routes/backlog.py;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py,MATRIX_ROW
ES-FEAT-FACILITY-006,ES-FEAT-FACILITY-000,pastures,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/PastureSchedule.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/backlog.py,MATRIX_ROW
ES-FEAT-FACILITY-007,ES-FEAT-FACILITY-000,facility maps,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/features/dashboards/FacilityDashboard.jsx;frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/barn_owner_intake.py,MATRIX_ROW
ES-FEAT-FACILITY-008,ES-FEAT-FACILITY-000,occupancy,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/Enrollment.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/backlog.py,MATRIX_ROW
ES-FEAT-FACILITY-009,ES-FEAT-FACILITY-000,assignments,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/CareLedgerTab.jsx;backend/routes/backlog.py;backend/routes/horse_ledger.py;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py,MATRIX_ROW
ES-FEAT-FACILITY-010,ES-FEAT-FACILITY-000,inspections,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/Enrollment.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/backlog.py,MATRIX_ROW
ES-FEAT-FACILITY-011,ES-FEAT-FACILITY-000,maintenance,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/RoleIntake.jsx;frontend/src/pages/Landing.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/BarnLocations.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/admin.py;backend/routes/auth.py,MATRIX_ROW
ES-FEAT-FACILITY-012,ES-FEAT-FACILITY-000,work orders,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/EmergencyWorkflows.jsx;frontend/src/pages/Enrollment.jsx;backend/routes/membership.py;backend/routes/auth.py;backend/routes/backlog.py;backend/routes/billing.py;backend/routes/document_signatures.py,MATRIX_ROW
ES-FEAT-FACILITY-013,ES-FEAT-FACILITY-000,hazards,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/Enrollment.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/backlog.py,MATRIX_ROW
ES-FEAT-FACILITY-014,ES-FEAT-FACILITY-000,closures,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/Enrollment.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/backlog.py,MATRIX_ROW
ES-FEAT-FACILITY-015,ES-FEAT-FACILITY-000,contractors,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/Enrollment.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/backlog.py,MATRIX_ROW
ES-FEAT-FACILITY-016,ES-FEAT-FACILITY-000,capital improvements,"Facility, barn, business, and physical operations",ES-FEAT-<DOMAIN>-<NUMBER> assigned by this V1.0 package,frontend/src/pages/Landing.jsx;frontend/src/pages/RoleIntake.jsx;frontend/src/features/dashboards/PersonalDashboard.jsx;frontend/src/pages/AdminReviewQueue.jsx;frontend/src/pages/Enrollment.jsx;backend/routes/manager_intake.py;backend/routes/membership.py;backend/routes/onboarding.py;backend/routes/auth.py;backend/routes/backlog.py,MATRIX_ROW
