feature_id,feature_name,prior_expected_code_guide,reconciliation_class,primary_v1_1_guide,secondary_v1_1_guides,new_guide_required,reconciliation_rationale,pilot_treatment
ES-FEAT-AI-002,inventory recognition,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-08;ES-CG-10;ES-CG-13,NO,"AI recognition is governed primarily by ES-CG-09 with domain testing and evidence dependencies.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-003,summaries,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-03;ES-CG-10;ES-CG-13,NO,"AI summaries fall within ES-CG-09; permissions validation and provenance remain cross-cutting.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-004,recommendations,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-03;ES-CG-10;ES-CG-13,NO,"AI recommendations fall within ES-CG-09 and require authorization testing and evidence controls.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-005,scheduling assistance,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-08;ES-CG-10;ES-CG-13,NO,"AI scheduling assistance is an AI-controlled domain workflow rather than a new-guide family.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-006,anomaly detection,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-10;ES-CG-11;ES-CG-13,NO,"AI anomaly detection belongs to ES-CG-09 with testing operational and evidence controls.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-007,reporting interpretation,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-08;ES-CG-10;ES-CG-13,NO,"AI interpretation belongs to ES-CG-09 with reporting-domain and evidence controls.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-008,model providers,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-06;ES-CG-11,NO,"Model governance is ES-CG-09; provider connection and operational handling are ES-CG-06/11 overlays.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-009,human review,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-07;ES-CG-10;ES-CG-13,NO,"Human review is a core AI safety control with UX testing and evidence dependencies.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-010,prohibited decisions,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-03;ES-CG-10;ES-CG-13,NO,"Prohibited AI decisions are directly owned by ES-CG-09 with authorization and negative-test evidence.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-011,prompt and output handling,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-03;ES-CG-10;ES-CG-13,NO,"Prompt/output handling is within AI security/privacy control with authorization testing and evidence overlays.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-AI-012,AI provenance,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-13;ES-CG-10,NO,"AI provenance is governed by ES-CG-09 with ES-CG-13 evidence/traceability as a strong secondary owner.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-INTEGRATIONS-001,Stripe,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-08;ES-CG-11,NO,"Stripe is an external adapter; financial-domain security and operational controls remain secondary.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-002,QuickBooks,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-08;ES-CG-11,NO,"QuickBooks is an external adapter with financial-domain security and operations overlays.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-003,Google Calendar,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-08,NO,"Calendar connectivity is an external-adapter concern with privacy/security and scheduling-domain overlays.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-004,Microsoft Calendar,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-08,NO,"Calendar connectivity is an external-adapter concern with privacy/security and scheduling-domain overlays.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-005,Apple Calendar or ICS,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-08,NO,"Calendar/ICS exchange belongs to API/event/adapter engineering with privacy/security and domain overlays.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-006,email,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-11,NO,"Email delivery is an external-adapter concern with privacy/security and operational-delivery controls.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-007,SMS,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-11,NO,"SMS delivery is an external-adapter concern with privacy/security and delivery-failure operations controls.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-008,push notifications,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-07;ES-CG-11,NO,"Push delivery belongs to adapters/events with privacy UX and operational controls.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-009,electronic-signature providers,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-03;ES-CG-09;ES-CG-13,NO,"E-signature providers are external adapters with authorization privacy/security and evidence dependencies.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-010,maps,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-07,NO,"Map providers are external adapters with location-privacy and human-interface controls.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-011,storage,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-11,NO,"External storage integration belongs to adapter engineering with security and operational resilience overlays.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-012,media processing,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-08,NO,"External media processing belongs to adapters with media-domain and security/privacy controls.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-013,identity providers,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-03;ES-CG-09,NO,"Identity-provider connection is an external adapter while identity/authorization and security remain controlling overlays.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-014,accounting imports,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-04;ES-CG-08;ES-CG-09,NO,"Accounting imports are adapter/data-ingestion behavior with migration/data financial-domain and security overlays.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-015,payment imports,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-04;ES-CG-08;ES-CG-09,NO,"Payment imports are adapter/data-ingestion behavior with data financial-domain and security overlays.",VERIFY_IF_ENABLED
ES-FEAT-INTEGRATIONS-016,data export,DOC-CG-VENDOR-THIRD-PARTY-RISK,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-03;ES-CG-09;ES-CG-13,NO,"External export is an API/adapter concern with authorization privacy/security and evidence controls.",VERIFY_IF_ENABLED
ES-FEAT-DEVELOPER-001,APIs,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-03;ES-CG-09;ES-CG-13,NO,"APIs are explicitly within ES-CG-06; authorization security and traceability are secondary.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-002,webhooks,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-11;ES-CG-13,NO,"Webhooks are events/adapters within ES-CG-06 with security operations and traceability overlays.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-003,events,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-04;ES-CG-13,NO,"Events are explicitly within ES-CG-06 with state/data and evidence overlays.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-004,adapters,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-11,NO,"Adapters are explicitly owned by ES-CG-06 with security and operational controls.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-005,plugins,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-02;ES-CG-03;ES-CG-09,NO,"Plugin engineering fits the adapter/extensibility surface with architecture authorization and security overlays; no separate guide is established here.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-006,service accounts,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-03,ES-CG-06;ES-CG-09,NO,"Service-account authority is primarily identity/authorization, with integration and security overlays.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-007,integrations,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-11,NO,"Integration engineering is explicitly owned by ES-CG-06 with security and operational overlays.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-008,rate limits,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-11,NO,"API/integration rate limits belong primarily to ES-CG-06 with abuse/security and reliability overlays.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-009,versioning,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-04;ES-CG-12,NO,"API/event versioning belongs to ES-CG-06 with data/state and controlled-delivery overlays.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-010,developer credentials,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-03,ES-CG-06;ES-CG-09,NO,"Developer credentials are primarily identity/authorization/security with adapter-platform scope.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-011,sandbox behavior,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-09;ES-CG-11;ES-CG-12,NO,"Developer sandbox behavior is platform integration behavior with security operations and delivery isolation controls.",DEFER_IF_NOT_PILOT_REQUIRED
ES-FEAT-DEVELOPER-012,deprecation,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-06,ES-CG-12;ES-CG-11;ES-CG-13,NO,"API/integration deprecation belongs to ES-CG-06 with release operations and evidence controls.",DEFER_IF_NOT_PILOT_REQUIRED
