queue_name,feature_id,feature_name,primary_domain,risk,priority,affected_personas,governance_status,implementation_status,dependency_blockers,proposed_owner,recommended_next_action,rationale
PIA_SUPPLEMENT_QUEUE,ES-FEAT-PLATFORM-003,operating centers,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-003 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-003,operating centers,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-003 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-004,search,Platform and shell,LOW:4,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-004 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-004,search,Platform and shell,LOW:4,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-004 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RETAINED_GAP_REREVIEW_QUEUE,ES-FEAT-PLATFORM-004,search,Platform and shell,LOW:4,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-004 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-004,search,Platform and shell,LOW:4,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-004 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-005,context switching,Platform and shell,MEDIUM:6,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-005 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-005,context switching,Platform and shell,MEDIUM:6,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-005 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
PIA_SUPPLEMENT_QUEUE,ES-FEAT-PLATFORM-005,context switching,Platform and shell,MEDIUM:6,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-005 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-005,context switching,Platform and shell,MEDIUM:6,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-005 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-006,dashboard composition,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-006 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-006,dashboard composition,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-006 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
PIA_SUPPLEMENT_QUEUE,ES-FEAT-PLATFORM-006,dashboard composition,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-006 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-006,dashboard composition,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-006 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-007,feature discovery,Platform and shell,MEDIUM:8,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-007 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-007,feature discovery,Platform and shell,MEDIUM:8,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-007 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
PIA_SUPPLEMENT_QUEUE,ES-FEAT-PLATFORM-007,feature discovery,Platform and shell,MEDIUM:8,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-007 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-007,feature discovery,Platform and shell,MEDIUM:8,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-007 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-008,global actions,Platform and shell,MEDIUM:6,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-008 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-008,global actions,Platform and shell,MEDIUM:6,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-008 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
PIA_SUPPLEMENT_QUEUE,ES-FEAT-PLATFORM-008,global actions,Platform and shell,MEDIUM:6,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-008 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-008,global actions,Platform and shell,MEDIUM:6,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-008 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-009,administrative navigation,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-009 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-009,administrative navigation,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-009 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
PIA_SUPPLEMENT_QUEUE,ES-FEAT-PLATFORM-009,administrative navigation,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-009 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-009,administrative navigation,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-009 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-010,multi-facility context,Platform and shell,MEDIUM:8,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-010 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-010,multi-facility context,Platform and shell,MEDIUM:8,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-010 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
PIA_SUPPLEMENT_QUEUE,ES-FEAT-PLATFORM-010,multi-facility context,Platform and shell,MEDIUM:8,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-010 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-010,multi-facility context,Platform and shell,MEDIUM:8,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-010 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-IDENTITY-001,person identity,Identity and access,MEDIUM:2,P2,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-IDENTITY-001 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
