conflict_id,type,CONFLICT_TYPE,CONFLICT_SEVERITY,AFFECTED_FEATURE_IDS,AFFECTED_ARTIFACTS,description,PROPOSED_RESOLUTION,RESOLUTION_AUTHORITY_REQUIRED,CONFLICT_STATUS,source_ids,atomic_proposition,owner,closure_criteria,conflict_queue_required
ATOMIC-CONFLICT-011,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-001,PIA-01;PIA-03,"ES-FEAT-IDENTITY-001 retains a row-level source, evidence, or authority limitation after independent review.",VERIFY_REPOSITORY_IMPLEMENTATION,ENGINEERING,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,"EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; Documentary governance layers referenced, but implementation, runtime, and parent-PIA source identity remain unverified; not an adoption, activation, conformity, or release-readiness claim.",ENGINEERING,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-012,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-002,PIA-01;PIA-03,"ES-FEAT-IDENTITY-002 retains a row-level source, evidence, or authority limitation after independent review.",VERIFY_REPOSITORY_IMPLEMENTATION,ENGINEERING,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,"EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; Documentary governance layers referenced, but implementation, runtime, and parent-PIA source identity remain unverified; not an adoption, activation, conformity, or release-readiness claim.",ENGINEERING,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-013,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,LOW,ES-FEAT-IDENTITY-003,PIA-01;PIA-03,"ES-FEAT-IDENTITY-003 retains a row-level source, evidence, or authority limitation after independent review.",VERIFY_REPOSITORY_IMPLEMENTATION,ENGINEERING,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,"EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; Documentary governance layers referenced, but implementation, runtime, and parent-PIA source identity remain unverified; not an adoption, activation, conformity, or release-readiness claim.",ENGINEERING,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-014,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-004,PIA-01;PIA-03,"ES-FEAT-IDENTITY-004 retains a row-level source, evidence, or authority limitation after independent review.",VERIFY_REPOSITORY_IMPLEMENTATION,ENGINEERING,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,IMPLEMENTATION_ONLY_GAP: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: NOT_FOUND; feature tests not executed by this matrix,ENGINEERING,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-015,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-005,PIA-01;PIA-03,"ES-FEAT-IDENTITY-005 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-016,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-006,PIA-01;PIA-03,"ES-FEAT-IDENTITY-006 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-017,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-007,PIA-01;PIA-03,"ES-FEAT-IDENTITY-007 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-018,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-008,PIA-01;PIA-03,"ES-FEAT-IDENTITY-008 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-019,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-009,PIA-01;PIA-03,"ES-FEAT-IDENTITY-009 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-020,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-010,PIA-01;PIA-03,"ES-FEAT-IDENTITY-010 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-021,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-011,PIA-01;PIA-03,"ES-FEAT-IDENTITY-011 retains a row-level source, evidence, or authority limitation after independent review.",VERIFY_REPOSITORY_IMPLEMENTATION,ENGINEERING,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,"EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; Documentary governance layers referenced, but implementation, runtime, and parent-PIA source identity remain unverified; not an adoption, activation, conformity, or release-readiness claim.",ENGINEERING,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-022,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-012,PIA-01;PIA-03,"ES-FEAT-IDENTITY-012 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-023,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-013,PIA-01;PIA-03,"ES-FEAT-IDENTITY-013 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-024,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-014,PIA-01;PIA-03,"ES-FEAT-IDENTITY-014 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-025,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-015,PIA-01;PIA-03,"ES-FEAT-IDENTITY-015 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-026,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,MEDIUM,ES-FEAT-IDENTITY-016,PIA-01;PIA-03,"ES-FEAT-IDENTITY-016 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-01-IDENTITY-ACCESS; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-027,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,CRITICAL,ES-FEAT-RELATIONSHIP-001,PIA-03;PIA-01;PIA-08,"ES-FEAT-RELATIONSHIP-001 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-03-RELATIONSHIP-GUARDIANSHIP; EVIDENCE_STATUS: PARTIAL_IMPLEMENTATION; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-029,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,CRITICAL,ES-FEAT-RELATIONSHIP-003,PIA-03;PIA-01;PIA-08,"ES-FEAT-RELATIONSHIP-003 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-03-RELATIONSHIP-GUARDIANSHIP; EVIDENCE_STATUS: IMPLEMENTED_UNVERIFIED; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
ATOMIC-CONFLICT-030,ROW_LEVEL_RETAINED_GAP,SOURCE_EVIDENCE_OR_AUTHORITY_RETAINED_GAP,CRITICAL,ES-FEAT-RELATIONSHIP-004,PIA-03;PIA-01;PIA-08,"ES-FEAT-RELATIONSHIP-004 retains a row-level source, evidence, or authority limitation after independent review.",DRAFT_PIA_SUPPLEMENT,GOVERNANCE,OPEN_REQUIRES_TARGETED_REREVIEW_OR_FOUNDER_DECISION,SRC-CLAUDE-REVIEW;SRC-PERPLEXITY-REVIEW;SRC-CURSOR-REVIEW;SRC-FOUNDER-DIRECTIVE-2026-08-04,PIA_SUPPLEMENT_CANDIDATE: DOC-SUP-PIA-03-RELATIONSHIP-GUARDIANSHIP; EVIDENCE_STATUS: PARTIAL_IMPLEMENTATION; feature tests not executed by this matrix; SOURCE_RECONCILIATION: PIA realignment register reports no primary package located for at least one governing PIA position,GOVERNANCE,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,YES
