feature_id,feature_name,product_domain,missing_controlling_canon,missing_controlling_pia,missing_system_of_truth,missing_permission_owner,missing_safeguarding_owner,missing_retention_treatment,missing_audit_treatment,required_action,source_ids
ES-FEAT-MARKETPLACE-011,disputes,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-012,bookings,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-013,payment responsibilities,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-BACKEND-TEST-TEST-RF12-BILLING-PAYMENTS-EXPORTS-FINANCIAL-TRUTH;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-ADVANCEDREPORTS;SRC-FRONTEND-PAGE-PAYMENTS;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-014,suspension and delisting,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-001,APIs,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-ROUTE-PULSE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-002,webhooks,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-ROUTE-PULSE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-SUBSCRIPTIONSUCCESS;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-003,events,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ANALYTICS;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-SERVER-ASSEMBLY;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-004,adapters,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-ROUTE-PULSE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-005,plugins,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-ROUTE-PULSE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-006,service accounts,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-ROUTE-SERVICE-PROVIDER-CENTER;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-AUDIT-SERVICE;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-007,integrations,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-ROUTE-PULSE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-EXPENSES;SRC-FRONTEND-PAGE-FEATUREWORKSPACE;SRC-FRONTEND-PAGE-GROUPMESSAGING;SRC-FRONTEND-PAGE-INTEGRATIONS;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-008,rate limits,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-AUDIT;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-RATE-LIMIT;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-HEALTHCARELOGS;SRC-FRONTEND-PAGE-HORSEPROFILE;SRC-FRONTEND-PAGE-INCIDENTS;SRC-FRONTEND-PAGE-OWNERPORTAL;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-009,versioning,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-ROUTE-PULSE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-010,developer credentials,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-SERVER-ASSEMBLY;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-011,sandbox behavior,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ANALYTICS;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-6E-DOCUSIGN-SANDBOX-ENVELOPE;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-REPORTS;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-DEVELOPER-012,deprecation,Developer platform and extensibility,NO,YES,NO,NO,NO,NO,NO,DOC-CG-DEVELOPER-PLATFORM-EXTENSIBILITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DASHBOARD;SRC-BACKEND-ROUTE-DOCUMENT-SIGNATURES;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-SERVER-ASSEMBLY;SRC-CANON-DATA-PROTECTION-CANON-V1.0;SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0;SRC-CANON-EXTENSIBILITY-CANON-V2.0;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
