artifact_id,title,artifact_class,lifecycle_state,authority_state,source_id,notes
IDENTITY-CANON-V2.0,"Master Identity, Account, and Actor Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-IDENTITY-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
RELATIONSHIP-CANON-V2.0,Master Relationship Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-RELATIONSHIP-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
PERMISSION-CANON-V1.1,Master Permission and Access Control Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-PERMISSION-CANON-V1.1,Canonical source for coverage analysis; no amendment in this package.
AGREEMENT-CONSENT-AUTHORIZATION-CANON-V2.1,"Master Agreement, Consent, and Authorization Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-AGREEMENT-CONSENT-AUTHORIZATION-CANON-V2.1,Canonical source for coverage analysis; no amendment in this package.
FACILITY-CANON-V2.1,Master Facility Domain Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-FACILITY-CANON-V2.1,Canonical source for coverage analysis; no amendment in this package.
BARN-CANON-V3.1,Master Barn Lifecycle and Operations Canon,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-BARN-CANON-V3.1,Canonical source for coverage analysis; no amendment in this package.
BUSINESS-CANON-V2.1,Master Business Lifecycle Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-BUSINESS-CANON-V2.1,Canonical source for coverage analysis; no amendment in this package.
ECOSYSTEM-CANON-V2.1,Master Ecosystem Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-ECOSYSTEM-CANON-V2.1,Canonical source for coverage analysis; no amendment in this package.
CLAIMS-CANON-V2.0,"Master Claims, Disputes, and Authority Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-CLAIMS-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
RECORDS-CANON-V2.1,Master Record Stewardship and Retention Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-RECORDS-CANON-V2.1,Canonical source for coverage analysis; no amendment in this package.
AUDIT-CANON-V2.0,Master Audit Event and Evidence Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-AUDIT-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
COMMUNICATION-CANON-V2.0,"Master Communication, Notification, and Notice Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-COMMUNICATION-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
PRIVACY-CANON-V2.0,Master Privacy and Data Protection Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-PRIVACY-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
EQUINE-HEALTH-CANON-V1.1,"Master Equine Health, Welfare, Medical Record, and Clinical Support Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-EQUINE-HEALTH-CANON-V1.1,Canonical source for coverage analysis; no amendment in this package.
HORSE-LIFECYCLE-CANON-V3.1,Master Horse Lifecycle and Passport Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-HORSE-LIFECYCLE-CANON-V3.1,Canonical source for coverage analysis; no amendment in this package.
HORSE-TRANSFER-CANON,Master Horse Transfer and Continuity Policy,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-HORSE-TRANSFER-CANON,Canonical source for coverage analysis; no amendment in this package.
SEARCH-CANON-V2.0,"Master Search, Discovery, Ranking, and Retrieval Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-SEARCH-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
PLATFORM-OPS-CANON-V2.0,"Master Platform Operations, Reliability, and Release Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-PLATFORM-OPS-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
RESILIENCE-CANON-V1.0,"Master Platform Resilience, Backup, and Recovery Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-RESILIENCE-CANON-V1.0,Canonical source for coverage analysis; no amendment in this package.
INCIDENT-RESPONSE-CANON-V1.0,Master Security Incident Response and Disclosure Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-INCIDENT-RESPONSE-CANON-V1.0,Canonical source for coverage analysis; no amendment in this package.
SAFEGUARDING-CANON-V1.2,"Master Minor, Guardianship, Safeguarding, and Protected Participant Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-SAFEGUARDING-CANON-V1.2,Canonical source for coverage analysis; no amendment in this package.
FINANCIAL-TRUTH-CANON-V2.1,Master Financial Truth and Responsibility Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1,Canonical source for coverage analysis; no amendment in this package.
PRODUCT-VISION-CANON,Master Product Vision,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-PRODUCT-VISION-CANON,Canonical source for coverage analysis; no amendment in this package.
CONFIGURATION-CANON-V2.0,Master Configuration and Feature Flag Governance Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-CONFIGURATION-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
DATA-PROTECTION-CANON-V1.0,"Master Data Protection, Encryption, and Key Management Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-DATA-PROTECTION-CANON-V1.0,Canonical source for coverage analysis; no amendment in this package.
MEDIA-CANON-V2.1,Master Media Files and Digital Asset Governance Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-MEDIA-CANON-V2.1,Canonical source for coverage analysis; no amendment in this package.
DEVELOPER-PLATFORM-CANON-V2.0,Master Developer Platform and Integration Governance Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-DEVELOPER-PLATFORM-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
EXTENSIBILITY-CANON-V2.0,Master Platform Extensibility and Plugin Governance Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-EXTENSIBILITY-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
VENDOR-SECURITY-CANON-V2.0,Master Vendor Security and Supply Chain Model,CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-VENDOR-SECURITY-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
REPORTING-CANON-V2.0,"Master Reporting, Analytics, and Business Intelligence Model",CANON,AS_RECORDED_IN_SOURCE_REGISTER,CONTEXTUAL_OR_CONTROLLING_CANON_SOURCE,SRC-CANON-REPORTING-CANON-V2.0,Canonical source for coverage analysis; no amendment in this package.
ES-CG-00,Code Guide Charter,CODE_GUIDE,ACTIVE_LIMITED_STAGE_24,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-01,Engineering Authority and Precedence,CODE_GUIDE,ACTIVE_LIMITED_STAGE_24,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-02,Architecture and Module Boundaries,CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-03,"Identity, Tenancy, and Authorization",CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-04,"Data, State, and Migrations",CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-05,"Offline, Synchronization, and Conflicts",CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-06,"APIs, Events, and External Adapters",CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-07,"Web, Mobile, Accessibility, and Human Factors",CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-08,Domain Engineering Standards,CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-09,"Safeguarding, Privacy, Security, and AI",CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-10,"Testing, Verification, and Assurance",CODE_GUIDE,ACTIVE_LIMITED_STAGE_24,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-11,"Observability, Reliability, Support, and Operations",CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-12,"Delivery, Release, Deployment, and Activation",CODE_GUIDE,PLANNED_NOT_ACTIVE,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
ES-CG-13,"Completion, Evidence, and Traceability",CODE_GUIDE,ACTIVE_LIMITED_STAGE_24,NO_IMPLEMENTATION_MAPPING_OR_IMPLEMENTATION_AUTHORITY,SRC-CODE-GUIDE-PROGRAM-STATUS,Scope per Program Status and activation register.
