domain,legacy_value,v1_1_value,classification,compatibility_treatment,historical_preservation,automatic_migration_allowed
evidence_grade,E1_ASSERTED,E1_ASSERTED,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E2_DOCUMENTED,E2_DOCUMENTED,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E3_REPEATABLE,E3_REPEATABLE,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E4_INDEPENDENTLY_REPRODUCED,E4_INDEPENDENTLY_REPRODUCED,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E5_OPERATIONALLY_OBSERVED,E5_OPERATIONALLY_OBSERVED,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E0_ASSERTION,E1_ASSERTED,CONTEXTUAL_EQUIVALENT,Historical assertion maps conceptually to asserted evidence after review.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E1_MANUAL_OBSERVATION,E2_DOCUMENTED,CONTEXTUAL_EQUIVALENT,Manual observation requires preserved documentary support before conversion.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E2_REPRODUCIBLE_LOCAL,E3_REPEATABLE,CONTEXTUAL_EQUIVALENT,Requires preserved inputs and outputs before conversion.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E3_INDEPENDENT_CI,E4_INDEPENDENTLY_REPRODUCED,CONTEXTUAL_EQUIVALENT,Requires independent reproduction evidence before conversion.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E4_CONTROLLED_ENVIRONMENT,NO_SINGLE_VALUE,SPLIT_INTO_MULTIPLE_V1_1_VALUES,"May be E3, E4, or E5 depending on environment and observation.",PRESERVE_LEGACY_RECORD_BYTES,NO
evidence_grade,E5_PRODUCTION,E5_OPERATIONALLY_OBSERVED,CONTEXTUAL_EQUIVALENT,"Requires authorized runtime evidence, which is not authorized here.",PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,PLANNED,PLANNED,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,CHARTERED,CHARTERED,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,SOURCE_FROZEN,SOURCE_FROZEN,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,CURRENT_STATE_ASSESSED,CURRENT_STATE_ASSESSED,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,DRAFTING,DRAFTING,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,INTERNAL_REVIEW,INTERNAL_REVIEW,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,TECHNICAL_REVIEW,TECHNICAL_REVIEW,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,DOMAIN_REVIEW,DOMAIN_REVIEW,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,CROSS_GUIDE_REVIEW,CROSS_GUIDE_REVIEW,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,ADVERSARIAL_REVIEW,ADVERSARIAL_REVIEW,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,IMPLEMENTER_USABILITY_REVIEW,IMPLEMENTER_USABILITY_REVIEW,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,SCENARIO_VALIDATED,SCENARIO_VALIDATED,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,ASSURANCE_REVIEW,ASSURANCE_REVIEW,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,ADOPTION_CANDIDATE,ADOPTION_CANDIDATE,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,ADOPTED,ADOPTED,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,REPOSITORY_ACCESSIONED,REPOSITORY_ACCESSIONED,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,ACTIVE,ACTIVE,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,REVISION_PENDING,REVISION_PENDING,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,BLOCKED,BLOCKED,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,SUPERSEDED,SUPERSEDED,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,RETIRED,RETIRED,DIRECT_EQUIVALENT,Use for V1.1 lifecycle records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
maturity_state,PRODUCT_REVIEW,DOMAIN_REVIEW,CONTEXTUAL_EQUIVALENT,Historical label preserved; future records use DOMAIN_REVIEW where applicable.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
mapping_state,IMPLEMENTED,IMPLEMENTED,DIRECT_EQUIVALENT,Use for documentary mapping status only.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
mapping_state,PARTIALLY_IMPLEMENTED,PARTIALLY_IMPLEMENTED,DIRECT_EQUIVALENT,Use for documentary mapping status only.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
mapping_state,PLANNED,PLANNED,DIRECT_EQUIVALENT,Use for documentary mapping status only.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
mapping_state,MISSING,MISSING,DIRECT_EQUIVALENT,Use for documentary mapping status only.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
mapping_state,CONFLICTING,CONFLICTING,DIRECT_EQUIVALENT,Use for documentary mapping status only.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
mapping_state,NOT_APPLICABLE,NOT_APPLICABLE,DIRECT_EQUIVALENT,Use for documentary mapping status only.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
mapping_state,UNRESOLVED,UNRESOLVED,DIRECT_EQUIVALENT,Use for documentary mapping status only.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
mapping_state,UNKNOWN,UNRESOLVED,CONTEXTUAL_EQUIVALENT,Historical uncertainty should become unresolved only after review.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
activation_scope,PLANNING_REFERENCE,PLANNING_REFERENCE,DIRECT_EQUIVALENT,All scopes default false unless expressly granted.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
activation_scope,IMPLEMENTATION_CONTROL,IMPLEMENTATION_CONTROL,DIRECT_EQUIVALENT,All scopes default false unless expressly granted.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
activation_scope,PULL_REQUEST_REVIEW,PULL_REQUEST_REVIEW,DIRECT_EQUIVALENT,All scopes default false unless expressly granted.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
activation_scope,MERGE_GATE,MERGE_GATE,DIRECT_EQUIVALENT,All scopes default false unless expressly granted.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
activation_scope,RELEASE_GATE,RELEASE_GATE,DIRECT_EQUIVALENT,All scopes default false unless expressly granted.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
activation_scope,OPERATIONS_REFERENCE,OPERATIONS_REFERENCE,DIRECT_EQUIVALENT,All scopes default false unless expressly granted.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
suspension_deactivation_state,NOT_SUSPENDED,NOT_SUSPENDED,DIRECT_EQUIVALENT,Use for future suspension or deactivation records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
suspension_deactivation_state,SUSPENSION_PROPOSED,SUSPENSION_PROPOSED,DIRECT_EQUIVALENT,Use for future suspension or deactivation records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
suspension_deactivation_state,SUSPENDED,SUSPENDED,DIRECT_EQUIVALENT,Use for future suspension or deactivation records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
suspension_deactivation_state,DEACTIVATION_PROPOSED,DEACTIVATION_PROPOSED,DIRECT_EQUIVALENT,Use for future suspension or deactivation records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
suspension_deactivation_state,DEACTIVATED,DEACTIVATED,DIRECT_EQUIVALENT,Use for future suspension or deactivation records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
suspension_deactivation_state,SUPERSEDED,SUPERSEDED,DIRECT_EQUIVALENT,Use for future suspension or deactivation records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
suspension_deactivation_state,RETIRED,RETIRED,DIRECT_EQUIVALENT,Use for future suspension or deactivation records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
