section,canonical_heading,source_ids,requirement_ids,acceptance_ids,test_ids,decision_ids,unresolved_ids,status
19,"Search, Reporting, and Analytics",HOR-SRC-011,HOR-REQ-027;HOR-REQ-028;HOR-REQ-074,NONE,NONE,NONE,NONE,DOCUMENTED
20,"Offline, Device, and Synchronization",HOR-SRC-011,HOR-REQ-077;HOR-REQ-078;HOR-REQ-079;HOR-REQ-080,NONE,NONE,NONE,NONE,DOCUMENTED
21,"Security, Privacy, Consent, Safeguarding, and Abuse Controls",HOR-SRC-009,HOR-REQ-071;HOR-REQ-115;HOR-REQ-116,NONE,NONE,NONE,NONE,DOCUMENTED
22,AI and Automation Controls,HOR-SRC-011,HOR-REQ-081;HOR-REQ-082;HOR-REQ-083,NONE,NONE,NONE,NONE,DOCUMENTED
23,"Failure Modes, Recovery, Correction, and Reconciliation",HOR-SRC-009;HOR-SRC-011,HOR-REQ-089;HOR-REQ-092;HOR-REQ-117;HOR-REQ-119,NONE,NONE,NONE,NONE,DOCUMENTED
24,"Observability, Administration, Support, and Incident Operations",HOR-SRC-011,HOR-REQ-087;HOR-REQ-093,NONE,NONE,NONE,NONE,DEFERRED_TO_IMPLEMENTATION_ATLAS_OR_SEPARATE_AUTHORITY
25,Nonfunctional and Quality Attribute Requirements,HOR-SRC-001;HOR-SRC-011,HOR-REQ-088;HOR-REQ-093,NONE,NONE,NONE,NONE,DEFERRED_TO_IMPLEMENTATION_ATLAS_OR_SEPARATE_AUTHORITY
26,"Environment, Configuration, Feature Flags, and Secrets",HOR-SRC-011,HOR-REQ-083;HOR-REQ-100,NONE,NONE,NONE,NONE,DEFERRED_TO_IMPLEMENTATION_ATLAS_OR_SEPARATE_AUTHORITY
27,"Migration, Seed Data, and Reconciliation",HOR-SRC-001,HOR-REQ-090;HOR-REQ-091;HOR-REQ-092,NONE,NONE,NONE,NONE,DEFERRED_TO_IMPLEMENTATION_ATLAS_OR_SEPARATE_AUTHORITY
28,Engineering Work Packages and Implementation Sequence,HOR-SRC-001,HOR-REQ-096;HOR-REQ-100,NONE,NONE,NONE,NONE,DEFERRED_TO_IMPLEMENTATION_ATLAS_OR_SEPARATE_AUTHORITY
29,Acceptance Criteria,HOR-SRC-001,HOR-REQ-001;HOR-REQ-002;HOR-REQ-005;HOR-REQ-008;HOR-REQ-009;HOR-REQ-010;HOR-REQ-012;HOR-REQ-019;HOR-REQ-024;HOR-REQ-027;HOR-REQ-029;HOR-REQ-035;HOR-REQ-038;HOR-REQ-040;HOR-REQ-042;HOR-REQ-044;HOR-REQ-045;HOR-REQ-050;HOR-REQ-052;HOR-REQ-054;HOR-REQ-057;HOR-REQ-059;HOR-REQ-063;HOR-REQ-065;HOR-REQ-066;HOR-REQ-069;HOR-REQ-071;HOR-REQ-074;HOR-REQ-076;HOR-REQ-077;HOR-REQ-079;HOR-REQ-081;HOR-REQ-084;HOR-REQ-087;HOR-REQ-089;HOR-REQ-090;HOR-REQ-093;HOR-REQ-094;HOR-REQ-096;HOR-REQ-099;HOR-REQ-101;HOR-REQ-104;HOR-REQ-105;HOR-REQ-108;HOR-REQ-109;HOR-REQ-110;HOR-REQ-113;HOR-REQ-115;HOR-REQ-117;HOR-REQ-120,HOR-AC-001;HOR-AC-002;HOR-AC-003;HOR-AC-004;HOR-AC-005;HOR-AC-006;HOR-AC-007;HOR-AC-008;HOR-AC-009;HOR-AC-010;HOR-AC-011;HOR-AC-012;HOR-AC-013;HOR-AC-014;HOR-AC-015;HOR-AC-016;HOR-AC-017;HOR-AC-018;HOR-AC-019;HOR-AC-020;HOR-AC-021;HOR-AC-022;HOR-AC-023;HOR-AC-024;HOR-AC-025;HOR-AC-026;HOR-AC-027;HOR-AC-028;HOR-AC-029;HOR-AC-030;HOR-AC-031;HOR-AC-032;HOR-AC-033;HOR-AC-034;HOR-AC-035;HOR-AC-036;HOR-AC-037;HOR-AC-038;HOR-AC-039;HOR-AC-040;HOR-AC-041;HOR-AC-042;HOR-AC-043;HOR-AC-044;HOR-AC-045;HOR-AC-046;HOR-AC-047;HOR-AC-048;HOR-AC-049;HOR-AC-050,NONE,NONE,NONE,DOCUMENTED
30,Test and Validation Matrix,HOR-SRC-001,NONE,HOR-AC-001;HOR-AC-002;HOR-AC-003;HOR-AC-004;HOR-AC-006;HOR-AC-007;HOR-AC-008;HOR-AC-009;HOR-AC-010;HOR-AC-011;HOR-AC-012;HOR-AC-013;HOR-AC-014;HOR-AC-015;HOR-AC-016;HOR-AC-017;HOR-AC-018;HOR-AC-019;HOR-AC-020;HOR-AC-021;HOR-AC-022;HOR-AC-023;HOR-AC-024;HOR-AC-025;HOR-AC-026;HOR-AC-027;HOR-AC-028;HOR-AC-029;HOR-AC-030;HOR-AC-031;HOR-AC-032;HOR-AC-033;HOR-AC-034;HOR-AC-035;HOR-AC-036;HOR-AC-037;HOR-AC-038;HOR-AC-040;HOR-AC-041;HOR-AC-042;HOR-AC-043;HOR-AC-044;HOR-AC-045;HOR-AC-046;HOR-AC-047;HOR-AC-048;HOR-AC-049;HOR-AC-050,HOR-TST-001;HOR-TST-002;HOR-TST-003;HOR-TST-004;HOR-TST-005;HOR-TST-006;HOR-TST-007;HOR-TST-008;HOR-TST-009;HOR-TST-010;HOR-TST-011;HOR-TST-012;HOR-TST-013;HOR-TST-014;HOR-TST-015;HOR-TST-016;HOR-TST-017;HOR-TST-018;HOR-TST-019;HOR-TST-020;HOR-TST-021;HOR-TST-022;HOR-TST-023;HOR-TST-024;HOR-TST-025;HOR-TST-026;HOR-TST-027;HOR-TST-028;HOR-TST-029;HOR-TST-030;HOR-TST-031;HOR-TST-032;HOR-TST-033;HOR-TST-034;HOR-TST-035;HOR-TST-036;HOR-TST-037;HOR-TST-038;HOR-TST-039;HOR-TST-040;HOR-TST-041;HOR-TST-042;HOR-TST-043;HOR-TST-044;HOR-TST-045;HOR-TST-046;HOR-TST-047;HOR-TST-048;HOR-TST-049;HOR-TST-050;HOR-TST-051;HOR-TST-052;HOR-TST-053;HOR-TST-054;HOR-TST-055;HOR-TST-056;HOR-TST-057;HOR-TST-058;HOR-TST-059;HOR-TST-060,NONE,NONE,DOCUMENTED_NOT_EXECUTED
31,Golden-Path Reproduction Scenarios,HOR-SRC-001,NONE,NONE,NONE,HOR-FD-016,NONE,DOCUMENTED_NOT_EXECUTED
32,"Adversarial, Negative, and Abuse Scenarios",HOR-SRC-001,NONE,NONE,NONE,NONE,NONE,DOCUMENTED_NOT_EXECUTED
33,"Evidence Requirements, Coverage, and Manifest",HOR-SRC-001;HOR-SRC-009,HOR-REQ-087;HOR-REQ-110;HOR-REQ-113,NONE,NONE,NONE,NONE,DOCUMENTED
34,"Deployment, Rollout, Rollback, and Release Controls",HOR-SRC-001,HOR-REQ-093;HOR-REQ-100,NONE,NONE,NONE,NONE,NOT_READY_NO_AUTHORITY
35,Enrollment and Onboarding Readiness,HOR-SRC-001;HOR-SRC-006;HOR-SRC-007;HOR-SRC-008,HOR-REQ-097;HOR-REQ-120,NONE,NONE,NONE,NONE,NOT_READY_NO_AUTHORITY
36,Dependencies and Critical Path,HOR-SRC-005;HOR-SRC-012,HOR-REQ-052;HOR-REQ-069;HOR-REQ-111,NONE,NONE,NONE,NONE,DOCUMENTED
37,"Open Decisions, Assumptions, Findings, Deviations, and Risks",HOR-SRC-005,NONE,NONE,NONE,HOR-FD-001;HOR-FD-002;HOR-FD-003;HOR-FD-004;HOR-FD-005;HOR-FD-006;HOR-FD-007;HOR-FD-008;HOR-FD-009;HOR-FD-010;HOR-FD-011;HOR-FD-012;HOR-FD-013;HOR-FD-014;HOR-FD-015;HOR-FD-016;HOR-FD-017,NONE,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY
38,Implementation Drift and As-Built Reconciliation,HOR-SRC-001,HOR-REQ-099;HOR-REQ-100,NONE,NONE,NONE,NONE,DEFERRED_TO_IMPLEMENTATION_ATLAS_OR_SEPARATE_AUTHORITY
39,Change-Control History,HOR-SRC-001,HOR-REQ-094;HOR-REQ-099,NONE,NONE,NONE,NONE,DOCUMENTED
40,Requirement Traceability Matrix,HOR-SRC-001;HOR-SRC-002;HOR-SRC-003;HOR-SRC-004;HOR-SRC-005;HOR-SRC-007;HOR-SRC-008;HOR-SRC-009;HOR-SRC-011;HOR-SRC-012,HOR-REQ-001;HOR-REQ-002;HOR-REQ-003;HOR-REQ-004;HOR-REQ-005;HOR-REQ-006;HOR-REQ-007;HOR-REQ-008;HOR-REQ-009;HOR-REQ-010;HOR-REQ-011;HOR-REQ-012;HOR-REQ-013;HOR-REQ-014;HOR-REQ-015;HOR-REQ-016;HOR-REQ-017;HOR-REQ-018;HOR-REQ-019;HOR-REQ-020;HOR-REQ-021;HOR-REQ-022;HOR-REQ-023;HOR-REQ-024;HOR-REQ-025;HOR-REQ-026;HOR-REQ-027;HOR-REQ-028;HOR-REQ-029;HOR-REQ-030;HOR-REQ-031;HOR-REQ-032;HOR-REQ-033;HOR-REQ-034;HOR-REQ-035;HOR-REQ-036;HOR-REQ-037;HOR-REQ-038;HOR-REQ-039;HOR-REQ-040;HOR-REQ-041;HOR-REQ-042;HOR-REQ-043;HOR-REQ-044;HOR-REQ-045;HOR-REQ-046;HOR-REQ-047;HOR-REQ-048;HOR-REQ-049;HOR-REQ-050;HOR-REQ-051;HOR-REQ-052;HOR-REQ-053;HOR-REQ-054;HOR-REQ-055;HOR-REQ-056;HOR-REQ-057;HOR-REQ-058;HOR-REQ-059;HOR-REQ-060;HOR-REQ-061;HOR-REQ-062;HOR-REQ-063;HOR-REQ-064;HOR-REQ-065;HOR-REQ-066;HOR-REQ-067;HOR-REQ-068;HOR-REQ-069;HOR-REQ-070;HOR-REQ-071;HOR-REQ-072;HOR-REQ-073;HOR-REQ-074;HOR-REQ-075;HOR-REQ-076;HOR-REQ-077;HOR-REQ-078;HOR-REQ-079;HOR-REQ-080;HOR-REQ-081;HOR-REQ-082;HOR-REQ-083;HOR-REQ-084;HOR-REQ-085;HOR-REQ-086;HOR-REQ-087;HOR-REQ-088;HOR-REQ-089;HOR-REQ-090;HOR-REQ-091;HOR-REQ-092;HOR-REQ-093;HOR-REQ-094;HOR-REQ-095;HOR-REQ-096;HOR-REQ-097;HOR-REQ-098;HOR-REQ-099;HOR-REQ-100;HOR-REQ-101;HOR-REQ-102;HOR-REQ-103;HOR-REQ-104;HOR-REQ-105;HOR-REQ-106;HOR-REQ-107;HOR-REQ-108;HOR-REQ-109;HOR-REQ-110;HOR-REQ-111;HOR-REQ-112;HOR-REQ-113;HOR-REQ-114;HOR-REQ-115;HOR-REQ-116;HOR-REQ-117;HOR-REQ-118;HOR-REQ-119;HOR-REQ-120,NONE,NONE,NONE,NONE,DOCUMENTED
41,Five Mandatory Readiness Questions,HOR-SRC-001;HOR-SRC-012,HOR-REQ-001;HOR-REQ-077;HOR-REQ-093;HOR-REQ-094;HOR-REQ-101;HOR-REQ-119;HOR-REQ-120,HOR-AC-001;HOR-AC-050,HOR-TST-001;HOR-TST-060,HOR-FD-001;HOR-FD-017,NONE,DOCUMENTED
42,"Review, Approval, Authorization, and Disposition",HOR-SRC-001;HOR-SRC-005,HOR-REQ-099;HOR-REQ-100,NONE,NONE,NONE,NONE,READY_FOR_COMPLIANT_FRESH_REVIEW_ONLY
43,"Maintenance, Supersession, and Decommissioning",HOR-SRC-001,HOR-REQ-094;HOR-REQ-099,NONE,NONE,NONE,NONE,DOCUMENTED
