t1c_id,severity,consolidated_defect,current_target_disposition,closure_state,source_review_ids,current_target_evidence,second_reviewer_state,authority_effect,merge_effect
T1C-011,MEDIUM,Lifecycle vocabulary and transition evidence needed current-surface correction.,REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,PPLX-FD-001;CURSOR-V3-05,V3 binds thirteen-state terminology and retains lifecycle validation evidence.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-012,MEDIUM,Duplicate clusters needed referential-linkage validation.,REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,PPLX-P-12;CURSOR-V3-05,V3 executes an orphan duplicate-cluster negative fixture and retains register validation.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-013,MEDIUM,Workstream and PR status could be stale.,VALID_OPEN_RETAINED,OPEN_RETAINED_FOR_OUTSIDE_REVIEWER_REREVIEW,CURSOR-VR3-007,V3 records this as time-bound documentary evidence only and does not authorize merge.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-014,MEDIUM,Boilerplate/content-depth concerns remain in several registers.,VALID_OPEN_RETAINED,OPEN_RETAINED_FOR_OUTSIDE_REVIEWER_REREVIEW,PPLX-P-02;PPLX-P-03;PPLX-P-05;PPLX-P-07;PPLX-N-07;PPLX-V3-04;CURSOR-VR3-007,V3 strengthens selected dictionaries/schemas but keeps substantive content-depth rereview open.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-015,MEDIUM,"Certification, audit, and attestation terminology could overstate status.",REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,CLAUDE-V2-01;CLAUDE-V2-02,V3 preserves the exact no-certification boundary and validation report status is not certification.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-016,MEDIUM,Principal documents 03-10 may remain too thin.,VALID_OPEN_RETAINED,OPEN_RETAINED_FOR_OUTSIDE_REVIEWER_REREVIEW,PPLX-P-08;PPLX-N-07;PPLX-N-08,V3 keeps this as a reviewer judgment item rather than self-closing.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-017,LOW,"Bootstrap, manifest, and archive custody disclosures needed rebuilt evidence.",REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,CLAUDE-V2-01;PPLX-N-01,V3 rebuilds root and per-directory manifests and emits a detached final ZIP checksum/report.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-018,LOW,Authoritative current rows needed safer source-authority wording.,REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,PPLX-P-06,V3 replaces the unsafe Founder approval evidence label with a non-adoption source-evidence label.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-019,LOW,Second Reviewer appointment/performance boundary needed explicit preservation.,VALID_OPEN_RETAINED,OPEN_RETAINED_FOR_OUTSIDE_REVIEWER_REREVIEW,CLAUDE-V2-06,V3 states Patrick K. Spoon Sr. was designated by directive context only; no performed second review or formal appointment evidence is fabricated.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-020,LOW,Validation remains local-platform only unless reproduced in CI/Linux.,RETAINED_NONBLOCKING_OPEN,OPEN_RETAINED_FOR_OUTSIDE_REVIEWER_REREVIEW,PPLX-P-09,V3 records macOS local validation and retains Linux/CI reproduction as open.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
