FEATURE_ID,FINAL_SCENARIO_COUNT,FINAL_CONTROLLING_SCENARIO_ID,FINAL_CONTROLLING_SCENARIO_SCOPE_KEY,FINAL_RESIDUAL_SEVERITY,FINAL_RESIDUAL_LIKELIHOOD,FINAL_RISK_SCORE,FINAL_RISK_PRIORITY_SIGNAL,FINAL_GOVERNANCE_GATE_STATE,FINAL_GOVERNANCE_URGENCY,CO_CONTROLLING_SCENARIO_SCOPE_KEYS,INSUFFICIENT_EVIDENCE_SCENARIO_COUNT,FEATURE_RESULT_STATE
ES-FEAT-IDENTITY-011,1,RB-IDENTITY-011-01,ES-FEAT-IDENTITY-011::ROLE_OR_CAPABILITY_ASSIGNMENT_DEFECT::PLATFORM_ACTOR_OR_TENANT::UNAUTHORIZED_SENSITIVE_ACCESS::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-INCIDENT-001,1,RB-INCIDENT-001-01,ES-FEAT-INCIDENT-001::INCIDENT_CAPTURE_OR_ESCALATION_FAILURE::INJURED_RIDER::DELAYED_OR_FAILED_EMERGENCY_RESPONSE::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-INCIDENT-010,1,RB-INCIDENT-010-01,ES-FEAT-INCIDENT-010::SAFEGUARDING_INCIDENT_CAPTURE_OR_ESCALATION_FAILURE::PROTECTED_PARTICIPANT::UNADDRESSED_SAFEGUARDING_HARM::ES-RISK-SCOPE-MCE-001,CRITICAL,POSSIBLE,12,VERY_HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-INTEGRATIONS-001,2,RB-INTEGRATIONS-001-01,ES-FEAT-INTEGRATIONS-001::PROVIDER_WEBHOOK_OR_RECONCILIATION_FAILURE::PLATFORM_FINANCIAL_RECORD::MATERIAL_RECONCILIATION_LOSS_OR_DISCREPANCY::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,1,CALIBRATED_EXERCISE_RESULT
ES-FEAT-INVENTORY-001,3,RB-INVENTORY-001-01,ES-FEAT-INVENTORY-001::INVENTORY_OR_CUSTODY_TRACKING_FAILURE::HORSE_RECEIVING_FEED_OR_MEDICATION::INCORRECT_FEED_OR_MEDICATION_ADMINISTRATION::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,1,CALIBRATED_EXERCISE_RESULT
ES-FEAT-LESSONS-001,1,RB-LESSONS-001-01,ES-FEAT-LESSONS-001::TRAINING_SUPERVISION_OR_CONSENT_RECORD_FAILURE::RIDER_IN_LESSON_PROGRAM::IMPAIRED_SAFEGUARDING_SUPERVISION_OVERSIGHT::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-MARKETPLACE-001,2,RB-MARKETPLACE-001-01,ES-FEAT-MARKETPLACE-001::PROVIDER_VETTING_OR_MODERATION_FAILURE::OWNER_OR_FACILITY_BOOKING_A_PROVIDER::MATERIAL_FINANCIAL_OR_TRUST_HARM::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-MEDIA-006,1,RB-MEDIA-006-01,ES-FEAT-MEDIA-006::VISIBILITY_SCOPE_MISCONFIGURATION::MEDIA_OR_DOCUMENT_SUBJECT::UNAUTHORIZED_DISCLOSURE_OF_SENSITIVE_MEDIA::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-MOBILE-004,2,AB-RECON-MOBILE-004-A01,AB-RECON-MOBILE-004-A01::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-PLATFORM-007,1,RB-PLATFORM-007-01,ES-FEAT-PLATFORM-007::NAVIGATION_ROUTING_DEFECT::ANY_AUTHENTICATED_USER::WORKFLOW_INCONVENIENCE::ES-RISK-SCOPE-MCE-001,LOW,POSSIBLE,3,MODERATE_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-RELATIONSHIP-001,1,RB-RELATIONSHIP-001-01,ES-FEAT-RELATIONSHIP-001::RELATIONSHIP_OR_GUARDIAN_AUTHORIZATION_ERROR::MINOR_RIDER_OR_HORSE_UNDER_GUARDIANSHIP::UNAUTHORIZED_ACTING_FOR_AUTHORITY::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-REPORTING-001,1,RB-REPORTING-001-01,ES-FEAT-REPORTING-001::DERIVED_METRIC_OR_EXPORT_INACCURACY::DECISION_MAKER_RELYING_ON_DASHBOARD::MATERIAL_INCORRECT_RECORD_RECOVERABLE::ES-RISK-SCOPE-MCE-001,MEDIUM,POSSIBLE,6,MODERATE_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-TASKS-001,1,RB-TASKS-001-01,ES-FEAT-TASKS-001::TASK_OR_NOTIFICATION_DELIVERY_FAILURE::ASSIGNED_TASK_OWNER::MISSED_SCHEDULED_OPERATIONAL_TASK::ES-RISK-SCOPE-MCE-001,MEDIUM,POSSIBLE,6,MODERATE_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
