path,line,matched_terms,assertion_excerpt,classification,rationale
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,20,ADOPTED,"CGP006-CL-0019,CGP005-RC-0019,CGSRC-ARCH-0019,CGP005_REFERENCE_CORPUS_ROW,docs/canon/adopted_sources/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE.md,MASTER SECURITY INCIDENT RESPONSE AND DISCLOSURE MODEL,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receip",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,268,ADOPTED,"CGP006-CL-0267,CGP005-RC-0267,CGSRC-ATLAS-0165,CGP005_REFERENCE_CORPUS_ROW,docs/canon/adopted_sources/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0_ADOPTED_SOURCE.md,""MASTER PLATFORM OPERATIONS, RELIABILITY, AND RELEASE MODEL"",REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,IMPLEMENTATION_ATLAS,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guide",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,660,ADOPTED,"CGP006-CL-0659,CGP005-RC-0659,CGSRC-GOV-0001,CGP005_REFERENCE_CORPUS_ROW,docs/canon/registries/C0_PHASE_C_SOURCE_EVIDENCE_INVENTORY.md,C0 Phase C Source Evidence Inventory,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,553dcc9fa5adec4704ab36069f79317265d494ecca",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,661,ADOPTED,"CGP006-CL-0660,CGP005-RC-0660,CGSRC-GOV-0002,CGP005_REFERENCE_CORPUS_ROW,docs/canon/registries/CANON_ARTIFACT_INVENTORY.md,Canon Artifact Inventory,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,5cedea86f1dfcbcf6bb69aef000f25175ed72d497fda18826f69b51c770382d1,",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,662,ADOPTED,"CGP006-CL-0661,CGP005-RC-0661,CGSRC-GOV-0003,CGP005_REFERENCE_CORPUS_ROW,docs/canon/registries/CANON_DEPENDENCY_REGISTRY.md,Canon Dependency Registry,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,dffc4f152f65f5ebcf65c27b533b45a217f3c60f1737a87cffd38c165c5cb56",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,663,ADOPTED,"CGP006-CL-0662,CGP005-RC-0662,CGSRC-GOV-0004,CGP005_REFERENCE_CORPUS_ROW,docs/canon/registries/CANON_LOCK_LEDGER.md,Canon Lock Ledger,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,ccbcda1f1f1e2d858adf8bc38973a29634d6e487de8d7990171092cdd5aded4e,NO_KNOWN_BLOCK",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,664,ADOPTED,"CGP006-CL-0663,CGP005-RC-0663,CGSRC-GOV-0005,CGP005_REFERENCE_CORPUS_ROW,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,Canon State and Lock Registry,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,272f35833dad117c08bd4e673dfd673becbc3cbc3eb0b240ce436f4",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,665,ADOPTED,"CGP006-CL-0664,CGP005-RC-0664,CGSRC-GOV-0006,CGP005_REFERENCE_CORPUS_ROW,docs/canon/registries/DOMAIN_OWNER_AND_STEWARD_REGISTRY.md,Domain Owner and Steward Registry,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,2cad6f74e89eb404fa8b520b694d71ea93e1240d9b01c24e",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,666,ADOPTED,"CGP006-CL-0665,CGP005-RC-0665,CGSRC-GOV-0007,CGP005_REFERENCE_CORPUS_ROW,docs/canon/registries/GOVERNANCE_FINDING_REGISTRY.md,Governance Finding Registry,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,6573f1a831ea1c7f84c5241acef3d24069265eb1d13972273f0",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,667,ADOPTED,"CGP006-CL-0666,CGP005-RC-0666,CGSRC-GOV-0008,CGP005_REFERENCE_CORPUS_ROW,docs/canon/registries/IMPLEMENTATION_AUTHORIZATION_REGISTRY.md,Implementation Authorization Registry,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,3d2d90ecbe3cc519b21628145dab8f57d3d492b",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,668,ADOPTED,"CGP006-CL-0667,CGP005-RC-0667,CGSRC-GOV-0009,CGP005_REFERENCE_CORPUS_ROW,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_BASELINE_MANIFEST.json,Global Governance V1 0 Baseline Manifest.Json,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,f5666ebffbfe527f6d",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,669,ADOPTED,"CGP006-CL-0668,CGP005-RC-0668,CGSRC-GOV-0010,CGP005_REFERENCE_CORPUS_ROW,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_HISTORICAL_MANIFEST_CLASSIFICATION.md,Global Governance V1.0 Historical Manifest Classification,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_REC",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,670,ADOPTED,"CGP006-CL-0669,CGP005-RC-0669,CGSRC-GOV-0011,CGP005_REFERENCE_CORPUS_ROW,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_CERTIFICATE.json,Global Governance V1 0 Lock Certificate.Json,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,3dc9ae1d4cdd331c75fd",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,671,ADOPTED,"CGP006-CL-0670,CGP005-RC-0670,CGSRC-GOV-0012,CGP005_REFERENCE_CORPUS_ROW,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,EquineSync Global Governance V1.0 Lock Record,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,16c9b4c4f16f078c036c0768da",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,672,ADOPTED,"CGP006-CL-0671,CGP005-RC-0671,CGSRC-GOV-0013,CGP005_REFERENCE_CORPUS_ROW,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_POST_LOCK_CHANGE_CONTROL.md,Global Governance V1.0 Post-Lock Change Control,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,b8c6e3292405",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,673,ADOPTED,"CGP006-CL-0672,CGP005-RC-0672,CGSRC-GOV-0014,CGP005_REFERENCE_CORPUS_ROW,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_SCOPE.md,EquineSync Global Governance V1.0 Baseline Scope,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,6f46803d8074ba530a042f34f4c1f",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,674,ADOPTED,"CGP006-CL-0673,CGP005-RC-0673,CGSRC-GOV-0015,CGP005_REFERENCE_CORPUS_ROW,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_SHA256SUMS.txt,ffe9f3bb67ef2d8709fc85d3c275b1793121741f285db065d244286442e938bf  .github/CODEOWNERS,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,675,ADOPTED,"CGP006-CL-0674,CGP005-RC-0674,CGSRC-GOV-0016,CGP005_REFERENCE_CORPUS_ROW,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_VALIDATION_REPORT.json,Global Governance V1 0 Validation Report.Json,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,5471359fa5dfac762f7",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,676,ADOPTED,"CGP006-CL-0675,CGP005-RC-0675,CGSRC-GOV-0017,CGP005_REFERENCE_CORPUS_ROW,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_VALIDATION_REPORT.md,Global Governance V1.0 Validation Report,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,061d41bb71faa45b214af0cd8f",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,677,ADOPTED,"CGP006-CL-0676,CGP005-RC-0676,CGSRC-GOV-0018,CGP005_REFERENCE_CORPUS_ROW,docs/canon/adopted_sources/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE.md,MASTER AUDIT EVENT AND EVIDENCE MODEL,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,321ae",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,678,ADOPTED,"CGP006-CL-0677,CGP005-RC-0677,CGSRC-GOV-0019,CGP005_REFERENCE_CORPUS_ROW,docs/canon/adopted_sources/MASTER_BARN_LIFECYCLE_V3_1_ADOPTED_SOURCE.docx,Master Barn Lifecycle V3 1 Adopted Source.Docx,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,68e36eeed2cb1134641",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,679,ADOPTED,"CGP006-CL-0678,CGP005-RC-0678,CGSRC-GOV-0020,CGP005_REFERENCE_CORPUS_ROW,docs/canon/adopted_sources/MASTER_BARN_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,MASTER BARN LIFECYCLE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,c2a698ca1bbb8dc723ea7ac0270a9f66e8b06d0cbcb015",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_DOCUMENT_CLASSIFICATION_REGISTER.csv,680,ADOPTED,"CGP006-CL-0679,CGP005-RC-0679,CGSRC-GOV-0021,CGP005_REFERENCE_CORPUS_ROW,docs/canon/adopted_sources/MASTER_BUSINESS_LIFECYCLE_V2_1_ADOPTED_SOURCE.docx,Master Business Lifecycle V2 1 Adopted Source.Docx,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,ADOPTED_GOVERNANCE,CONTROLLING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,9ba9ac3a021",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
