review_id,guide_identifier,section_number,section_name,review_status,source_support_result,clarity_result,authority_boundary_result,revision_required,founder_decision_required,notes
ES-CG-01-SECTION-REVIEW-0034,ES-CG-01,34,Implementation Boundary,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0035,ES-CG-01,35,Change-Control Requirements,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-01-SECTION-REVIEW-0036,ES-CG-01,36,Version History,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0001,ES-CG-13,1,Document Identity,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0002,ES-CG-13,2,Guide Identifier,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0003,ES-CG-13,3,Candidate Version,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0004,ES-CG-13,4,Lifecycle And Authority Status,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0005,ES-CG-13,5,Purpose,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0006,ES-CG-13,6,Scope,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0007,ES-CG-13,7,Out-Of-Scope Matters,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0008,ES-CG-13,8,Authority Basis,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0009,ES-CG-13,9,Relationship To CGP-005,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0010,ES-CG-13,10,Relationship To CGP-006,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0011,ES-CG-13,11,Dependency Position,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0012,ES-CG-13,12,Inherited Definitions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0013,ES-CG-13,13,Guide-Specific Definitions,ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
ES-CG-13-SECTION-REVIEW-0014,ES-CG-13,14,"Affected Actors, Records, Or Systems",ACCEPTABLE_FOR_CANDIDATE_REVIEW,TRACEABLE_OR_NOT_APPLICABLE,CLEAR_AFTER_STRUCTURED_REVIEW,PRESERVED,NO,NO,"Section exists and was reviewed for substance, source support, consistency, and authority treatment."
