id,namespace,artifact_type,owning_document,current_state
SRC-0012,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0013,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0014,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0015,SRC,MANIFEST_OR_CHECKSUM_LEDGER,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0016,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0017,SRC,MANIFEST_OR_CHECKSUM_LEDGER,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0018,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0019,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0020,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0021,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0022,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0023,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0024,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0025,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0026,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0027,SRC,MANIFEST_OR_CHECKSUM_LEDGER,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0028,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0029,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0030,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0031,SRC,MANIFEST_OR_CHECKSUM_LEDGER,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0032,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0033,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0034,SRC,MANIFEST_OR_CHECKSUM_LEDGER,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0035,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0036,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0037,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0038,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0039,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0040,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0041,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0042,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0043,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0044,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0045,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0046,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0047,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0048,SRC,DRAFT_OR_CANDIDATE,MASTER_SOURCE_REGISTER,DRAFT_UNADOPTED
SRC-0049,SRC,MANIFEST_OR_CHECKSUM_LEDGER,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0050,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0051,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0052,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0053,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0054,SRC,CONSTITUTIONAL_GOVERNANCE_SOURCE,MASTER_SOURCE_REGISTER,PROTECTED_CURRENT
SRC-0055,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0056,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0057,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0058,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0059,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0060,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0061,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0062,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0063,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0064,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0065,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0066,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0067,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0068,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0069,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0070,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0071,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0072,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0073,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0074,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0075,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0076,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0077,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0078,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0079,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0080,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0081,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0082,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0083,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0084,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0085,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0086,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0087,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0088,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0089,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0090,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0091,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0092,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0093,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0094,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0095,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0096,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0097,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0098,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0099,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0100,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0101,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0102,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0103,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0104,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0105,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0106,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0107,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0108,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0109,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0110,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0111,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0112,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0113,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0114,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0115,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0116,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0117,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0118,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0119,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0120,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0121,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0122,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0123,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0124,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0125,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0126,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0127,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0128,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0129,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0130,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0131,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0132,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0133,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0134,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0135,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0136,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0137,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0138,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0139,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0140,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0141,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0142,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0143,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0144,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0145,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0146,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0147,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0148,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0149,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0150,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0151,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0152,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0153,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0154,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0155,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0156,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0157,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0158,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0159,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0160,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0161,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0162,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0163,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0164,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0165,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0166,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0167,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0168,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0169,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0170,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0171,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0172,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0173,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0174,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0175,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0176,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0177,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0178,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0179,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0180,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0181,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0182,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0183,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0184,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0185,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0186,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0187,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0188,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0189,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0190,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0191,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0192,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0193,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0194,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0195,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0196,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0197,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0198,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0199,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0200,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0201,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0202,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
SRC-0203,SRC,ADOPTION_RECORD_OR_ADOPTED_SOURCE,MASTER_SOURCE_REGISTER,ADOPTED
