crosswalk_id,guide_id,source_id,source_class,authority_status,inclusion_category,mapping_type,coverage_note,source_freeze_record_id,freeze_manifest_path,readiness_effect
CGP005-XW-00011,ES-CG-00,CGSRC-GOV-0138,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0011,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00012,ES-CG-00,CGSRC-GOV-0139,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0012,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00013,ES-CG-00,CGSRC-GOV-0152,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0013,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00014,ES-CG-00,CGSRC-GOV-0153,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0014,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00015,ES-CG-00,CGSRC-ATLAS-0006,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0015,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00016,ES-CG-00,CGSRC-ATLAS-0017,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0016,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00017,ES-CG-00,CGSRC-ATLAS-0018,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0017,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00018,ES-CG-00,CGSRC-ATLAS-0019,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0018,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00019,ES-CG-00,CGSRC-ATLAS-0020,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0019,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00020,ES-CG-00,CGSRC-ATLAS-0021,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0020,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00021,ES-CG-00,CGSRC-REPO-0001,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0021,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00022,ES-CG-00,CGSRC-REPO-0002,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0022,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00023,ES-CG-00,CGSRC-REPO-0008,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0023,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00024,ES-CG-00,CGSRC-REPO-0009,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0024,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00025,ES-CG-00,CGSRC-CGP005-0001,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0025,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00026,ES-CG-00,CGSRC-CGP005-0002,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0026,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00027,ES-CG-00,CGSRC-CGP005-0003,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0027,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00028,ES-CG-00,CGSRC-CGP005-0004,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0028,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00029,ES-CG-00,CGSRC-CGP005-0201,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0029,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00030,ES-CG-01,CGSRC-GOV-0002,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0001,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00031,ES-CG-01,CGSRC-GOV-0003,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0002,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00032,ES-CG-01,CGSRC-GOV-0004,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0003,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00033,ES-CG-01,CGSRC-GOV-0005,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0004,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00034,ES-CG-01,CGSRC-GOV-0006,ADOPTED_GOVERNANCE,SUPPORTING,SUPPORTING_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0005,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00035,ES-CG-01,CGSRC-GOV-0007,ADOPTED_GOVERNANCE,SUPPORTING,SUPPORTING_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0006,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00036,ES-CG-01,CGSRC-GOV-0008,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0007,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00037,ES-CG-01,CGSRC-GOV-0009,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0008,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00038,ES-CG-01,CGSRC-GOV-0010,ADOPTED_GOVERNANCE,SUPPORTING,SUPPORTING_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0009,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00039,ES-CG-01,CGSRC-GOV-0011,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0010,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00040,ES-CG-01,CGSRC-GOV-0012,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0011,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00041,ES-CG-01,CGSRC-GOV-0013,ADOPTED_GOVERNANCE,SUPPORTING,SUPPORTING_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0012,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00042,ES-CG-01,CGSRC-GOV-0014,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0013,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00043,ES-CG-01,CGSRC-GOV-0134,ADOPTED_GOVERNANCE,SUPPORTING,SUPPORTING_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0014,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00044,ES-CG-01,CGSRC-GOV-0138,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0015,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00045,ES-CG-01,CGSRC-GOV-0139,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0016,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00046,ES-CG-01,CGSRC-GOV-0140,ADOPTED_GOVERNANCE,SUPPORTING,SUPPORTING_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0017,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00047,ES-CG-01,CGSRC-GOV-0141,ADOPTED_GOVERNANCE,SUPPORTING,SUPPORTING_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0018,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00048,ES-CG-01,CGSRC-GOV-0152,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0019,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00049,ES-CG-01,CGSRC-GOV-0153,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0020,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00050,ES-CG-01,CGSRC-GOV-0018,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0021,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00051,ES-CG-01,CGSRC-ARCH-0021,APPROVED_ARCHITECTURE,SUPPORTING,SUPPORTING_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0022,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00052,ES-CG-01,CGSRC-ATLAS-0017,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0023,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00053,ES-CG-01,CGSRC-ATLAS-0018,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0024,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00054,ES-CG-01,CGSRC-ATLAS-0019,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0025,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00055,ES-CG-01,CGSRC-ATLAS-0020,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0026,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00056,ES-CG-01,CGSRC-ATLAS-0021,IMPLEMENTATION_ATLAS,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0027,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00057,ES-CG-01,CGSRC-CGP005-0005,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0028,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00058,ES-CG-01,CGSRC-CGP005-0006,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0029,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00059,ES-CG-01,CGSRC-CGP005-0010,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0030,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00060,ES-CG-01,CGSRC-CGP005-0011,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0031,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00061,ES-CG-01,CGSRC-CGP005-0202,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0032,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00062,ES-CG-01,CGSRC-CGP005-0203,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0033,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00063,ES-CG-01,CGSRC-CGP005-0204,REPOSITORY_EVIDENCE,SUPPORTING,IMPLEMENTATION_EVIDENCE_FROZEN,SUPPORTING,authority_precedence;founder_disposition;conflict;supersession;exceptions,CGP005-NF-ES-CG-01-0034,governance/implementation/code-guides/guides/ES-CG-01/source-freeze/ES-CG-01_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
