component_id,component_name,component_type,repository_path,deployable_unit,implementation_state,authority_alignment,confidence,evidence_basis,source_ids,applicable_guides,owner_or_boundary,risk_domains,notes
CGP004-COMP-0012,File storage intent adapter,STORAGE_ADAPTER,backend/storage.py,backend-api,PARTIALLY_IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Provider-neutral S3/R2/local upload-intent adapter includes allowed MIME, max bytes, and barn-key namespace treatment.",CGSRC-REPO-0621,ES-CG-06;ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-13,Storage adapter evidence,file_upload;privacy;operations,"Commit confirmation, malware scanning, retention, and provider recovery remain gaps."
CGP004-COMP-0013,"Backend lifecycle, indexes, startup checks, and scheduled loops",OPERATIONS_RUNTIME,backend/core/lifespan.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Startup index ensures, optional task/notification/digest/subscription loops, production Stripe catalog/index failure behavior, and backfill/materialization hooks are present.",CGSRC-REPO-0621,ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,Backend operational lifecycle evidence,operations;migration;reliability,Backfill and startup side-effect rollback ownership remains unresolved.
CGP004-COMP-0014,Frontend React application router and role surfaces,WEB_FRONTEND,frontend/src/App.js,frontend-web,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"BrowserRouter, protected routes, role-specific route trees, admin portal namespace, and mobile-capable web application routes are present.",CGSRC-REPO-0622,ES-CG-02;ES-CG-07;ES-CG-08;ES-CG-10;ES-CG-13,Frontend route evidence,web_mobile;identity_access;accessibility,Many feature shells require guide-specific authority mapping before adoption or activation.
CGP004-COMP-0015,Frontend API client and auth context,WEB_FRONTEND_AUTH,frontend/src/lib/api.js;frontend/src/context/AuthContext.jsx,frontend-web,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Axios base URL, access/refresh token localStorage handling, refresh storm dedupe, login redirect on refresh failure, and AuthContext user loading are present.",CGSRC-REPO-0622;CGSRC-PIA-0001;CGSRC-PIA-0003,ES-CG-03;ES-CG-06;ES-CG-08;ES-CG-09;ES-CG-13,Frontend session evidence,identity_access;offline_mobile;security,Offline/stale-token revocation semantics require Founder or later guide decision.
CGP004-COMP-0016,Frontend permissions and role navigation mirrors,WEB_FRONTEND_AUTHZ_MIRROR,frontend/src/lib/permissions.js;frontend/src/lib/roleNavigation.js,frontend-web,PARTIALLY_IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,Frontend permission and role navigation mirrors backend groups for UI routing while code comments preserve backend as source of truth.,CGSRC-REPO-0622;CGSRC-PIA-0003,ES-CG-03;ES-CG-07;ES-CG-08;ES-CG-10;ES-CG-13,Frontend convenience authorization mirror,identity_access;ui_drift,Backend remains the enforceable authority; frontend mirror drift must be mapped later.
CGP004-COMP-0017,Local draft and offline-readiness surfaces,OFFLINE_LOCAL_STATE,frontend/src/lib/horseOpsDrafts.js;frontend/src/pages/AiAutomation.jsx,frontend-web,PARTIALLY_IMPLEMENTED,AUTHORITY_AMBIGUOUS,MEDIUM,"LocalStorage drafts and review-first automation suggestion surfaces exist; complete stale-auth, conflict, sync queue, and device-loss semantics are not proven by CGP-004.",CGSRC-REPO-0622;CGSRC-ARCH-0080;CGSRC-ARCH-0087,ES-CG-02;ES-CG-06;ES-CG-08;ES-CG-13,Frontend offline/readiness evidence,offline_mobile;identity_access;privacy;ai_boundary,Open decision CGP004-D-0001 retained.
CGP004-COMP-0018,AI automation review-first surface,AI_READINESS_SURFACE,frontend/src/pages/AiAutomation.jsx;backend/routes/backlog.py,frontend-web;backend-api,SCAFFOLDED,AUTHORITY_AMBIGUOUS,MEDIUM,Automation suggestions are static/review-first repository evidence; no external model call or AI activation authority was identified in inspected files.,CGSRC-REPO-0621;CGSRC-REPO-0622,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-13,Readiness surface only,ai_boundary;safeguarding;operations,AI activation remains unauthorized.
CGP004-COMP-0019,Capacitor native shells and PWA manifest,MOBILE_SHELL,frontend/capacitor.config.json;frontend/public/manifest.json;frontend/ios;frontend/android,mobile-shell,PARTIALLY_IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Capacitor app identity, PWA manifest, iOS project tree, and Android project tree are present as mobile shell evidence.",CGSRC-REPO-0623;CGSRC-REPO-0624;CGSRC-REPO-0622,ES-CG-02;ES-CG-06;ES-CG-07;ES-CG-10;ES-CG-12;ES-CG-13,Mobile wrapper evidence,mobile;offline;release,"No deployment, pilot, or mobile release authority was exercised."
CGP004-COMP-0020,Backend test suite and live-test controls,TEST_ASSURANCE,backend/tests;pytest.ini;backend/tests/live_test_allowlist.txt;backend/tests/ci_known_failure_gate.py,test-suite,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Backend tests, pytest markers, live-test allowlist, CI known-failure ratchet, and test env fixtures are present; local pytest collection was not executable with current Python dependency state.",CGSRC-TEST-0001;CGSRC-TEST-0004,ES-CG-10;ES-CG-12;ES-CG-13,Assurance evidence,testing;ci;quality,CGP-004 records local dependency gap without modifying test dependencies.
CGP004-COMP-0021,GitHub Actions CI workflow,CI_WORKFLOW,.github/workflows/ci.yml,github-actions,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,CI workflow runs backend collection/non-live tests with Mongo service and frontend build with legacy peer deps; Code Guides are not activated as CI gates.,CGSRC-REPO-0629;CGSRC-EXT-0002,ES-CG-10;ES-CG-12;ES-CG-13,CI evidence only,ci;release;assurance,Existing CI was inspected but not modified.
