alignment_id,component_id,repository_component,repository_path,authority_source_ids,applicable_guides,authority_alignment,evidence_basis,classification_rationale,required_next_action,confidence,status,notes
CGP004-ALIGN-0011,CGP004-COMP-0011,Document signing foundation,backend/routes/document_signatures.py;backend/core/document_signing.py,CGSRC-REPO-0621;CGSRC-PIA-0008;CGSRC-PIA-0010,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-11;ES-CG-13,PARTIALLY_ALIGNED,"Document templates, signing request foundation, guardian-required handling, DocuSign sandbox gating, and webhook HMAC/account/config validation are present.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,No guide control or provider activation created.
CGP004-ALIGN-0012,CGP004-COMP-0012,File storage intent adapter,backend/storage.py,CGSRC-REPO-0621,ES-CG-06;ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-13,PARTIALLY_ALIGNED,"Provider-neutral S3/R2/local upload-intent adapter includes allowed MIME, max bytes, and barn-key namespace treatment.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,"Commit confirmation, malware scanning, retention, and provider recovery remain gaps."
CGP004-ALIGN-0013,CGP004-COMP-0013,"Backend lifecycle, indexes, startup checks, and scheduled loops",backend/core/lifespan.py,CGSRC-REPO-0621,ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,PARTIALLY_ALIGNED,"Startup index ensures, optional task/notification/digest/subscription loops, production Stripe catalog/index failure behavior, and backfill/materialization hooks are present.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Backfill and startup side-effect rollback ownership remains unresolved.
CGP004-ALIGN-0014,CGP004-COMP-0014,Frontend React application router and role surfaces,frontend/src/App.js,CGSRC-REPO-0622,ES-CG-02;ES-CG-07;ES-CG-08;ES-CG-10;ES-CG-13,PARTIALLY_ALIGNED,"BrowserRouter, protected routes, role-specific route trees, admin portal namespace, and mobile-capable web application routes are present.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Many feature shells require guide-specific authority mapping before adoption or activation.
CGP004-ALIGN-0015,CGP004-COMP-0015,Frontend API client and auth context,frontend/src/lib/api.js;frontend/src/context/AuthContext.jsx,CGSRC-REPO-0622;CGSRC-PIA-0001;CGSRC-PIA-0003,ES-CG-03;ES-CG-06;ES-CG-08;ES-CG-09;ES-CG-13,PARTIALLY_ALIGNED,"Axios base URL, access/refresh token localStorage handling, refresh storm dedupe, login redirect on refresh failure, and AuthContext user loading are present.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Offline/stale-token revocation semantics require Founder or later guide decision.
CGP004-ALIGN-0016,CGP004-COMP-0016,Frontend permissions and role navigation mirrors,frontend/src/lib/permissions.js;frontend/src/lib/roleNavigation.js,CGSRC-REPO-0622;CGSRC-PIA-0003,ES-CG-03;ES-CG-07;ES-CG-08;ES-CG-10;ES-CG-13,PARTIALLY_ALIGNED,Frontend permission and role navigation mirrors backend groups for UI routing while code comments preserve backend as source of truth.,CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Backend remains the enforceable authority; frontend mirror drift must be mapped later.
CGP004-ALIGN-0017,CGP004-COMP-0017,Local draft and offline-readiness surfaces,frontend/src/lib/horseOpsDrafts.js;frontend/src/pages/AiAutomation.jsx,CGSRC-REPO-0622;CGSRC-ARCH-0080;CGSRC-ARCH-0087,ES-CG-02;ES-CG-06;ES-CG-08;ES-CG-13,AUTHORITY_AMBIGUOUS,"LocalStorage drafts and review-first automation suggestion surfaces exist; complete stale-auth, conflict, sync queue, and device-loss semantics are not proven by CGP-004.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,MEDIUM,PARTIAL,Open decision CGP004-D-0001 retained.
CGP004-ALIGN-0018,CGP004-COMP-0018,AI automation review-first surface,frontend/src/pages/AiAutomation.jsx;backend/routes/backlog.py,CGSRC-REPO-0621;CGSRC-REPO-0622,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-13,AUTHORITY_AMBIGUOUS,Automation suggestions are static/review-first repository evidence; no external model call or AI activation authority was identified in inspected files.,CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,MEDIUM,PARTIAL,AI activation remains unauthorized.
CGP004-ALIGN-0019,CGP004-COMP-0019,Capacitor native shells and PWA manifest,frontend/capacitor.config.json;frontend/public/manifest.json;frontend/ios;frontend/android,CGSRC-REPO-0623;CGSRC-REPO-0624;CGSRC-REPO-0622,ES-CG-02;ES-CG-06;ES-CG-07;ES-CG-10;ES-CG-12;ES-CG-13,PARTIALLY_ALIGNED,"Capacitor app identity, PWA manifest, iOS project tree, and Android project tree are present as mobile shell evidence.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,"No deployment, pilot, or mobile release authority was exercised."
CGP004-ALIGN-0020,CGP004-COMP-0020,Backend test suite and live-test controls,backend/tests;pytest.ini;backend/tests/live_test_allowlist.txt;backend/tests/ci_known_failure_gate.py,CGSRC-TEST-0001;CGSRC-TEST-0004,ES-CG-10;ES-CG-12;ES-CG-13,PARTIALLY_ALIGNED,"Backend tests, pytest markers, live-test allowlist, CI known-failure ratchet, and test env fixtures are present; local pytest collection was not executable with current Python dependency state.",CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,CGP-004 records local dependency gap without modifying test dependencies.
CGP004-ALIGN-0021,CGP004-COMP-0021,GitHub Actions CI workflow,.github/workflows/ci.yml,CGSRC-REPO-0629;CGSRC-EXT-0002,ES-CG-10;ES-CG-12;ES-CG-13,PARTIALLY_ALIGNED,CI workflow runs backend collection/non-live tests with Mongo service and frontend build with legacy peer deps; Code Guides are not activated as CI gates.,CGP-004 classifies current implementation as evidence against CGP-003 source authority and PIA/source families; it does not create new controls.,Use as repository evidence in later guide mapping; do not elevate code behavior into authority.,HIGH,PARTIAL,Existing CI was inspected but not modified.
