map_id,component_id,repository_path,source_ids,source_classes,authority_statuses,applicable_guides,evidence_use,limitations,confidence
CGP004-MAP-0011,CGP004-COMP-0011,backend/routes/document_signatures.py;backend/core/document_signing.py,CGSRC-REPO-0621;CGSRC-PIA-0008;CGSRC-PIA-0010,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-11;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0012,CGP004-COMP-0012,backend/storage.py,CGSRC-REPO-0621,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-06;ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0013,CGP004-COMP-0013,backend/core/lifespan.py,CGSRC-REPO-0621,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0014,CGP004-COMP-0014,frontend/src/App.js,CGSRC-REPO-0622,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-02;ES-CG-07;ES-CG-08;ES-CG-10;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0015,CGP004-COMP-0015,frontend/src/lib/api.js;frontend/src/context/AuthContext.jsx,CGSRC-REPO-0622;CGSRC-PIA-0001;CGSRC-PIA-0003,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-03;ES-CG-06;ES-CG-08;ES-CG-09;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0016,CGP004-COMP-0016,frontend/src/lib/permissions.js;frontend/src/lib/roleNavigation.js,CGSRC-REPO-0622;CGSRC-PIA-0003,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-03;ES-CG-07;ES-CG-08;ES-CG-10;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0017,CGP004-COMP-0017,frontend/src/lib/horseOpsDrafts.js;frontend/src/pages/AiAutomation.jsx,CGSRC-REPO-0622;CGSRC-ARCH-0080;CGSRC-ARCH-0087,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-02;ES-CG-06;ES-CG-08;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,MEDIUM
CGP004-MAP-0018,CGP004-COMP-0018,frontend/src/pages/AiAutomation.jsx;backend/routes/backlog.py,CGSRC-REPO-0621;CGSRC-REPO-0622,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,MEDIUM
CGP004-MAP-0019,CGP004-COMP-0019,frontend/capacitor.config.json;frontend/public/manifest.json;frontend/ios;frontend/android,CGSRC-REPO-0623;CGSRC-REPO-0624;CGSRC-REPO-0622,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-02;ES-CG-06;ES-CG-07;ES-CG-10;ES-CG-12;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0020,CGP004-COMP-0020,backend/tests;pytest.ini;backend/tests/live_test_allowlist.txt;backend/tests/ci_known_failure_gate.py,CGSRC-TEST-0001;CGSRC-TEST-0004,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-10;ES-CG-12;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0021,CGP004-COMP-0021,.github/workflows/ci.yml,CGSRC-REPO-0629;CGSRC-EXT-0002,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-10;ES-CG-12;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
