scenario_id,scenario,severity,misuse_or_failure,primary_controls,closure_gate,review_status
OPC-TM-011,Retry creates duplicate notices,High,Queue/provider replay duplicates send,Stable idempotency and deduplication,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-012,Emergency feature promises unsupported monitoring,Critical,User relies on unmonitored peer or facility channel,Non-emergency labeling; direct fallback routes; no unsupported guarantee,Operational readiness,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-013,Quiet hours delay critical communication,Critical,Critical notice deferred by preference,Classification-specific override and audit,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-014,Attachment malware,Critical,Malicious file reaches recipient,"Quarantine, scanning, type/size controls",Attachment activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-015,Attachment metadata leak,High,EXIF or document metadata exposes private data,Metadata classification/stripping and consent,Attachment activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-016,Revoked attachment remains accessible,High,Old durable URL bypasses current permission,Bounded signed access and authorization on access,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-017,Offline queued send after block,Critical,Draft sends after block/revocation,Reconnect reauthorization; restriction wins,Offline verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-018,Stolen device reads sensitive cache,High,Local cache accessible after loss,"Device protection, minimal cache, remote revocation",Operational readiness,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-019,Support impersonates customer,Critical,Support authors message as owner,Visible support mode; no customer authorship; attributable actor,Operational verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-020,Moderator browses peer content,Critical,Moderator opens private messages without case,"Case trigger, reason code, conflict check, least privilege, audit",Community activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-021,Retaliation after report,High,Reporter is exposed or punished,"Reporter protection, anti-retaliation, temporary controls, appeal",Community activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-022,Block bypass by alternate account,High,Blocked user creates alternate path,Alternate-account review and evidence-preserving restrictions,Community activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-023,Automated guilt or discipline,High,Anti-abuse automation makes final findings,Human review and allegation/finding separation,Community activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-024,Migration infers ownership/consent,Critical,Legacy fields create authority or notice effectiveness,"Quarantine, exception queue, no inference rule",Migration gate,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-025,Facility split carries conversations,Critical,New facility inherits old community access,Fresh eligibility evaluation; no automatic carryover,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-026,AI sends consequential communication,Critical,AI autonomously sends formal/emergency/minor content,AI assistive only; human approval recorded separately,AI implementation gate,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-027,AI training leaks peer content,Critical,Private messages enter cross-tenant training,Prohibited data use and provider controls,AI implementation gate,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-028,Search/autocomplete leaks identity,High,Query reveals non-participating or blocked owner,Bounded non-enumerable query and same authorization parity,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-029,Export exceeds screen permissions,Critical,Export contains fields hidden in UI,Field-level authorization parity across export,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-030,Audit logs capture content or secrets,High,"Logs contain messages, tokens, protected data",Data-minimized telemetry and secret prohibition,Operational readiness,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-031,Notification body exposes sensitive data,High,Lock-screen/email preview leaks details,Minimum necessary notification content and preference rules,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-032,Legal hold data is deleted,Critical,Ordinary deletion destroys required evidence,Hold precedence and evidence-preserving correction,Operational verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-033,Provider regional processing violates approved boundary,High,Data processed in unapproved region,Vendor/security review and region configuration,Provider activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-034,Vendor exit strands evidence,High,Provider replacement loses delivery history,Product-owned records and adapter migration plan,Operational readiness,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-035,Kill switch deletes history,High,Disablement removes evidence,Stop new activity while preserving records and reports,Community activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-036,Communication misclassified,High,Formal/emergency content routed as ordinary,Required taxonomy validation and review,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-037,Public profile or roster leakage,High,Community produces public/discoverable roster,"Minimum profile, opt-in, no downloadable roster",Community activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-038,Harassment and spam overwhelm users,High,Peer channel used for abuse,"Rate limits, block/report, moderation, kill switch",Community activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-039,Scope expands to public/group chat,High,Initial peer channel becomes unrestricted social network,Explicit prohibition and change-control gate,Design and change control,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-040,Telemetry creates engagement ranking,High,Private activity used for ranking/advertising,Prohibited use and aggregate operational metrics only,Operational verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
