contract_id,field_key,meaning,source_authority,projection_or_action_type,sensitivity,minimum_read_conditions,portal_write_or_action_boundary,staleness_and_revocation,correction_or_dispute_route,audit_obligation,linked_requirements,contract_status
OPC-XPIA-006,owner_visible_care_summary,Bounded care status or update,Care Operations,PROJECTION,Sensitive,Current authorized horse relationship and care field permission,Portal cannot edit care truth; requests route to Care,Staleness shown; revoke on relationship or sensitivity change,Care correction/request workflow,Audit source record/version and displayed fields,"OPC-REQ-003,004,007,046",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-006,care_request_handoff,"Request identifier, status and owning-domain reference",Care Operations,ACTION_HANDOFF,Sensitive,"Authorized requester, horse and facility context",Portal creates request only; owning domain accepts/completes,Status projection reflects source; no completion inference,Care request workflow,"Audit request, handoff and source outcome","OPC-REQ-017,044,045,046",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-007,training_or_lesson_update,Approved owner-visible update or lesson status,LTRG,PROJECTION,Sensitive,Rider/guardian/owner authority and field permission,Portal cannot alter training record,Show source time and revoke on relationship change,LTRG correction route,Audit source version and projection,"OPC-REQ-003,004,007,025",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-007,guardian_authority_reference,"Scoped, effective-dated guardian relationship",LTRG / Relationships,DECISION_INPUT,Highly restricted,Purpose-specific guardian authority and safeguarding screen,No guardian inference from payment or emergency contact,"Re-evaluate on age transition, expiration or protected hold",Guardian/relationship review,Audit basis without exposing protected case content,"OPC-REQ-006,025,027,028,081",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-007,minor_capability_tier,Approved age/guardian/safeguarding capability treatment,LTRG / Safeguarding,DECISION_INPUT,Highly restricted,Age band plus guardian and protected configuration,Portal cannot expand capability by local setting,Immediate on age transition or safeguarding restriction,Safeguarding workflow,Audit policy version and outcome,"OPC-REQ-025,026,028,081",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-008,invoice_summary,"Invoice ID, status, amount due, due date and currency",Billing,PROJECTION,Financial,Current authorized billing relationship and field permission,No invoice mutation; dispute or payment action routes to Billing,Refresh on status/relationship changes,Billing dispute/correction,Audit source invoice/version and projection,"OPC-REQ-003,004,007,048",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-008,payment_and_receipt_status,Bounded payment state and receipt reference,Billing,PROJECTION,Financial,Authorized payer or owner context,"No card, bank, credential or provider token exposure",Refresh from source; no success inference from pending provider state,Billing support/dispute,Audit source state and as-of time,"OPC-REQ-004,006,012,048",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-008,financial_dispute_handoff,Dispute ID and source-owned status,Billing,ACTION_HANDOFF,Financial,Authorized disputing party and record scope,Portal cannot resolve or alter financial truth,Current source status controls,Billing dispute workflow,Audit submission and source result,"OPC-REQ-044,045,046",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-009,agreement_or_consent_status,"Versioned instrument, signer capacity, status and effective time",Agreement / Consent,PROJECTION,Highly restricted,Authorized participant and purpose,Portal invokes instrument but cannot invent capacity or consent,"Revoke/narrow on withdrawal, supersession or authority change",Agreement/consent workflow,"Audit version, signer and represented principal","OPC-REQ-006,021,030,032",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-009,retention_class_and_legal_hold,Category-specific retention/disposition and hold status,Records / Claims,DECISION_INPUT,Highly restricted,Need-to-know service operation only,Portal cannot delete contrary to hold or policy,Versioned; hold wins over ordinary deletion,Records/claims review,Audit applied policy and hold reference,"OPC-REQ-030,032,048,049",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-009,safeguarding_restriction,Minimum necessary deny/protected-route signal,Safeguarding,DECISION_INPUT,Highly restricted,Only control-plane consumers; no ordinary portal disclosure,No access to case narrative through ordinary channel,"Immediate, fail closed and overrides guardian/facility preferences",Protected safeguarding workflow,"Audit decision reference, not case content","OPC-REQ-025,027,052,065,078,081",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-009,audit_correlation_reference,Attributable evidence link,Audit,REFERENCE,Restricted,Authorized audit/support purpose,No modification by portal,Immutable or correction-linked,Audit correction procedure,"Preserve actor, principal, context, source and outcome","OPC-REQ-012,030,050,069",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-010,communication_class,"Ordinary, update, announcement, request, reminder, confirmation, formal notice, emergency, safeguarding, billing or security",Communications,OWNED_RECORD,Variable,Authorized sender and purpose,Classification required before routing and retention,Frozen per sent version; corrected by linked revision,Communication correction,"Audit class, version and reason","OPC-REQ-009,010,030",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-010,delivery_attempt_state,"Generated, queued, accepted, evidenced delivered, failed or uncertain",Communications,OWNED_RECORD,Restricted,Authorized communication operations,No unsupported delivered/opened/acknowledged claim,Provider evidence linked and reconciled,Delivery reconciliation,"Audit provider response, attempt and evidence basis","OPC-REQ-012,013,014,023",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-010,acknowledgment,"Explicit recipient action, version and scope",Communications,OWNED_RECORD,Sensitive,Correct recipient/represented principal and required action,No inferred acknowledgment from open or provider event,Version-specific and immutable/corrected by linked record,Acknowledgment correction,"Audit actor, method, time and evidence","OPC-REQ-012,016,021,030",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-011,asset_id_and_type,Canonical media/attachment reference and approved type,Media,REFERENCE,Variable,Authorized message/record context and field permission,No raw arbitrary file path exposure,Revocation and expiry applied at access time,Media correction/removal request,"Audit upload, scan and access","OPC-REQ-033,034,039",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-011,size_scan_and_quarantine,"Size, malware scan state and quarantine result",Media / Security,DECISION_INPUT,Security,File may be accessible only after required validation,Portal cannot bypass scan or quarantine,Re-scan/version policy applies; quarantine blocks access,Media security workflow,Audit scanner/version/result,"OPC-REQ-033,068",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-011,metadata_and_sensitivity,"Metadata treatment, classification, consent and destination",Media / Privacy,DECISION_INPUT,Sensitive,Minimum necessary metadata and destination authorization,Strip or block prohibited metadata,Re-evaluate on sharing/recipient changes,Media/privacy correction,Audit classification and transformation,"OPC-REQ-033,034,084",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-011,signed_access_and_expiry,"Bounded access URL/token reference, expiry and revocation",Media,ACTION,Security,Current permission on every access,No durable public URL,Revocation stops future authorized access where possible,Media access support,Audit issuance and access without logging secrets,"OPC-REQ-034,066",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-012,approved_ai_use_case,Drafting or summarization use-case identifier,AI Governance,DECISION_INPUT,Internal,Approved use case and initiating-user permission,AI cannot send or make consequential decisions,Disable immediately by feature flag/kill switch,AI governance review,"Audit model/provider, input scope, output and human action","OPC-REQ-040,041,042,043,084",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-012,feature_flag_and_kill_switch,Environment/facility/user bounded control state,Platform Operations,DECISION_INPUT,Security,Authorized operator and change control,No silent activation,Immediate and evidence preserving,Platform operations,"Audit actor, reason, scope and result","OPC-REQ-053,071,072,073",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-012,service_health_and_incident_state,"Provider/channel health, queue status, incident and recovery state",Platform Operations,PROJECTION,Restricted,Operations/support purpose,No customer-facing unsupported guarantees,Current and timestamped; stale state visible,Incident operations,"Audit incident, action and recovery","OPC-REQ-013,023,067,068,071",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
