requirement_id,statement,source_or_decision,rationale,performer,preconditions,required_behavior,prohibited_behavior,failure_behavior,data_impact,permission_impact,release_classification,acceptance_criterion,test_case,evidence,status
FAC-REQ-011,"Closure and decommissioning SHALL preserve identifiers, aliases, lineage, evidence and governed retention status.",FAC-SRC-007;FAC-SRC-021,"Preserve domain boundaries, safety, privacy, integrity and testability.",Facility domain,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Closure and decommissioning preserve identifiers, aliases, lineage, evidence and governed retention status.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Closed entities cannot be silently reused.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-011,FAC-TEST-011,FAC-EVID-011,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-012,Duplicate resolution SHALL quarantine ambiguity and prohibit automatic fuzzy merge.,FAC-SRC-020;FAC-SRC-023,"Preserve domain boundaries, safety, privacy, integrity and testability.",Reconciliation service,Valid explicit context and action-specific authority unless the requirement states otherwise.,Duplicate resolution quarantine ambiguity and prohibit automatic fuzzy merge.,"Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Unresolved duplicates remain separate and flagged.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-012,FAC-TEST-012,FAC-EVID-012,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-013,"Exact layout, precise location, occupants and sensitive-area data SHALL be private by default.",FAC-SRC-019;FAC-SRC-030,"Preserve domain boundaries, safety, privacy, integrity and testability.",Privacy and search,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Exact layout, precise location, occupants and sensitive-area data be private by default.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Unauthorized queries do not disclose existence.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-013,FAC-TEST-013,FAC-EVID-013,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-014,"Public discovery SHALL read only from a revocable, purpose-limited Facility projection.",FAC-SRC-007;FAC-SRC-019;FAC-SRC-030,"Preserve domain boundaries, safety, privacy, integrity and testability.",Projection service,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Public discovery read only from a revocable, purpose-limited Facility projection.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Revocation removes future publication without erasing audit.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-014,FAC-TEST-014,FAC-EVID-014,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-015,"Search SHALL apply permission and context filtering before retrieval, ranking, autocomplete or count disclosure.",FAC-SRC-030,"Preserve domain boundaries, safety, privacy, integrity and testability.",Search service,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Search apply permission and context filtering before retrieval, ranking, autocomplete or count disclosure.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",No existence or cross-tenant leakage.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-015,FAC-TEST-015,FAC-EVID-015,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-016,All material topology actions and denied attempts SHALL emit attributable append-only audit evidence.,FAC-SRC-020,"Preserve domain boundaries, safety, privacy, integrity and testability.",Audit service,Valid explicit context and action-specific authority unless the requirement states otherwise.,All material topology actions and denied attempts emit attributable append-only audit evidence.,"Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Correction appends evidence; prior evidence is not rewritten.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-016,FAC-TEST-016,FAC-EVID-016,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-017,"Audit events SHALL record actor, effective authority reference, tenant, facility, organization, purpose, request and change-set identifiers where applicable.",FAC-SRC-020,"Preserve domain boundaries, safety, privacy, integrity and testability.",Audit service,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Audit events record actor, effective authority reference, tenant, facility, organization, purpose, request and change-set identifiers where applicable.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Missing material context blocks the action.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-017,FAC-TEST-017,FAC-EVID-017,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-018,"Support access SHALL be reason-coded, ticket-bound, time-limited, least-privilege and separately audited.",FAC-SRC-013;FAC-SRC-015;FAC-SRC-019;FAC-FD-021,"Preserve domain boundaries, safety, privacy, integrity and testability.",Support control,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Support access be reason-coded, ticket-bound, time-limited, least-privilege and separately audited.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",No standing tenant superuser.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-018,FAC-TEST-018,FAC-EVID-018,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-019,"Tenant or Facility suspension SHALL deny ordinary consequential access across UI, API, jobs, search, exports, webhooks and integrations.",FAC-SRC-015;FAC-SRC-026;FAC-FD-020,"Preserve domain boundaries, safety, privacy, integrity and testability.",Platform boundary,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Tenant or Facility suspension deny ordinary consequential access across UI, API, jobs, search, exports, webhooks and integrations.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",A separately governed emergency evidence path may remain.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-019,FAC-TEST-019,FAC-EVID-019,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-020,"Offline clients SHALL NOT create, move, merge, transfer, close, decommission or reassign canonical topology.",FAC-SRC-026;FAC-SRC-028;FAC-FD-019,"Preserve domain boundaries, safety, privacy, integrity and testability.",Offline client,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Offline clients NOT create, move, merge, transfer, close, decommission or reassign canonical topology.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Queued observations remain non-authoritative until online revalidation.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-020,FAC-TEST-020,FAC-EVID-020,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-021,"Cached topology and authorization snapshots SHALL expire, be minimum-necessary and fail closed after revocation or uncertainty.",FAC-SRC-015;FAC-SRC-019;FAC-SRC-028,"Preserve domain boundaries, safety, privacy, integrity and testability.",Offline client,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Cached topology and authorization snapshots expire, be minimum-necessary and fail closed after revocation or uncertainty.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Stale cache never restores authority.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-021,FAC-TEST-021,FAC-EVID-021,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-022,"Integration credentials SHALL be tenant-scoped, purpose-limited and no broader than the represented actor's authority.",FAC-SRC-031;FAC-SRC-032,"Preserve domain boundaries, safety, privacy, integrity and testability.",Integration gateway,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Integration credentials be tenant-scoped, purpose-limited and no broader than the represented actor's authority.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.","External identifiers are claims, not authority.",As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-022,FAC-TEST-022,FAC-EVID-022,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-023,"Events, webhooks and jobs SHALL be idempotent, context-bound, retry-safe and reconciled without cross-tenant fallback.",FAC-SRC-026;FAC-SRC-031;FAC-SRC-032,"Preserve domain boundaries, safety, privacy, integrity and testability.",Event/job infrastructure,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Events, webhooks and jobs be idempotent, context-bound, retry-safe and reconciled without cross-tenant fallback.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Unknown context enters dead-letter quarantine.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-023,FAC-TEST-023,FAC-EVID-023,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-024,"Recovery SHALL NOT restore stale memberships, permissions, public projections or topology as current without reconciliation.",FAC-SRC-028,"Preserve domain boundaries, safety, privacy, integrity and testability.",Recovery process,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Recovery NOT restore stale memberships, permissions, public projections or topology as current without reconciliation.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Uncertainty is visible and gated.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-024,FAC-TEST-024,FAC-EVID-024,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-025,"Configuration and feature flags SHALL NOT weaken tenant isolation, authorization, audit or privacy controls.",FAC-SRC-027,"Preserve domain boundaries, safety, privacy, integrity and testability.",Configuration service,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Configuration and feature flags NOT weaken tenant isolation, authorization, audit or privacy controls.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Unsafe configuration fails validation.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-025,FAC-TEST-025,FAC-EVID-025,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-026,"Organization verification SHALL preserve evidence source, verifier, time, state, expiry and dispute status.",FAC-SRC-011;FAC-SRC-023;FAC-FD-012,"Preserve domain boundaries, safety, privacy, integrity and testability.",Organization domain,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Organization verification preserve evidence source, verifier, time, state, expiry and dispute status.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Unverified does not mean nonexistent; disputed does not mean verified.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-026,FAC-TEST-026,FAC-EVID-026,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-027,"Address, timezone, locale and geolocation data SHALL be modeled separately with field provenance and visibility classification.",FAC-SRC-007;FAC-SRC-019;FAC-FD-014,"Preserve domain boundaries, safety, privacy, integrity and testability.",Facility domain,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Address, timezone, locale and geolocation data be modeled separately with field provenance and visibility classification.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.","Invalid or ambiguous values remain flagged, not silently normalized.",As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-027,FAC-TEST-027,FAC-EVID-027,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-028,"Capacity and suitability SHALL be dated assertions with source, unit, confidence and limitations.",FAC-SRC-007;FAC-FD-023,"Preserve domain boundaries, safety, privacy, integrity and testability.",Facility domain,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Capacity and suitability be dated assertions with source, unit, confidence and limitations.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",They are not safety guarantees.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-028,FAC-TEST-028,FAC-EVID-028,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-029,"Retention and deletion SHALL be field- and purpose-specific and SHALL preserve required lineage, evidence, holds and disputes.",FAC-SRC-019;FAC-SRC-021;FAC-FD-022,"Preserve domain boundaries, safety, privacy, integrity and testability.",Stewardship process,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Retention and deletion be field- and purpose-specific and preserve required lineage, evidence, holds and disputes.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",No universal hard-delete cascade.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-029,FAC-TEST-029,FAC-EVID-029,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-030,"Notices SHALL record channel, template, recipient context, delivery attempt and result without treating delivery as authority or consent.",FAC-SRC-022,"Preserve domain boundaries, safety, privacy, integrity and testability.",Notification service,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Notices record channel, template, recipient context, delivery attempt and result without treating delivery as authority or consent.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Failure escalates according to workflow.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-030,FAC-TEST-030,FAC-EVID-030,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-031,"The first-user seed SHALL create no relationship, permission, ownership, agreement or billing authority merely from topology creation.",FAC-SRC-014;FAC-SRC-015;FAC-SRC-017;FAC-FD-017,"Preserve domain boundaries, safety, privacy, integrity and testability.",Onboarding,Valid explicit context and action-specific authority unless the requirement states otherwise.,"The first-user seed create no relationship, permission, ownership, agreement or billing authority merely from topology creation.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Required authority remains separately established.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,ENROLLMENT,FAC-AC-031,FAC-TEST-031,FAC-EVID-031,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-032,"Every consequential UI SHALL display the effective Tenant, Facility and Organization context before confirmation.",FAC-SRC-015;FAC-FD-009;FAC-FD-024,"Preserve domain boundaries, safety, privacy, integrity and testability.",User interface,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Every consequential UI display the effective Tenant, Facility and Organization context before confirmation.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Ambiguous context blocks submission.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,ENROLLMENT,FAC-AC-032,FAC-TEST-032,FAC-EVID-032,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-033,"Imported records without resolvable Tenant, Facility or Organization identity SHALL enter quarantine with provenance.",FAC-SRC-020;FAC-SRC-021,"Preserve domain boundaries, safety, privacy, integrity and testability.",Migration process,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Imported records without resolvable Tenant, Facility or Organization identity enter quarantine with provenance.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",No default-primary assignment is allowed in the target model.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-033,FAC-TEST-033,FAC-EVID-033,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-034,"The target model SHALL replace legacy default/primary fallbacks through a separately authorized, reversible reconciliation plan.",FAC-SRC-001;FAC-SRC-033,"Preserve domain boundaries, safety, privacy, integrity and testability.",Engineering planning,Valid explicit context and action-specific authority unless the requirement states otherwise.,"The target model replace legacy default/primary fallbacks through a separately authorized, reversible reconciliation plan.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",This PIA does not execute that plan.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,IMPLEMENTATION,FAC-AC-034,FAC-TEST-034,FAC-EVID-034,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-035,"No AI or automation SHALL approve, merge, transfer, close, decommission, verify or authorize a Facility, Tenant or Organization without a separately approved control.",FAC-SRC-001;FAC-SRC-023,"Preserve domain boundaries, safety, privacy, integrity and testability.",Automation boundary,Valid explicit context and action-specific authority unless the requirement states otherwise.,"No AI or automation approve, merge, transfer, close, decommission, verify or authorize a Facility, Tenant or Organization without a separately approved control.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Suggestions remain reviewable and non-authoritative.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-035,FAC-TEST-035,FAC-EVID-035,DRAFT_PENDING_FOUNDER_DECISIONS
FAC-REQ-036,"Every package decision, requirement, workflow, acceptance criterion, test and evidence reference SHALL be machine resolvable.",FAC-SRC-001,"Preserve domain boundaries, safety, privacy, integrity and testability.",Evidence custodian,Valid explicit context and action-specific authority unless the requirement states otherwise.,"Every package decision, requirement, workflow, acceptance criterion, test and evidence reference be machine resolvable.","Silent inference, cross-tenant fallback, status inflation or destructive evidence rewrite.",Broken references fail validation.,As specified by the linked workflow/entity; every material change is versioned and audited.,Action-specific default-deny evaluation.,DESIGN,FAC-AC-036,FAC-TEST-036,FAC-EVID-036,DRAFT_PENDING_FOUNDER_DECISIONS
