id,requirement_id,criterion,prohibited_result,evidence_id,gate
SHELL-AC-017,SHELL-REQ-017,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall treat deep-link descriptors as non-authoritative pointers that may carry only bounded target and context hints.","Embedding permission, secrets, protected names, or permanent authority in a link.",SHELL-EVID-017,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-018,SHELL-REQ-018,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall use distinct not-found, denied, unavailable, and failed states internally while minimizing disclosure externally.",Confirming the existence of a protected resource through error wording or timing.,SHELL-EVID-018,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-019,SHELL-REQ-019,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall store shell preferences as private actor-scoped configuration and never as a source of access.",Shared preferences that expose another user’s activity or override policy.,SHELL-EVID-019,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-020,SHELL-REQ-020,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall reauthorize recents, pins, favorites, and saved views every time they are read or opened.","Continuing visibility after relationship, role, context, or permission loss.",SHELL-EVID-020,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-021,SHELL-REQ-021,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall store saved views as filter, sort, column, and presentation definitions without storing protected result rows.",Persisting a private dataset inside a view configuration.,SHELL-EVID-021,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-022,SHELL-REQ-022,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall allow tenant administrators to configure only an approved allowlist of labels, ordering, group visibility, and defaults.","Renaming authoritative domain concepts, hiding mandatory safety routes, or granting access through configuration.",SHELL-EVID-022,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-023,SHELL-REQ-023,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall provide a reset-to-default action for user shell preferences without deleting domain records.","A preference reset that alters tasks, horse records, billing, or communication state.",SHELL-EVID-023,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-024,SHELL-REQ-024,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall expire or trim private recents according to classification, age, and user controls.",Indefinite retention of sensitive browsing history by default.,SHELL-EVID-024,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-025,SHELL-REQ-025,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall keep badge counts and summaries minimum-necessary and independently revalidated.","Showing protected names, health details, financial amounts, safeguarding facts, or stale counts in the shell.",SHELL-EVID-025,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-026,SHELL-REQ-026,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall do not use behavioral advertising, unrelated profiling, or manipulative engagement ranking in shell personalization.","Cross-context tracking, dark patterns, or personalization aimed at minors.",SHELL-EVID-026,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-027,SHELL-REQ-027,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall treat search as an authorized view of existing source truth and never as a source of ownership, custody, consent, relationship, professional authority, financial responsibility, or permission.","Creating authority or factual truth from a result, rank, suggestion, or index entry.",SHELL-EVID-027,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-028,SHELL-REQ-028,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall scope global search to the current actor and active context unless a separately approved discovery mode explicitly narrows and explains another scope.",Identifiable cross-tenant search by default.,SHELL-EVID-028,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-029,SHELL-REQ-029,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall apply permission and classification filtering before retrieval where technically possible and again before presentation and open.",Relying on post-render masking or client-only filtering.,SHELL-EVID-029,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-030,SHELL-REQ-030,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall exclude safeguarding records, precise location, private communications, credentials, secrets, raw financial identifiers, and other protected fields from general search.",Indexing protected content into ordinary global search.,SHELL-EVID-001,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-031,SHELL-REQ-031,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall apply heightened protections to minors, guardianship, location, contact, and recommendation results.","Open-ended minor directories, contact discovery, or behavioral recommendation.",SHELL-EVID-002,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-032,SHELL-REQ-032,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall keep autocomplete and suggestions permission-bound, minimum-necessary, context-aware, and resistant to enumeration.",Revealing inaccessible names or record existence through prefix probing.,SHELL-EVID-003,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-033,SHELL-REQ-033,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall label result type, authoritative source, current context, freshness, and meaningful limitation where needed for safe interpretation.",Presenting stale or derived data as current authoritative truth.,SHELL-EVID-004,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-034,SHELL-REQ-034,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall use neutral, explainable ranking based on relevance, recency, domain priority, and user-selected filters.","Paid placement, secret favoritism, or ranking that changes authority.",SHELL-EVID-005,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-035,SHELL-REQ-035,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall propagate correction, revocation, restriction, deletion, and relationship changes into indexes, suggestions, caches, and result snippets within defined service bounds.",Continuing to surface withdrawn or unauthorized information.,SHELL-EVID-006,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-036,SHELL-REQ-036,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall minimize ordinary query history and provide proportionate user controls; apply heightened logging only to defined high-risk or privileged searches.",Indefinite full-text query retention or hidden privileged browsing.,SHELL-EVID-007,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-037,SHELL-REQ-037,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall detect and respond to scraping, harvesting, stalking, enumeration, bulk export patterns, and location probing.",Unbounded automated discovery or silent bulk extraction.,SHELL-EVID-008,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-038,SHELL-REQ-038,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall keep semantic or AI-assisted retrieval default OFF until separately authorized with source attribution, tenant isolation, permission filtering, evaluation, disablement, and provider controls.",Connecting customer data to an unapproved model or shared training corpus.,SHELL-EVID-009,SEPARATE_AI_ACTIVATION
SHELL-AC-039,SHELL-REQ-039,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall register every command with stable ID, owner, display rule, input schema, execution endpoint, risk level, authorization rule, and evidence rule.",Free-form executable commands or commands without a domain owner.,SHELL-EVID-010,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-040,SHELL-REQ-040,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall separate command discovery authorization from execution-time authorization and re-evaluate immediately before execution.",Executing because the command was visible earlier.,SHELL-EVID-011,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-041,SHELL-REQ-041,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall require confirmation, recent authentication, step-up, or dual control for commands classified as consequential.","One-click execution of high-risk financial, safeguarding, access, or deletion actions.",SHELL-EVID-012,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-042,SHELL-REQ-042,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall use idempotency keys and explicit pending, completed, failed, canceled, and reconciled states for effectful quick actions.","Duplicate effects caused by retry, refresh, or double activation.",SHELL-EVID-013,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-043,SHELL-REQ-043,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall limit Quick Create to registered domain-owned forms and current create authority in the active context.",A generic shell form that invents domain rules or creates in the wrong tenant.,SHELL-EVID-014,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-044,SHELL-REQ-044,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall preserve unsaved quick-action input only within authorized context and classification limits.","Carrying a protected draft across users, contexts, or expired sessions.",SHELL-EVID-015,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-045,SHELL-REQ-045,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall keep shell commands keyboard accessible, searchable without disclosure, and operable without pointer-only interaction.","Mouse-only, hover-only, or unannounced command behavior.",SHELL-EVID-016,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-046,SHELL-REQ-046,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall never let a shell command bypass the domain workflow, validation, audit, consent, or approval requirements owned by another PIA.",Treating shell convenience as substantive authority.,SHELL-EVID-017,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-047,SHELL-REQ-047,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall provide deterministic loading, ready, empty, denied, unavailable, degraded, stale, conflict, and error states for every shell surface.","Blank screens, misleading success, or one generic state for materially different conditions.",SHELL-EVID-018,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-048,SHELL-REQ-048,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall prevent protected-content flash during bootstrap, context change, session expiry, route transition, and cache restore.",Showing prior authorized content before current authorization resolves.,SHELL-EVID-019,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-049,SHELL-REQ-049,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall meet WCAG 2.2 AA for web and equivalent native-platform accessibility expectations, including keyboard, focus, names, roles, reflow, zoom, text scaling, and reduced motion.","Color-only meaning, hidden focus, inaccessible modal traps, or essential image-only text.",SHELL-EVID-020,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-050,SHELL-REQ-050,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall use at least 44 by 44 CSS pixel or point targets for primary field actions unless an equivalent accessible pattern is documented and tested.",Tiny high-frequency controls unsuitable for barn conditions.,SHELL-EVID-021,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-051,SHELL-REQ-051,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall preserve critical actions in glare, gloves, one-handed use, intermittent connectivity, and small-screen conditions.",Precision-only gestures or low-contrast operational controls.,SHELL-EVID-022,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-052,SHELL-REQ-052,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall keep serious workflows free from celebratory animation, playful copy, mascot treatment, or decorative typography that could trivialize risk.","Stead or decorative celebration during injury, medication, safeguarding, payment approval, security, legal, or outage workflows.",SHELL-EVID-023,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-053,SHELL-REQ-053,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall incorporate the approved visual-system V0.3.1 by exact source bytes and SHA-256 without editing its approved content.","Recreating, rewriting, or silently superseding the approved component inside this candidate.",SHELL-EVID-024,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-054,SHELL-REQ-054,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall apply the approved visual hierarchy, typography roles, color separation, icon system, and Stead restrictions only within the scope and conditions recorded by V0.3.1.",Extending visual approval into product behavior or activating Stead without separate authority.,SHELL-EVID-025,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-055,SHELL-REQ-055,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall cache only explicitly approved shell metadata and authorized minimum-necessary pointers with tenant, actor, version, expiry, classification, and revocation watermark.","Caching unrestricted search results, protected snippets, secrets, or cross-tenant state.",SHELL-EVID-026,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-056,SHELL-REQ-056,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall display persistent offline, stale, queued, failed, and synchronization-conflict status without implying server confirmation.",Silent local success or hiding stale authority.,SHELL-EVID-027,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-057,SHELL-REQ-057,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall do not treat cached route visibility, prior search results, badges, or context as continuing authority.",Opening protected content solely because it was previously cached.,SHELL-EVID-028,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-058,SHELL-REQ-058,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall on reconnect, refresh identity, session, context, permissions, route registry, configuration, revocation watermark, and affected cached pointers before privileged actions.",Replaying stale actions before authority refresh.,SHELL-EVID-029,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-059,SHELL-REQ-059,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall bind queued shell actions to actor, device, tenant, facility, command version, idempotency key, and creation time.",Replaying an action in a different context or under a different user.,SHELL-EVID-001,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-060,SHELL-REQ-060,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall support secure device sign-out, session revocation, and cache purge with a documented limitation when the device remains unreachable.",Claiming immediate remote deletion when it cannot be proven.,SHELL-EVID-002,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-061,SHELL-REQ-061,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall use least privilege and field-level projection for shell bootstrap, navigation, search, badges, recents, support, and diagnostics.",A broad administrator label granting universal shell visibility.,SHELL-EVID-003,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-062,SHELL-REQ-062,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall require support mode to be separately authorized, purpose-bound, time-limited, visibly indicated, attributable, and fully auditable.","Hidden impersonation, unrestricted browsing, or support access without a valid target and purpose.",SHELL-EVID-004,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-063,SHELL-REQ-063,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall minimize telemetry and diagnostics and prohibit secrets, credentials, unrestricted queries, message bodies, sensitive health detail, and safeguarding content in ordinary logs.",Using observability as a shadow data store.,SHELL-EVID-005,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-064,SHELL-REQ-064,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall apply safeguarding restrictions across route visibility, search, suggestions, notifications, badges, recents, exports, support, and caches.",A general shell feature bypassing a protective restriction.,SHELL-EVID-006,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-065,SHELL-REQ-065,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall expose a versioned shell-bootstrap contract with explicit context candidates, authorized capabilities, route version, configuration version, freshness, and safe failure codes.",Returning full domain datasets or ambiguous authorization state in bootstrap.,SHELL-EVID-007,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-066,SHELL-REQ-066,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall use versioned search, command, preference, recents, notification-summary, support-session, and configuration contracts with schema validation and backwards-compatibility rules.",Ad hoc unversioned payloads or silent field reinterpretation.,SHELL-EVID-008,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-067,SHELL-REQ-067,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall publish attributable events for context changes, privileged searches, consequential commands, support sessions, configuration publication, and route lifecycle changes.",Relying solely on client analytics for consequential evidence.,SHELL-EVID-009,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-068,SHELL-REQ-068,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall run index repair, revocation propagation, cache expiry, badge refresh, saved-view cleanup, and configuration validation as bounded idempotent jobs with observable outcomes.","Unbounded jobs, duplicate effects, or silent partial completion.",SHELL-EVID-010,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-069,SHELL-REQ-069,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall scope feature flags by environment, tenant, cohort, capability, and version with safe defaults, named owner, expiry, and emergency disablement.","A flag that grants authority, stores secrets, or remains indefinitely without owner.",SHELL-EVID-011,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-070,SHELL-REQ-070,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall keep secrets, signing keys, provider credentials, and private tokens outside source, client bundles, PIA artifacts, screenshots, logs, and configuration payloads.",Embedding or documenting live secrets in the shell package.,SHELL-EVID-012,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-071,SHELL-REQ-071,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall inventory current routes, menus, labels, deep links, role-based shortcuts, search fields, caches, preferences, and legacy shell assets before migration.",Replacing the shell without a reconciliation map or historical evidence.,SHELL-EVID-013,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-072,SHELL-REQ-072,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall roll out shell changes through controlled environments and cohorts with preflight validation, telemetry, stop conditions, rollback, and post-release verification.",All-at-once activation without tested rollback.,SHELL-EVID-014,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-073,SHELL-REQ-073,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall decommission routes, commands, search fields, and assets by removing active exposure, migrating lawful preferences/links, invalidating caches, and preserving history.",Deleting history or leaving a retired entry point active.,SHELL-EVID-015,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-074,SHELL-REQ-074,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall provide operational dashboards for bootstrap failures, route denials, context-switch defects, search latency/errors, stale indexes, abuse signals, support sessions, job failures, and configuration drift.",Metrics that expose protected content or falsely imply operational readiness.,SHELL-EVID-016,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-075,SHELL-REQ-075,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall provide bounded administrative tools for route/configuration validation, cache invalidation, index repair, support-session termination, and feature disablement.",Direct database editing or unrestricted production browsing as the standard support path.,SHELL-EVID-017,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-076,SHELL-REQ-076,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall reconcile the as-built shell to every applicable requirement, source, decision, route, contract, test, evidence item, and incorporated visual-system hash before verification.","Claiming conformance from screenshots, demos, or unexecuted tests.",SHELL-EVID-018,IMPLEMENTATION_AUTHORIZATION
