family,statement,prohibited,failure,source_refs,release_class,gate,id
Navigation and routes,"Use a persistent or collapsible rail on suitable desktop and tablet widths, with keyboard-operable groups and deterministic collapse behavior.","Hover-only access, unreachable collapsed controls, or loss of current-location indication.",Expand to an accessible fallback and preserve content access.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-012
Navigation and routes,Use a bounded mobile bottom navigation for highest-frequency authorized destinations and an accessible More destination for the remainder.,"Overcrowded, horizontally scrolling, or permission-leaking mobile navigation.",Reduce to the approved bounded set and expose the remainder through More.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-013
Navigation and routes,"Keep the current destination, parent group, active context, and unsaved-work state perceivable without relying on color alone.",Ambiguous location or color-only active indicators.,"Add text, icon, state, and assistive labels.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-014
Navigation and routes,"Generate breadcrumbs from registered route relationships and domain-owned labels, not from raw URLs.","Exposing identifiers, inaccessible ancestors, or stale names in breadcrumbs.",Suppress unavailable ancestors and retain a safe current-location label.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-015
Navigation and routes,"Provide predictable Back behavior that respects browser history, modal origin, and context boundaries.",A Back action that silently changes tenant context or loses unsaved work.,"Warn, preserve the draft where authorized, or route to a safe parent.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-016
Navigation and routes,Treat deep-link descriptors as non-authoritative pointers that may carry only bounded target and context hints.,"Embedding permission, secrets, protected names, or permanent authority in a link.",Reject or neutralize the link and require fresh authorization.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-017
Navigation and routes,"Use distinct not-found, denied, unavailable, and failed states internally while minimizing disclosure externally.",Confirming the existence of a protected resource through error wording or timing.,Return the appropriate safe state with a permitted recovery action.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-018
Personalization and private navigation aids,Store shell preferences as private actor-scoped configuration and never as a source of access.,Shared preferences that expose another user’s activity or override policy.,Reset to approved defaults and record a privacy finding.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-019
Personalization and private navigation aids,"Reauthorize recents, pins, favorites, and saved views every time they are read or opened.","Continuing visibility after relationship, role, context, or permission loss.",Suppress the item and invalidate its display metadata.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-020
Personalization and private navigation aids,"Store saved views as filter, sort, column, and presentation definitions without storing protected result rows.",Persisting a private dataset inside a view configuration.,Strip result data and require regeneration under current authority.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-021
Personalization and private navigation aids,"Allow tenant administrators to configure only an approved allowlist of labels, ordering, group visibility, and defaults.","Renaming authoritative domain concepts, hiding mandatory safety routes, or granting access through configuration.",Reject the configuration and keep the last valid version.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-022
Personalization and private navigation aids,Provide a reset-to-default action for user shell preferences without deleting domain records.,"A preference reset that alters tasks, horse records, billing, or communication state.",Abort and isolate the preference operation.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-023
Personalization and private navigation aids,"Expire or trim private recents according to classification, age, and user controls.",Indefinite retention of sensitive browsing history by default.,Remove expired pointers and preserve only required audit evidence.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-024
Personalization and private navigation aids,Keep badge counts and summaries minimum-necessary and independently revalidated.,"Showing protected names, health details, financial amounts, safeguarding facts, or stale counts in the shell.",Replace with a generic authorized indicator or suppress the badge.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-025
Personalization and private navigation aids,"Do not use behavioral advertising, unrelated profiling, or manipulative engagement ranking in shell personalization.","Cross-context tracking, dark patterns, or personalization aimed at minors.","Disable the feature, preserve evidence, and open a governance finding.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-026
Search and discovery,"Treat search as an authorized view of existing source truth and never as a source of ownership, custody, consent, relationship, professional authority, financial responsibility, or permission.","Creating authority or factual truth from a result, rank, suggestion, or index entry.",Display source context and require the authoritative workflow for consequential action.,SHELL-SRC-008; SHELL-SRC-009; SHELL-SRC-011,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-027
Search and discovery,Scope global search to the current actor and active context unless a separately approved discovery mode explicitly narrows and explains another scope.,Identifiable cross-tenant search by default.,Return no cross-tenant result and record prohibited enumeration attempts.,SHELL-SRC-008; SHELL-SRC-009; SHELL-SRC-012,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-028
Search and discovery,Apply permission and classification filtering before retrieval where technically possible and again before presentation and open.,Relying on post-render masking or client-only filtering.,Suppress the result and invalidate the affected index projection.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-029
Search and discovery,"Exclude safeguarding records, precise location, private communications, credentials, secrets, raw financial identifiers, and other protected fields from general search.",Indexing protected content into ordinary global search.,"Remove the fields, reindex, assess exposure, and preserve incident evidence.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-030
Search and discovery,"Apply heightened protections to minors, guardianship, location, contact, and recommendation results.","Open-ended minor directories, contact discovery, or behavioral recommendation.","Suppress, narrow, and route to a specialized authorized workflow.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-031
Search and discovery,"Keep autocomplete and suggestions permission-bound, minimum-necessary, context-aware, and resistant to enumeration.",Revealing inaccessible names or record existence through prefix probing.,"Rate-limit, suppress, and emit an abuse signal.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-032
Search and discovery,"Label result type, authoritative source, current context, freshness, and meaningful limitation where needed for safe interpretation.",Presenting stale or derived data as current authoritative truth.,"Mark stale, restrict action, or route to refresh.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-033
Search and discovery,"Use neutral, explainable ranking based on relevance, recency, domain priority, and user-selected filters.","Paid placement, secret favoritism, or ranking that changes authority.",Fall back to deterministic neutral ordering and record the configuration defect.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-034
Search and discovery,"Propagate correction, revocation, restriction, deletion, and relationship changes into indexes, suggestions, caches, and result snippets within defined service bounds.",Continuing to surface withdrawn or unauthorized information.,"Suppress immediately where possible, queue repair, and expose freshness status.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-035
Search and discovery,Minimize ordinary query history and provide proportionate user controls; apply heightened logging only to defined high-risk or privileged searches.,Indefinite full-text query retention or hidden privileged browsing.,"Redact, shorten retention, and require privileged-search review.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-036
Search and discovery,"Detect and respond to scraping, harvesting, stalking, enumeration, bulk export patterns, and location probing.",Unbounded automated discovery or silent bulk extraction.,"Throttle, block, challenge, alert, and preserve privacy-minimized evidence.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-037
Search and discovery,"Keep semantic or AI-assisted retrieval default OFF until separately authorized with source attribution, tenant isolation, permission filtering, evaluation, disablement, and provider controls.",Connecting customer data to an unapproved model or shared training corpus.,Disable the feature and remove generated or indexed derivatives.,SHELL-SRC-008; SHELL-SRC-012; SHELL-SRC-013,LATER_ENHANCEMENT,SEPARATE_AI_ACTIVATION,SHELL-REQ-038
Commands and quick actions,"Register every command with stable ID, owner, display rule, input schema, execution endpoint, risk level, authorization rule, and evidence rule.",Free-form executable commands or commands without a domain owner.,Do not publish the command.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-039
Commands and quick actions,Separate command discovery authorization from execution-time authorization and re-evaluate immediately before execution.,Executing because the command was visible earlier.,"Deny, explain safely, and refresh the command list.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-040
Commands and quick actions,"Require confirmation, recent authentication, step-up, or dual control for commands classified as consequential.","One-click execution of high-risk financial, safeguarding, access, or deletion actions.",Hold the request pending the required control.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-041
Commands and quick actions,"Use idempotency keys and explicit pending, completed, failed, canceled, and reconciled states for effectful quick actions.","Duplicate effects caused by retry, refresh, or double activation.",Return the prior result or place the action into reconciliation.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-042
Commands and quick actions,Limit Quick Create to registered domain-owned forms and current create authority in the active context.,A generic shell form that invents domain rules or creates in the wrong tenant.,Block launch and direct to context correction.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-043
Commands and quick actions,Preserve unsaved quick-action input only within authorized context and classification limits.,"Carrying a protected draft across users, contexts, or expired sessions.",Clear or securely quarantine the draft.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-044
Commands and quick actions,"Keep shell commands keyboard accessible, searchable without disclosure, and operable without pointer-only interaction.","Mouse-only, hover-only, or unannounced command behavior.",Expose an accessible alternative and suppress unsupported shortcuts.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-045
Commands and quick actions,"Never let a shell command bypass the domain workflow, validation, audit, consent, or approval requirements owned by another PIA.",Treating shell convenience as substantive authority.,Route to the domain-owned workflow and preserve the attempted shortcut evidence.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-046
"UI, accessibility, and state integrity","Provide deterministic loading, ready, empty, denied, unavailable, degraded, stale, conflict, and error states for every shell surface.","Blank screens, misleading success, or one generic state for materially different conditions.",Render the safe state and a permitted recovery path.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-047
"UI, accessibility, and state integrity","Prevent protected-content flash during bootstrap, context change, session expiry, route transition, and cache restore.",Showing prior authorized content before current authorization resolves.,Mask protected regions until resolution.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-048
"UI, accessibility, and state integrity","Meet WCAG 2.2 AA for web and equivalent native-platform accessibility expectations, including keyboard, focus, names, roles, reflow, zoom, text scaling, and reduced motion.","Color-only meaning, hidden focus, inaccessible modal traps, or essential image-only text.",Block release or disable the affected presentation.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-049
"UI, accessibility, and state integrity",Use at least 44 by 44 CSS pixel or point targets for primary field actions unless an equivalent accessible pattern is documented and tested.,Tiny high-frequency controls unsuitable for barn conditions.,Use a larger control or alternate action surface.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-050
"UI, accessibility, and state integrity","Preserve critical actions in glare, gloves, one-handed use, intermittent connectivity, and small-screen conditions.",Precision-only gestures or low-contrast operational controls.,Expose a simplified text-first fallback.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-051
"UI, accessibility, and state integrity","Keep serious workflows free from celebratory animation, playful copy, mascot treatment, or decorative typography that could trivialize risk.","Stead or decorative celebration during injury, medication, safeguarding, payment approval, security, legal, or outage workflows.",Suppress decoration and render a neutral serious-workflow state.,SHELL-SRC-004; SHELL-SRC-018,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-052
"UI, accessibility, and state integrity",Incorporate the approved visual-system V0.3.1 by exact source bytes and SHA-256 without editing its approved content.,"Recreating, rewriting, or silently superseding the approved component inside this candidate.",Stop package assembly and obtain the verified exact source file.,SHELL-SRC-004; SHELL-SRC-005,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-053
"UI, accessibility, and state integrity","Apply the approved visual hierarchy, typography roles, color separation, icon system, and Stead restrictions only within the scope and conditions recorded by V0.3.1.",Extending visual approval into product behavior or activating Stead without separate authority.,Use neutral shell defaults and open a design deviation.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-054
"Offline, device, and synchronization","Cache only explicitly approved shell metadata and authorized minimum-necessary pointers with tenant, actor, version, expiry, classification, and revocation watermark.","Caching unrestricted search results, protected snippets, secrets, or cross-tenant state.",Purge the cache and assess exposure.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-055
"Offline, device, and synchronization","Display persistent offline, stale, queued, failed, and synchronization-conflict status without implying server confirmation.",Silent local success or hiding stale authority.,Keep the action pending or blocked and explain next safe step.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-056
"Offline, device, and synchronization","Do not treat cached route visibility, prior search results, badges, or context as continuing authority.",Opening protected content solely because it was previously cached.,Restrict to approved offline projection or require reconnection.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-057
"Offline, device, and synchronization","On reconnect, refresh identity, session, context, permissions, route registry, configuration, revocation watermark, and affected cached pointers before privileged actions.",Replaying stale actions before authority refresh.,Hold the queue and reconcile each action.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-058
"Offline, device, and synchronization","Bind queued shell actions to actor, device, tenant, facility, command version, idempotency key, and creation time.",Replaying an action in a different context or under a different user.,Reject and preserve a reconciliation record.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-059
"Offline, device, and synchronization","Support secure device sign-out, session revocation, and cache purge with a documented limitation when the device remains unreachable.",Claiming immediate remote deletion when it cannot be proven.,"Revoke server authority, mark purge pending, and communicate the limitation.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-060
"Security, privacy, safeguarding, and support","Use least privilege and field-level projection for shell bootstrap, navigation, search, badges, recents, support, and diagnostics.",A broad administrator label granting universal shell visibility.,Deny the projection and require action-specific authority.,SHELL-SRC-009; SHELL-SRC-012; SHELL-SRC-013,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-061
"Security, privacy, safeguarding, and support","Require support mode to be separately authorized, purpose-bound, time-limited, visibly indicated, attributable, and fully auditable.","Hidden impersonation, unrestricted browsing, or support access without a valid target and purpose.",Block or terminate the support session and alert.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-062
"Security, privacy, safeguarding, and support","Minimize telemetry and diagnostics and prohibit secrets, credentials, unrestricted queries, message bodies, sensitive health detail, and safeguarding content in ordinary logs.",Using observability as a shadow data store.,"Redact, rotate, investigate, and correct instrumentation.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-063
"Security, privacy, safeguarding, and support","Apply safeguarding restrictions across route visibility, search, suggestions, notifications, badges, recents, exports, support, and caches.",A general shell feature bypassing a protective restriction.,"Suppress access, invalidate derived state, and escalate under the safeguarding process.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-064
"Contracts, events, and jobs","Expose a versioned shell-bootstrap contract with explicit context candidates, authorized capabilities, route version, configuration version, freshness, and safe failure codes.",Returning full domain datasets or ambiguous authorization state in bootstrap.,Return a minimal safe response and require recovery.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-065
"Contracts, events, and jobs","Use versioned search, command, preference, recents, notification-summary, support-session, and configuration contracts with schema validation and backwards-compatibility rules.",Ad hoc unversioned payloads or silent field reinterpretation.,Reject incompatible requests and retain the prior supported contract.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-066
"Contracts, events, and jobs","Publish attributable events for context changes, privileged searches, consequential commands, support sessions, configuration publication, and route lifecycle changes.",Relying solely on client analytics for consequential evidence.,Fail closed where evidence is mandatory or queue an auditable event.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-067
"Contracts, events, and jobs","Run index repair, revocation propagation, cache expiry, badge refresh, saved-view cleanup, and configuration validation as bounded idempotent jobs with observable outcomes.","Unbounded jobs, duplicate effects, or silent partial completion.","Pause, retry safely, reconcile, and alert.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-068
Environment and configuration,"Scope feature flags by environment, tenant, cohort, capability, and version with safe defaults, named owner, expiry, and emergency disablement.","A flag that grants authority, stores secrets, or remains indefinitely without owner.",Use the safe default and block publication.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-069
Environment and configuration,"Keep secrets, signing keys, provider credentials, and private tokens outside source, client bundles, PIA artifacts, screenshots, logs, and configuration payloads.",Embedding or documenting live secrets in the shell package.,"Revoke, rotate, redact, and treat as a security incident.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-070
"Migration, release, and rollback","Inventory current routes, menus, labels, deep links, role-based shortcuts, search fields, caches, preferences, and legacy shell assets before migration.",Replacing the shell without a reconciliation map or historical evidence.,Stop migration and complete the inventory.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-071
"Migration, release, and rollback","Roll out shell changes through controlled environments and cohorts with preflight validation, telemetry, stop conditions, rollback, and post-release verification.",All-at-once activation without tested rollback.,Stop rollout and restore the last verified configuration or build.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-072
"Migration, release, and rollback","Decommission routes, commands, search fields, and assets by removing active exposure, migrating lawful preferences/links, invalidating caches, and preserving history.",Deleting history or leaving a retired entry point active.,Quarantine the route and complete decommission evidence.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-073
"Operations, administration, and drift","Provide operational dashboards for bootstrap failures, route denials, context-switch defects, search latency/errors, stale indexes, abuse signals, support sessions, job failures, and configuration drift.",Metrics that expose protected content or falsely imply operational readiness.,Use privacy-minimized aggregates and mark evidence state accurately.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-074
"Operations, administration, and drift","Provide bounded administrative tools for route/configuration validation, cache invalidation, index repair, support-session termination, and feature disablement.",Direct database editing or unrestricted production browsing as the standard support path.,Disable the unsafe tool and use a controlled procedure.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-075
"Operations, administration, and drift","Reconcile the as-built shell to every applicable requirement, source, decision, route, contract, test, evidence item, and incorporated visual-system hash before verification.","Claiming conformance from screenshots, demos, or unexecuted tests.",Classify drift and block verification until resolved or formally accepted.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-076
