requirement_id,sources,founder_decisions,workflow_id,entity_id,acceptance_id,test_id,evidence_id,work_package_id,gate
SHELL-REQ-023,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-011,SHELL-WF-003,SHELL-ENT-001,SHELL-AC-023,SHELL-TEST-023,SHELL-EVID-023,SHELL-WP-011,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-024,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-012,SHELL-WF-004,SHELL-ENT-002,SHELL-AC-024,SHELL-TEST-024,SHELL-EVID-024,SHELL-WP-012,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-025,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-001,SHELL-WF-005,SHELL-ENT-003,SHELL-AC-025,SHELL-TEST-025,SHELL-EVID-025,SHELL-WP-001,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-026,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-002,SHELL-WF-006,SHELL-ENT-004,SHELL-AC-026,SHELL-TEST-026,SHELL-EVID-026,SHELL-WP-002,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-027,SHELL-SRC-008; SHELL-SRC-009; SHELL-SRC-011,SHELL-FD-CAND-003,SHELL-WF-007,SHELL-ENT-005,SHELL-AC-027,SHELL-TEST-027,SHELL-EVID-027,SHELL-WP-003,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-028,SHELL-SRC-008; SHELL-SRC-009; SHELL-SRC-012,SHELL-FD-CAND-004,SHELL-WF-008,SHELL-ENT-006,SHELL-AC-028,SHELL-TEST-028,SHELL-EVID-028,SHELL-WP-004,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-029,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-005,SHELL-WF-009,SHELL-ENT-007,SHELL-AC-029,SHELL-TEST-029,SHELL-EVID-029,SHELL-WP-005,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-030,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-006,SHELL-WF-010,SHELL-ENT-008,SHELL-AC-030,SHELL-TEST-030,SHELL-EVID-001,SHELL-WP-006,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-031,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-007,SHELL-WF-011,SHELL-ENT-009,SHELL-AC-031,SHELL-TEST-031,SHELL-EVID-002,SHELL-WP-007,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-032,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-008,SHELL-WF-012,SHELL-ENT-010,SHELL-AC-032,SHELL-TEST-032,SHELL-EVID-003,SHELL-WP-008,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-033,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-009,SHELL-WF-013,SHELL-ENT-011,SHELL-AC-033,SHELL-TEST-033,SHELL-EVID-004,SHELL-WP-009,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-034,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-010,SHELL-WF-014,SHELL-ENT-012,SHELL-AC-034,SHELL-TEST-034,SHELL-EVID-005,SHELL-WP-010,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-035,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-011,SHELL-WF-015,SHELL-ENT-013,SHELL-AC-035,SHELL-TEST-035,SHELL-EVID-006,SHELL-WP-011,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-036,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-012,SHELL-WF-016,SHELL-ENT-014,SHELL-AC-036,SHELL-TEST-036,SHELL-EVID-007,SHELL-WP-012,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-037,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-001,SHELL-WF-017,SHELL-ENT-015,SHELL-AC-037,SHELL-TEST-037,SHELL-EVID-008,SHELL-WP-001,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-038,SHELL-SRC-008; SHELL-SRC-012; SHELL-SRC-013,SHELL-FD-CAND-002,SHELL-WF-018,SHELL-ENT-016,SHELL-AC-038,SHELL-TEST-038,SHELL-EVID-009,SHELL-WP-002,SEPARATE_AI_ACTIVATION
SHELL-REQ-039,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-003,SHELL-WF-019,SHELL-ENT-017,SHELL-AC-039,SHELL-TEST-039,SHELL-EVID-010,SHELL-WP-003,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-040,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-004,SHELL-WF-020,SHELL-ENT-018,SHELL-AC-040,SHELL-TEST-040,SHELL-EVID-011,SHELL-WP-004,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-041,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-005,SHELL-WF-001,SHELL-ENT-019,SHELL-AC-041,SHELL-TEST-041,SHELL-EVID-012,SHELL-WP-005,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-042,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-006,SHELL-WF-002,SHELL-ENT-020,SHELL-AC-042,SHELL-TEST-042,SHELL-EVID-013,SHELL-WP-006,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-043,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-007,SHELL-WF-003,SHELL-ENT-021,SHELL-AC-043,SHELL-TEST-043,SHELL-EVID-014,SHELL-WP-007,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-044,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-008,SHELL-WF-004,SHELL-ENT-022,SHELL-AC-044,SHELL-TEST-044,SHELL-EVID-015,SHELL-WP-008,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-045,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-009,SHELL-WF-005,SHELL-ENT-001,SHELL-AC-045,SHELL-TEST-045,SHELL-EVID-016,SHELL-WP-009,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-046,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-010,SHELL-WF-006,SHELL-ENT-002,SHELL-AC-046,SHELL-TEST-046,SHELL-EVID-017,SHELL-WP-010,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-047,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-011,SHELL-WF-007,SHELL-ENT-003,SHELL-AC-047,SHELL-TEST-047,SHELL-EVID-018,SHELL-WP-011,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-048,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-012,SHELL-WF-008,SHELL-ENT-004,SHELL-AC-048,SHELL-TEST-048,SHELL-EVID-019,SHELL-WP-012,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-049,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-001,SHELL-WF-009,SHELL-ENT-005,SHELL-AC-049,SHELL-TEST-049,SHELL-EVID-020,SHELL-WP-001,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-050,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-002,SHELL-WF-010,SHELL-ENT-006,SHELL-AC-050,SHELL-TEST-050,SHELL-EVID-021,SHELL-WP-002,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-051,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-003,SHELL-WF-011,SHELL-ENT-007,SHELL-AC-051,SHELL-TEST-051,SHELL-EVID-022,SHELL-WP-003,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-052,SHELL-SRC-004; SHELL-SRC-018,SHELL-FD-CAND-004,SHELL-WF-012,SHELL-ENT-008,SHELL-AC-052,SHELL-TEST-052,SHELL-EVID-023,SHELL-WP-004,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-053,SHELL-SRC-004; SHELL-SRC-005,SHELL-FD-CAND-005,SHELL-WF-013,SHELL-ENT-009,SHELL-AC-053,SHELL-TEST-053,SHELL-EVID-024,SHELL-WP-005,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-054,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-006,SHELL-WF-014,SHELL-ENT-010,SHELL-AC-054,SHELL-TEST-054,SHELL-EVID-025,SHELL-WP-006,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-055,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-007,SHELL-WF-015,SHELL-ENT-011,SHELL-AC-055,SHELL-TEST-055,SHELL-EVID-026,SHELL-WP-007,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-056,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-008,SHELL-WF-016,SHELL-ENT-012,SHELL-AC-056,SHELL-TEST-056,SHELL-EVID-027,SHELL-WP-008,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-057,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-009,SHELL-WF-017,SHELL-ENT-013,SHELL-AC-057,SHELL-TEST-057,SHELL-EVID-028,SHELL-WP-009,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-058,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-010,SHELL-WF-018,SHELL-ENT-014,SHELL-AC-058,SHELL-TEST-058,SHELL-EVID-029,SHELL-WP-010,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-059,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-011,SHELL-WF-019,SHELL-ENT-015,SHELL-AC-059,SHELL-TEST-059,SHELL-EVID-001,SHELL-WP-011,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-060,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-012,SHELL-WF-020,SHELL-ENT-016,SHELL-AC-060,SHELL-TEST-060,SHELL-EVID-002,SHELL-WP-012,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-061,SHELL-SRC-009; SHELL-SRC-012; SHELL-SRC-013,SHELL-FD-CAND-001,SHELL-WF-001,SHELL-ENT-017,SHELL-AC-061,SHELL-TEST-061,SHELL-EVID-003,SHELL-WP-001,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-062,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-002,SHELL-WF-002,SHELL-ENT-018,SHELL-AC-062,SHELL-TEST-062,SHELL-EVID-004,SHELL-WP-002,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-063,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-003,SHELL-WF-003,SHELL-ENT-019,SHELL-AC-063,SHELL-TEST-063,SHELL-EVID-005,SHELL-WP-003,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-064,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-004,SHELL-WF-004,SHELL-ENT-020,SHELL-AC-064,SHELL-TEST-064,SHELL-EVID-006,SHELL-WP-004,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-065,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-005,SHELL-WF-005,SHELL-ENT-021,SHELL-AC-065,SHELL-TEST-065,SHELL-EVID-007,SHELL-WP-005,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-066,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-006,SHELL-WF-006,SHELL-ENT-022,SHELL-AC-066,SHELL-TEST-066,SHELL-EVID-008,SHELL-WP-006,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-067,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-007,SHELL-WF-007,SHELL-ENT-001,SHELL-AC-067,SHELL-TEST-067,SHELL-EVID-009,SHELL-WP-007,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-068,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-008,SHELL-WF-008,SHELL-ENT-002,SHELL-AC-068,SHELL-TEST-068,SHELL-EVID-010,SHELL-WP-008,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-069,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-009,SHELL-WF-009,SHELL-ENT-003,SHELL-AC-069,SHELL-TEST-069,SHELL-EVID-011,SHELL-WP-009,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-070,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-010,SHELL-WF-010,SHELL-ENT-004,SHELL-AC-070,SHELL-TEST-070,SHELL-EVID-012,SHELL-WP-010,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-071,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-011,SHELL-WF-011,SHELL-ENT-005,SHELL-AC-071,SHELL-TEST-071,SHELL-EVID-013,SHELL-WP-011,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-072,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-012,SHELL-WF-012,SHELL-ENT-006,SHELL-AC-072,SHELL-TEST-072,SHELL-EVID-014,SHELL-WP-012,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-073,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-001,SHELL-WF-013,SHELL-ENT-007,SHELL-AC-073,SHELL-TEST-073,SHELL-EVID-015,SHELL-WP-001,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-074,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-002,SHELL-WF-014,SHELL-ENT-008,SHELL-AC-074,SHELL-TEST-074,SHELL-EVID-016,SHELL-WP-002,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-075,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-003,SHELL-WF-015,SHELL-ENT-009,SHELL-AC-075,SHELL-TEST-075,SHELL-EVID-017,SHELL-WP-003,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-076,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-004,SHELL-WF-016,SHELL-ENT-010,SHELL-AC-076,SHELL-TEST-076,SHELL-EVID-018,SHELL-WP-004,IMPLEMENTATION_AUTHORIZATION
