requirement_id,requirement_text,source_refs,founder_decision_refs,acceptance_refs,test_refs,evidence_refs,gate
TCSN-REQ-018,A completion entered after the due time SHALL preserve the original due time and shall not erase an already-triggered escalation.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-019,"Backdated completion SHALL require an asserted completion time, entry time, entering actor, and reason.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-020,High-risk late or backdated completion MAY require supervisor review according to policy.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-021,"Task completion states SHALL distinguish completed, completed-with-exception, unable-to-complete, declined, canceled, superseded, and duplicate.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-022,Completion evidence requirements SHALL be configurable by task template and risk class.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-023,A task SHALL NOT be marked complete solely because its notification was opened or acknowledged.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-024,"Task correction SHALL preserve original values, corrected values, reason, actor, effective time, and audit lineage.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-025,"Recurring tasks and events SHALL support editing one occurrence, this-and-following occurrences, or the entire future series.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-026,Completed or historical occurrences SHALL NOT be silently rewritten by edits to a recurring series.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-027,"Recurrence SHALL support daily, weekly, monthly, interval, rule-based, and domain-generated patterns with explicit exclusions.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-028,The system SHALL preserve recurrence rule version and occurrence-generation provenance.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-029,Canceling a series SHALL preserve historical occurrences and identify the cancellation scope and reason.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-030,Skipped or excepted occurrences SHALL remain queryable and auditable.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-031,"Calendar events SHALL distinguish EquineSync-source, imported, synchronized, external-only, tentative, canceled, conflicted, and failed-sync states.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-032,Imported external events SHALL be visibly labeled and SHALL NOT silently become authoritative EquineSync operational records.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-033,Google Calendar and Microsoft calendar synchronization MAY be bidirectional only when authorized and technically approved.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-034,Apple Calendar initial support SHALL use controlled ICS subscription or export unless a later adapter is approved.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-035,External adapters SHALL remain provider-neutral and replaceable.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-036,External deletion SHALL NOT silently delete an authoritative EquineSync event without the approved conflict and deletion policy.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-037,"Synchronization SHALL provide duplicate prevention, idempotency, conflict visibility, revocation handling, retry, dead-letter treatment, and reconciliation.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-038,The system SHALL display sync health and last successful synchronization for connected calendars.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-039,"Scheduling conflicts SHALL be classified as hard, soft, informational, or unknown-availability.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-040,"Conflict evaluation SHALL support people, horses, facilities, arenas, stalls, treatment spaces, trailers, equipment, providers, travel buffers, welfare limits, and guardian participation where applicable.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-041,Hard conflicts SHALL block scheduling unless an authorized override exists.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-042,"Conflict overrides SHALL record actor, authority, reason, affected resources, time, and downstream notification behavior.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-043,Unknown availability SHALL be disclosed rather than represented as confirmed availability.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-044,Travel time and setup or recovery buffers MAY be configured as scheduling constraints.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-045,"The system SHALL preserve authoritative event time zone, facility time zone, user display time zone, UTC instant, and daylight-saving interpretation.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-046,Travel or device time-zone change SHALL NOT silently shift the authoritative time of a horse-care or safety-critical schedule.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-047,Ambiguous or nonexistent daylight-saving local times SHALL require deterministic handling and visible explanation.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-048,"Time changes SHALL preserve old and new values, source, actor, and notification effects.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-049,"Notifications SHALL support in-app, push, email, optional SMS, digest, and administrator-visible failed-delivery queues in the initial controlled scope.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-050,"SMS SHALL remain optional, consent-aware, cost-aware, and subject to channel suitability, contact verification, opt-out, and mandatory-notice rules.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-051,"Voice calling, WhatsApp or similar consumer channels, and automated emergency calling trees SHALL remain outside the initial scope unless separately authorized.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-052,"Notification states SHALL distinguish queued, sent, provider-accepted, delivered, viewed, acknowledged, failed, suppressed, expired, retried, dead-lettered, and superseded.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-053,"Acknowledgment SHALL be distinct from assignment acceptance, consent, professional approval, task completion, and legal assent.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-054,"Routine notifications MAY respect quiet hours, digests, preferences, and channel selections.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-055,"Safety-critical, welfare-critical, safeguarding, mandatory legal, or approved emergency communications MAY override quiet hours.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-056,"Every quiet-hours override SHALL preserve classification, reason, sender or automation, recipients, channel, delivery result, and acknowledgment requirement.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-057,"Notification routing SHALL apply recipient identity, relationship, role, tenant, facility, horse, guardian, and communication-capacity rules.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-058,"Routine notification volume SHALL support coalescing, duplicate suppression, per-horse grouping, per-facility grouping, and configurable digests.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-059,Urgent or mandatory communications SHALL NOT be hidden inside routine digests.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-060,"Failed delivery SHALL trigger policy-based fallback, retry, escalation, or administrator review without being misrepresented as refusal or acknowledgment.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-061,"Missed-task escalation SHALL use configurable risk classes: routine, time-sensitive, welfare-sensitive, health-sensitive, safety-critical, safeguarding-sensitive, legal or mandatory notice, and emergency.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-062,"Escalation SHALL consider severity, due window, grace period, operational hours, acknowledgment, substitute coverage, responsible role, horse, and facility.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-063,Escalation ceilings and recipient chains SHALL prevent uncontrolled message storms.,See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
TCSN-REQ-064,"Escalation SHALL stop, continue, or transform according to completion, exception, acknowledgment, reassignment, cancellation, and recovery state.",See SOURCE_REGISTER.csv and Section 40 family mapping,TCSN-FD-001 through TCSN-FD-020 as applicable,See REVISED_TRACEABILITY_MATRIX.csv,See REVISED_TRACEABILITY_MATRIX.csv,See EVIDENCE_MANIFEST.json,DOCUMENTARY_DESIGN_ONLY_IMPLEMENTATION_UNAUTHORIZED
