t1c_id,severity,consolidated_defect,current_target_disposition,closure_state,source_review_ids,current_target_evidence,second_reviewer_state,authority_effect,merge_effect
T1C-011,MEDIUM,Lifecycle vocabulary and transition evidence needed current-surface correction.,OPEN_RETAINED_V4_01_LIFECYCLE_RULE_DEFECT_REMEDIATED_PENDING_REREVIEW,OPEN_RETAINED_PENDING_V5_LIFECYCLE_RULE_CLASS_REREVIEW,CURSOR-V4-T1C-011;PPLX-V4-01,V5 replaces mechanically uniquified lifecycle strings with documented rule classes and prefix-stripped validator checks; retained open pending rereview.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-012,MEDIUM,Duplicate clusters needed referential-linkage validation.,REMEDIATION_ACCEPTED_BY_OUTSIDE_OR_ORIGINATING_REVIEWER_NOT_FINAL_CLOSURE,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_FOUNDER_APPROVED,PPLX-P-12;CURSOR-V3-05,V3 executes an orphan duplicate-cluster negative fixture and retains register validation. V5 records outside/originating-reviewer concurrence without second-reviewer performance.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-013,MEDIUM,Workstream and PR status could be stale.,VALID_OPEN_RETAINED_CONTENT_REVISION_REQUIRED,OPEN_RETAINED_CONTENT_REVISION_REQUIRED,CURSOR-VR3-007,V3 records this as time-bound documentary evidence only and does not authorize merge.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-014,MEDIUM,Boilerplate/content-depth concerns remain in several registers.,VALID_OPEN_RETAINED_CONTENT_REVISION_REQUIRED,OPEN_RETAINED_CONTENT_REVISION_REQUIRED,PPLX-P-02;PPLX-P-03;PPLX-P-05;PPLX-P-07;PPLX-N-07;PPLX-V3-04;CURSOR-VR3-007,V3 strengthens selected dictionaries/schemas but keeps substantive content-depth rereview open.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-015,MEDIUM,"Certification, audit, and attestation terminology could overstate status.",REMEDIATION_ACCEPTED_BY_OUTSIDE_OR_ORIGINATING_REVIEWER_NOT_FINAL_CLOSURE,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_FOUNDER_APPROVED,CLAUDE-V2-01;CLAUDE-V2-02,V3 preserves the exact no-certification boundary and validation report status is not certification. V5 records outside/originating-reviewer concurrence without second-reviewer performance.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-016,MEDIUM,Principal documents 03-10 may remain too thin.,VALID_OPEN_RETAINED_CONTENT_REVISION_REQUIRED,OPEN_RETAINED_CONTENT_REVISION_REQUIRED,PPLX-P-08;PPLX-N-07;PPLX-N-08,V3 keeps this as a reviewer judgment item rather than self-closing.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-017,LOW,"Bootstrap, manifest, and archive custody disclosures needed rebuilt evidence.",REMEDIATION_ACCEPTED_BY_OUTSIDE_OR_ORIGINATING_REVIEWER_NOT_FINAL_CLOSURE,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_FOUNDER_APPROVED,CLAUDE-V2-01;PPLX-N-01,V3 rebuilds root and per-directory manifests and emits a detached final ZIP checksum/report. V5 records outside/originating-reviewer concurrence without second-reviewer performance.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-018,LOW,Authoritative current rows needed safer source-authority wording.,REMEDIATION_ACCEPTED_BY_OUTSIDE_OR_ORIGINATING_REVIEWER_NOT_FINAL_CLOSURE,ACCEPTED_FOR_BOUNDED_REREVIEW_NOT_FOUNDER_APPROVED,PPLX-P-06,V3 replaces the unsafe Founder approval evidence label with a non-adoption source-evidence label. V5 records outside/originating-reviewer concurrence without second-reviewer performance.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-019,LOW,Second Reviewer appointment/performance boundary needed explicit preservation.,VALID_OPEN_RETAINED_CONTENT_REVISION_REQUIRED,OPEN_RETAINED_CONTENT_REVISION_REQUIRED,CLAUDE-V2-06,V3 states Patrick K. Spoon Sr. was designated by directive context only; no performed second review or formal appointment evidence is fabricated.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
T1C-020,LOW,Validation remains local-platform only unless reproduced in CI/Linux.,VALID_OPEN_RETAINED_CONTENT_REVISION_REQUIRED,OPEN_RETAINED_CONTENT_REVISION_REQUIRED,PPLX-P-09,V3 records macOS local validation and retains Linux/CI reproduction as open.,NOT_PERFORMED_NOT_FABRICATED_OUTSIDE_OR_ORIGINATING_REVIEW_CONCURRENCE_RECORDED_SEPARATELY,NONE,MERGE_NOT_AUTHORIZED
