label_1,label_2,ledger_item_id,assigned_procedure,denominator,completed,status,evidence_or_result,limitation
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-011,Verify Global Governance V1.0 baseline commit tag and aggregate manifest,2208 manifest entries,2208,COMPLETED,"commit present; annotated tag peels to acb518e; 2208/2208 bytes and SHA-256 match; 255522257 bytes total",Read-only local object verification; no remote refresh
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-012,Verify fallback authorization records against base commit,4 files,4,COMPLETED,"4/4 worktree Git blobs match 75c56ac; SHA256SUMS 3/3 non-self entries PASS",Review-cycle plan and lane prompts are untracked cycle records layered on base commit
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-013,Inspect source authority and lifecycle register rows,28 rows,28,COMPLETED_WITH_LIMITATION,"6 exact path/hash matches; 10 paths present without declared hash; 12 unresolved or non-repository references",Unresolved rows are preserved in AUTHORITY_AND_LIFECYCLE.csv; no semantic conclusion made
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-014,Inspect Founder decision and ADR recommendation lifecycle statuses,46 status rows,46,COMPLETED_WITH_LIMITATION,"Relationships decisions: 16 pending in two predecessor/current registers versus 16 approved in ingestion; ADR recommendations: 7 pending versus 7 approved in ingestion",Lifecycle reconciliation required; content conformance not assessed
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-015,Inspect custody path permissions at first observation and after coordinator update,2 roots plus descendants,all enumerated,COMPLETED_WITH_LIMITATION,"First observation: handoff files 0644 and directories writable; review files 0444 but directories writable. Recheck: all 155 input files 0444; all 13 input directories 0700 and owner-writable","Coordinator reported directories 0555; two direct rechecks observed 0700 and writable"
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-016,Rehash frozen bytes after permission metadata update,156 custody objects,156,COMPLETED,"External ZIP unchanged; 15 handoff files and 140 expanded-package files retain verified bytes; zero drift",Permission metadata changed; bytes did not
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-017,Observe prohibited-action boundaries,6 prohibited action classes,6,COMPLETED,"network 0; application execution 0; Git mutations 0; implementation 0; PR/merge/tag/release/deploy 0; Founder disposition 0",Read-only Git inspection was performed
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-018,Create required lane deliverables in authorized output directory,5 files,5,COMPLETED,"LANE_REPORT.md; EVIDENCE_INVENTORY.csv; AUTHORITY_AND_LIFECYCLE.csv; WORK_COMPLETENESS_LEDGER.csv; OUTPUT_MANIFEST.json",OUTPUT_MANIFEST self-hash is excluded to avoid self-reference
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-019,Perform mandatory self-audit,12 questions,12,COMPLETED,12/12 answered in LANE_REPORT.md,Independent review was not performed
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-020,Contain and disclose patch-relative output-path deviation,3 draft files,3,COMPLETED_WITH_LIMITATION,"Three CMT-01 draft outputs initially resolved beneath the generated thread directory; all three were moved with apply_patch to the authorized lane path and the empty accidental directory tree was removed","No frozen input or other lane output was touched; preserve as a procedural deviation"
