requirement_id,source_path,source_locator,fragment_text,quarantine_reason,v4_disposition
T1R2-REQ-0049,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 64,"Task skip/refuse | `taskSync` queue pattern | Partial | Queue, retry, reason preservation, duplicate prevention | Required proof | Required proof | Staff/facility | Yes | Optional for web online shell | Yes","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0050,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 65,"Bulk complete | Task sync surface exists, full proof not complete | Partial | Queue as atomic batch or itemized retry with review | Required proof | Required proof | Staff/facility | Yes | Optional | Yes","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0051,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 66,My Work / staff assignments | No full offline read/write proof found | Online-only | Either online-only founder acceptance or last-known-good cache | Required decision | Required evidence | Staff/facility | If offline | Optional | If queued,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0052,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 67,"Staff shift notes | QuickAddSheet may preserve draft, workflow-specific proof missing | Partial | Draft save, retry, no silent loss | Required proof | Required proof | Staff/internal | Yes | Optional | Yes if queued","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0053,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 68,Staff handoff notes | Workflow-specific offline proof missing | Online-only | Draft or accepted online-only limitation | Required decision | Required evidence | Staff/internal | If offline | Optional | If queued,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0054,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 69,Time clock / attendance | No offline proof found | Online-only | Likely online-only unless a clock reconciliation model is built | Required decision | Required evidence | Staff/payroll-like | If offline | No | Yes if queued,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0055,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 70,Barn map / location board | No offline proof found | Online-only | Last-known-good read cache or online-only acceptance | Required decision | Required evidence | Facility | If offline read | Optional | No,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0056,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 71,Horse list | No universal read cache proof found | Online-only | Last-known-good read cache if used in field with poor signal | Required decision | Required evidence | Horse/facility | If offline read | Optional | No,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0057,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 72,"Horse profile view | HorseOps read surfaces exist, offline read cache not proven | Online-only | Last-known-good read cache or online-only acceptance | Required decision | Required evidence | Horse/owner | If offline read | Optional | No","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0058,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 73,"Daily care check | HorseOps daily checks exist, offline queue not proven across workflow | Partial | Draft/queue, retry, duplicate prevention, conflict review | Required proof | Required proof | Horse care | Yes | Optional | Yes","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0059,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 74,"Feed note | QuickAddSheet draft pattern, workflow-specific queue not proven | Partial | Draft/queue, amount/unit preservation, retry | Required proof | Required proof | Horse care | Yes | Optional | Yes","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0060,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 75,"Water note | QuickAddSheet draft pattern, workflow-specific queue not proven | Partial | Draft/queue, retry | Required proof | Required proof | Horse care | Yes | Optional | Yes","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0061,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 76,"Hay / hay net note | HorseOps hay/hay-net fields exist, offline proof missing | Partial | Draft/queue, retry, no owner leak of staff notes | Required proof | Required proof | Horse care | Yes | Optional | Yes","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0062,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 77,"Stall bedding note | HorseOps bedding fields exist, offline proof missing | Partial | Draft/queue, retry | Required proof | Required proof | Horse care | Yes | Optional | Yes","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0063,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 78,Medication log | No launch-grade offline proof found | Online-only | Strong idempotency and conflict handling if queued | Required decision | Required evidence | Medical-like | Yes if offline | Optional | Yes,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0064,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 79,Incident report | No launch-grade offline proof found | Online-only | Draft/queue or explicit online-only limitation | Required decision | Required evidence | Safety/legal | Yes if offline | Optional | Yes,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0065,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 80,"Owner request | Owner request surfaces exist, offline proof missing | Online-only | Online-only accepted or draft/queue with privacy proof | Required decision | Required evidence | Owner/facility | If offline | Optional | Yes if queued","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0066,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 81,"Owner portal view | Owner-safe read projection exists, offline cache not proven | Online-only | Online-only or owner-safe read cache | Required decision | Required evidence | Owner-safe horse data | If offline read | Optional | No","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0067,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 82,"Provider visit note | Provider surfaces exist, offline proof missing | Online-only | Online-only unless provider offline queue is built | Required decision | Required evidence | Provider/horse | If offline | Optional | Yes if queued","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0068,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 83,"Provider documents | DocuSign/provider docs should stay online-only | Not applicable | Online-only, provider-live status clear | Founder acceptance | Required evidence | Legal/provider | No | No | Provider-dependent","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0069,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 84,Billing checkout | Stripe provider flow | Not applicable | Online-only | Required acceptance | Required evidence | Billing | No | No | Provider-dependent,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0070,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 85,Customer portal | Stripe provider flow | Not applicable | Online-only | Required acceptance | Required evidence | Billing | No | No | Provider-dependent,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0071,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 86,Admin portal | Admin routes and controls | Not applicable | Online-only | Required acceptance | Required evidence | Platform/admin | No | No | Provider-dependent,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0072,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,line 87,Integrations health | Provider integrations | Not applicable | Online-only | Required acceptance | Required evidence | Provider/admin | No | No | Provider-dependent,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0073,docs/FOUNDER_ACCEPTANCE_LEDGER.md,line 49,Decision | BN19 status | Required founder action,"Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0077,docs/INITIAL_ADMIN_AND_DEMO_SETUP.md,line 68,"`--allow-prod` | Required for **writes** when `APP_ENV in {production, prod}`.","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
T1R2-REQ-0078,docs/INITIAL_ADMIN_AND_DEMO_SETUP.md,line 69,"`--force-role-change` | Required to overwrite an existing user's `platform_role` when it differs from the roster. Without it, the user is SKIPPED and an `admin.seed.skipped_role_diff` audit row is emitted.","Obvious fragment, table row, JSON literal, heading, or status note rather than an atomic requirement.",REJECTED_SOURCE_FRAGMENT_NOT_REQUIREMENT
