"acceptance_id","finding_id","severity","candidate_assertion","candidate_artifacts","documentary_check","fresh_review_check","current_result"
"ES-REM-AC-011","CMT08-P1-009","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/IDENTITY_STATE_EVENT_CANDIDATE.csv;registers/PERMISSION_AND_AUDIT_CANDIDATE.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-012","CMT08-P1-010","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_contracts/IDENTITY_AUTHORIZATION_CONTRACT.md;candidate_contracts/AUTHORIZATION_INTERFACE_PIA_CANDIDATE.md;registers/PERMISSION_AND_AUDIT_CANDIDATE.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-013","CMT08-P1-011","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_contracts/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md;candidate_contracts/IDENTITY_RELATIONSHIPS_CONTRACT.md;candidate_contracts/RELATIONSHIPS_AUTHORIZATION_CONTRACT.md;candidate_contracts/AUTHORIZATION_INTERFACE_PIA_CANDIDATE.md","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-014","CMT08-P1-012","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/ADR_FOUNDER_DECISION_TRACEABILITY.csv;candidate_adrs/relationships/ADR-REL-001_FORMAL.md;candidate_adrs/relationships/ADR-REL-002_FORMAL.md;candidate_adrs/relationships/ADR-REL-003_FORMAL.md;candidate_adrs/relationships/ADR-REL-005_FORMAL.md","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-015","CMT08-P1-013","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_adrs/relationships/ADR-REL-003_FORMAL.md;registers/RELATIONSHIP_STATE_AND_VERIFICATION_CANDIDATE.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-016","CMT08-P1-014","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_adrs/relationships/ADR-REL-003_FORMAL.md;registers/RELATIONSHIP_STATE_AND_VERIFICATION_CANDIDATE.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-017","CMT08-P1-015","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_adrs/relationships/ADR-REL-004_FORMAL.md;registers/RELATIONSHIP_STATE_AND_VERIFICATION_CANDIDATE.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-018","CMT08-P1-016","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/FIRST_USER_REQUIREMENT_TRACEABILITY.csv;registers/FIRST_USER_TRACEABILITY_STATUS.json","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-019","CMT08-P2-001","P2","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/PREDECESSOR_AND_REVIEW_PROVENANCE.json","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-020","CMT08-P2-002","P2","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_contracts/IDENTITY_RELATIONSHIPS_CONTRACT.md","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-021","CMT08-P2-003","P2","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_contracts/IDENTITY_RELATIONSHIPS_CONTRACT.md;registers/SOURCE_AND_LIFECYCLE_PRECEDENCE.md","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-022","CMT08-P2-004","P2","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/ADR_TITLE_ALIAS_REGISTER.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-023","CMT08-P2-005","P2","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_adrs/relationships/ADR-REL-001_FORMAL.md;candidate_contracts/IDENTITY_RELATIONSHIPS_CONTRACT.md","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-024","CMT08-P2-006","P2","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/AUTOMATION_ACCOUNTABILITY_CANDIDATE.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-025","CMT08-P2-007","P2","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/GOLDEN_PATH_ALIAS_AND_DENOMINATOR_REGISTER.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
