predecessor_artifact,predecessor_source_id,predecessor_title,successor_source_id,crosswalk_status
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-007,Master Permission Model V1.1,ES-SRC-PERMISSION,ACTIVE_PATH_AND_LOCK_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-008,Master Agreement Consent and Authorization Model V2.1,ES-SRC-AGREEMENT,RAW_SOURCE_TO_LOCKED_MARKDOWN_PROVENANCE_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-009,Master Minor Guardianship Safeguarding and Protected Participant Model V1.2,ES-SRC-SAFEGUARDING,ACTIVE_PATH_HASH_AND_LOCK_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-010,Master Horse Lifecycle and Passport Model V3.1,ES-SRC-HORSE,ACTIVE_PATH_HASH_AND_LOCK_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-011,Master Horse Transfer and Continuity Policy V2.0,ES-SRC-HORSE-TRANSFER,ACTIVE_PATH_HASH_AND_LOCK_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-012,Master Barn Lifecycle and Operations Canon V3.1,ES-SRC-BARN,ACTIVE_PATH_HASH_AND_LOCK_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-013,Master Audit Event and Evidence Model V2.0,ES-SRC-AUDIT,ACTIVE_SOURCE_AND_LOCK_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-014,Master Communication Notification and Notice Model V2.0,ES-SRC-COMMUNICATION,ACTIVE_SOURCE_AND_LOCK_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-015,Product Implementation Atlas Master Standard V1.1,ES-SRC-PIA-STANDARD,UNRESOLVED_EXACT_BYTES_RETAINED
Relationships candidate SOURCE_REGISTER.csv,REL-SRC-001,EquineSync Global Governance V1.0,GLOBAL-GOVERNANCE-V1,AMBIGUOUS_REUSED_ID_DISAMBIGUATED_BY_ARTIFACT
Relationships candidate SOURCE_REGISTER.csv,REL-SRC-003,Master Relationship Model V2.0,ES-SRC-RELATIONSHIP,AMBIGUOUS_REUSED_ID_DISAMBIGUATED_BY_ARTIFACT
Relationships candidate SOURCE_REGISTER.csv,REL-SRC-006,Master Identity Account and Actor Model V2.0,ES-SRC-IDENTITY,AMBIGUOUS_REUSED_ID_DISAMBIGUATED_BY_ARTIFACT
Relationships candidate SOURCE_REGISTER.csv,REL-SRC-016,MIAP Stage 2 successor package ES-PKG-2026-003-V001,MIAP-STAGE2-ES-PKG-2026-003-V001,HISTORICAL_PLANNING_INPUT_ONLY
