"domain","requirement_id","requirement","source_ids","acceptance_id","positive_test_id","negative_or_abuse_test_id","planned_evidence_id","traceability_state"
"Identity","IDENTITY-REQ-029","Organization actions SHALL preserve the named human or machine actor and represented organization.","SRC-003;SRC-011","IDENTITY-REQ-029-AC-SR","IDENTITY-REQ-029-DOC-POS-SR","IDENTITY-REQ-029-DOC-NEG-SR","IDENTITY-REQ-029-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-030","Shared organization passwords SHALL be prohibited.","SRC-003;SRC-010","IDENTITY-REQ-030-AC-SR","IDENTITY-REQ-030-DOC-POS-SR","IDENTITY-REQ-030-DOC-NEG-SR","IDENTITY-REQ-030-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-034","Agreement execution during enrollment SHALL preserve signer identity, account, assurance level, represented party, capacity, guardian status, authority evidence, agreement version, method, and execution time.","SRC-003;SRC-007","IDENTITY-REQ-034-AC-SR","IDENTITY-REQ-034-DOC-POS-SR","IDENTITY-REQ-034-DOC-NEG-SR","IDENTITY-REQ-034-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-035","Enrollment and security communications SHALL identify the governing context, sender or automated source, recipient, delivery state, and response or escalation path.","SRC-003;SRC-012","IDENTITY-REQ-035-AC-SR","IDENTITY-REQ-035-DOC-POS-SR","IDENTITY-REQ-035-DOC-NEG-SR","IDENTITY-REQ-035-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-036","Identity and enrollment data SHALL be minimized, purpose-limited, classified, and separated into required, optional, verification, organization-visible, support-visible, and highly restricted categories.","SRC-003;SRC-009","IDENTITY-REQ-036-AC-SR","IDENTITY-REQ-036-DOC-POS-SR","IDENTITY-REQ-036-DOC-NEG-SR","IDENTITY-REQ-036-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-037","Identity verification SHALL be represented as scoped evidence and confidence, and SHALL NOT be treated as universal authorization.","SRC-003","IDENTITY-REQ-037-AC-SR","IDENTITY-REQ-037-DOC-POS-SR","IDENTITY-REQ-037-DOC-NEG-SR","IDENTITY-REQ-037-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-038","Onboarding SHALL be complete only when the enrolled tenant or participant can perform the approved primary end-to-end workflow, not merely display a completed profile.","SRC-014;SRC-015","IDENTITY-REQ-038-AC-SR","IDENTITY-REQ-038-DOC-POS-SR","IDENTITY-REQ-038-DOC-NEG-SR","IDENTITY-REQ-038-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-040","Authentication-method changes, account recovery, role elevation, identity merge, tenant-owner activation, and support-access activation SHALL require online confirmation and SHALL NOT be completed solely offline.","SRC-003;SRC-010;SRC-016","IDENTITY-REQ-040-AC-SR","IDENTITY-REQ-040-DOC-POS-SR","IDENTITY-REQ-040-DOC-NEG-SR","IDENTITY-REQ-040-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-042","The interface SHALL expose clear loading, invitation-expired, duplicate-detected, verification-pending, access-denied, recovery-pending, offline, sync-pending, and support-escalation states.","SRC-004;SRC-016","IDENTITY-REQ-042-AC-SR","IDENTITY-REQ-042-DOC-POS-SR","IDENTITY-REQ-042-DOC-NEG-SR","IDENTITY-REQ-042-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-043","Enrollment interfaces SHALL be accessible, mobile-responsive, readable in field conditions, and capable of preserving progress through interruption without silently accepting incomplete legal or authority steps.","SRC-004;SRC-016","IDENTITY-REQ-043-AC-SR","IDENTITY-REQ-043-DOC-POS-SR","IDENTITY-REQ-043-DOC-NEG-SR","IDENTITY-REQ-043-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-044","All material identity lifecycle events SHALL generate structured, attributable audit events with prior state, new state, reason, authority source, and relevant evidence references.","SRC-003;SRC-011","IDENTITY-REQ-044-AC-SR","IDENTITY-REQ-044-DOC-POS-SR","IDENTITY-REQ-044-DOC-NEG-SR","IDENTITY-REQ-044-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-045","The platform SHALL monitor enrollment failures, invitation failures, recovery abuse, unusual privilege changes, session revocations, and cross-tenant access denials without exposing sensitive data in logs.","SRC-009;SRC-010;SRC-011","IDENTITY-REQ-045-AC-SR","IDENTITY-REQ-045-DOC-POS-SR","IDENTITY-REQ-045-DOC-NEG-SR","IDENTITY-REQ-045-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Identity","IDENTITY-REQ-046","Every first-user enrollment requirement SHALL map to an acceptance criterion, positive test, negative or abuse test where applicable, and preserved evidence.","SRC-002;SRC-016","IDENTITY-REQ-046-AC-SR","IDENTITY-REQ-046-DOC-POS-SR","IDENTITY-REQ-046-DOC-NEG-SR","IDENTITY-REQ-046-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-002","A relationship SHALL NOT be inferred solely from a role label, account, email, payment, invoice, possession, profile creation, task assignment, or UI placement.","REL-SRC-003;REL-SRC-004","REL-REQ-002-AC-SR","REL-REQ-002-DOC-POS-SR","REL-REQ-002-DOC-NEG-SR","REL-REQ-002-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-004","The system SHALL distinguish asserted, provisional, verified, active, suspended, disputed, ended, superseded, and archived relationship states.","REL-SRC-003;REL-SRC-010","REL-REQ-004-AC-SR","REL-REQ-004-DOC-POS-SR","REL-REQ-004-DOC-NEG-SR","REL-REQ-004-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-005","A relationship record SHALL preserve effective time, recorded time, created-by actor, source, confidence or verification, and supersession history.","REL-SRC-003;REL-SRC-011;REL-SRC-014","REL-REQ-005-AC-SR","REL-REQ-005-DOC-POS-SR","REL-REQ-005-DOC-NEG-SR","REL-REQ-005-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-006","Relationship state SHALL NOT itself bypass authorization evaluation or create unrestricted access.","REL-SRC-004;REL-SRC-007","REL-REQ-006-AC-SR","REL-REQ-006-DOC-POS-SR","REL-REQ-006-DOC-NEG-SR","REL-REQ-006-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-008","The system SHALL distinguish organization, tenant, facility, location, program, and colloquial barn contexts.","REL-SRC-003","REL-REQ-008-AC-SR","REL-REQ-008-DOC-POS-SR","REL-REQ-008-DOC-NEG-SR","REL-REQ-008-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-009","One organization MAY operate multiple programs, facilities, or locations without automatically creating separate tenants.","REL-SRC-003","REL-REQ-009-AC-SR","REL-REQ-009-DOC-POS-SR","REL-REQ-009-DOC-NEG-SR","REL-REQ-009-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-011","Person-to-organization relationships SHALL identify role context, employment or contractor status, facility scope, horse scope, start/end dates, manager where applicable, and offboarding policy.","REL-SRC-003","REL-REQ-011-AC-SR","REL-REQ-011-DOC-POS-SR","REL-REQ-011-DOC-NEG-SR","REL-REQ-011-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-013","Person-to-horse relationships SHALL distinguish ownership, co-ownership, lease, custody, training, riding, care, provider, emergency, and historical relationships.","REL-SRC-003;REL-SRC-012","REL-REQ-013-AC-SR","REL-REQ-013-DOC-POS-SR","REL-REQ-013-DOC-NEG-SR","REL-REQ-013-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-014","Creating or importing a horse record SHALL NOT establish ownership, custody, possession, or care authority.","REL-SRC-003;REL-SRC-012","REL-REQ-014-AC-SR","REL-REQ-014-DOC-POS-SR","REL-REQ-014-DOC-NEG-SR","REL-REQ-014-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-015","Current possession, boarding location, payment, or record stewardship SHALL NOT independently establish legal ownership.","REL-SRC-003;REL-SRC-012","REL-REQ-015-AC-SR","REL-REQ-015-DOC-POS-SR","REL-REQ-015-DOC-NEG-SR","REL-REQ-015-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-017","Care Circle participation SHALL be distinct from ownership, custody, guardianship, medical authority, financial responsibility, and universal record access.","REL-SRC-003","REL-REQ-017-AC-SR","REL-REQ-017-DOC-POS-SR","REL-REQ-017-DOC-NEG-SR","REL-REQ-017-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-018","Emergency-contact relationships SHALL grant notification priority only unless a separate authority basis exists.","REL-SRC-003","REL-REQ-018-AC-SR","REL-REQ-018-DOC-POS-SR","REL-REQ-018-DOC-NEG-SR","REL-REQ-018-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-019","Guardian relationships SHALL support multiple guardians with independent scopes, restrictions, effective periods, documentary evidence, conflicts, and continuing-guardianship exceptions.","REL-SRC-003;REL-SRC-009","REL-REQ-019-AC-SR","REL-REQ-019-DOC-POS-SR","REL-REQ-019-DOC-NEG-SR","REL-REQ-019-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-020","Payment responsibility SHALL NOT establish guardian authority, custody, consent capacity, or general record access.","REL-SRC-003;REL-SRC-009","REL-REQ-020-AC-SR","REL-REQ-020-DOC-POS-SR","REL-REQ-020-DOC-NEG-SR","REL-REQ-020-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-021","Protected-participant rules MAY narrow or prohibit a relationship or delegation even when the relationship otherwise exists.","REL-SRC-004;REL-SRC-009","REL-REQ-021-AC-SR","REL-REQ-021-DOC-POS-SR","REL-REQ-021-DOC-NEG-SR","REL-REQ-021-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-026","A delegate SHALL NOT receive more authority than the delegator currently holds.","REL-SRC-003;REL-SRC-007","REL-REQ-026-AC-SR","REL-REQ-026-DOC-POS-SR","REL-REQ-026-DOC-NEG-SR","REL-REQ-026-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-027","Delegation SHALL be limited by approved action registry, subject, horse, organization, facility, record, purpose, financial limit, effective start, and effective end as applicable.","REL-SRC-003","REL-REQ-027-AC-SR","REL-REQ-027-DOC-POS-SR","REL-REQ-027-DOC-NEG-SR","REL-REQ-027-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-028","Delegation SHALL end or be suspended when its source authority ends, is suspended, expires, or becomes disputed unless an approved independent basis exists.","REL-SRC-003;REL-SRC-007","REL-REQ-028-AC-SR","REL-REQ-028-DOC-POS-SR","REL-REQ-028-DOC-NEG-SR","REL-REQ-028-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-029","Redelegation SHALL be prohibited by default and permitted only through an explicit governed rule with a bounded limit.","REL-SRC-003","REL-REQ-029-AC-SR","REL-REQ-029-DOC-POS-SR","REL-REQ-029-DOC-NEG-SR","REL-REQ-029-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-030","Shared credentials SHALL NOT be used as a substitute for delegation.","REL-SRC-003;REL-SRC-006","REL-REQ-030-AC-SR","REL-REQ-030-DOC-POS-SR","REL-REQ-030-DOC-NEG-SR","REL-REQ-030-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-031","Delegation SHALL NOT expose unrelated records or create general horse-record, medical, custody, financial, or administrative authority.","REL-SRC-003;REL-SRC-004","REL-REQ-031-AC-SR","REL-REQ-031-DOC-POS-SR","REL-REQ-031-DOC-NEG-SR","REL-REQ-031-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-032","Delegate identity verification and acceptance SHALL be required before activation where the delegation creates duties, access, safety obligations, financial limits, or protected-participant interaction.","REL-SRC-003;REL-SRC-006;REL-SRC-009","REL-REQ-032-AC-SR","REL-REQ-032-DOC-POS-SR","REL-REQ-032-DOC-NEG-SR","REL-REQ-032-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-033","Delegation revocation SHALL be effective-dated, attributable, auditable, and propagated to authorization, sessions, offline state, integrations, exports, and dependent delegations as applicable.","REL-SRC-004;REL-SRC-007;REL-SRC-014","REL-REQ-033-AC-SR","REL-REQ-033-DOC-POS-SR","REL-REQ-033-DOC-NEG-SR","REL-REQ-033-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-034","Relationship invitations and claims SHALL remain provisional until required identity, agreement, evidence, and authority checks complete.","REL-SRC-006;REL-SRC-008;REL-SRC-015","REL-REQ-034-AC-SR","REL-REQ-034-DOC-POS-SR","REL-REQ-034-DOC-NEG-SR","REL-REQ-034-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-037","Multiple concurrent relationships SHALL be preserved when scopes differ or authority is shared.","REL-SRC-003","REL-REQ-037-AC-SR","REL-REQ-037-DOC-POS-SR","REL-REQ-037-DOC-NEG-SR","REL-REQ-037-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-038","Conflicting relationship assertions SHALL be visibly classified and routed to controlled review rather than resolved by last-write-wins behavior.","REL-SRC-003;REL-SRC-010","REL-REQ-038-AC-SR","REL-REQ-038-DOC-POS-SR","REL-REQ-038-DOC-NEG-SR","REL-REQ-038-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-039","A challenge SHALL NOT automatically establish the challenger's claimed relationship or suspend necessary protective controls.","REL-SRC-004;REL-SRC-010","REL-REQ-039-AC-SR","REL-REQ-039-DOC-POS-SR","REL-REQ-039-DOC-NEG-SR","REL-REQ-039-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
"Relationships","REL-REQ-040","Temporary protective restrictions SHALL be separable from final relationship adjudication and shall be time-limited, reviewable, attributable, and minimum necessary.","REL-SRC-009;REL-SRC-010","REL-REQ-040-AC-SR","REL-REQ-040-DOC-POS-SR","REL-REQ-040-DOC-NEG-SR","REL-REQ-040-FRESH-REVIEW-EVIDENCE","LINK_CREATED_EVIDENCE_NOT_EXECUTED_PENDING_FRESH_REVIEW"
