consolidated_finding_id,source_reviewer,source_finding_id,original_severity,package_version_reviewed,exact_affected_path,affected_row_field_symbol_or_template,plain_language_explanation,verification_method,current_repository_status,disposition,remediation_performed,validation_evidence,residual_risk,founder_action_required,closure_authority,closure_status
F-06,Perplexity/Cursor,F-06,S1,Round 3 Part B and final-draft successor,VALIDATION_RESULTS,See source review and final validator evidence,Validation evidence is regenerated for final branch/package bytes.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Validation evidence is regenerated for final branch/package bytes.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-07,Perplexity/Cursor,F-07,S2,Round 3 Part B and final-draft successor,FOUNDER_DECISION_PACKET,See source review and final validator evidence,All Founder decisions remain NO_DISPOSITION_SELECTED.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,All Founder decisions remain NO_DISPOSITION_SELECTED.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-08,Perplexity/Cursor,F-08,S2,Round 3 Part B and final-draft successor,FOUNDER_DECISION_PACKET,See source review and final validator evidence,Recommendations are separated from Founder dispositions.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Recommendations are separated from Founder dispositions.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-09,Perplexity/Cursor,F-09,S2,Round 3 Part B and final-draft successor,FOUNDER_DECISION_PACKET,See source review and final validator evidence,"Decision wording is byte-identical across CSV, JSON, Markdown, and brief addendum.",Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,"Decision wording is byte-identical across CSV, JSON, Markdown, and brief addendum.",VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-10,Perplexity/Cursor,F-10,S2,Round 3 Part B and final-draft successor,08_SOURCE_RECONCILIATION,See source review and final validator evidence,Duplicate-cluster FK checks remain enforced.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Duplicate-cluster FK checks remain enforced.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-11,Perplexity/Cursor,F-11,S2,Round 3 Part B and final-draft successor,08_SOURCE_RECONCILIATION,See source review and final validator evidence,Dashboard arithmetic checks remain enforced.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Dashboard arithmetic checks remain enforced.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-12,Perplexity/Cursor,F-12,S2,Round 3 Part B and final-draft successor,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS,See source review and final validator evidence,Schema examples are separated; some legacy rows remain retained with explicit limitation.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,PARTIALLY_REMEDIATED,Schema examples are separated; some legacy rows remain retained with explicit limitation.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,External attestation and Founder decisions remain unavailable,YES,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,RETAINED_OPEN_OR_LIMITED
F-13,Perplexity/Cursor,F-13,S2,Round 3 Part B and final-draft successor,03_IMPLEMENTATION_TRACEABILITY,See source review and final validator evidence,"Traceability metrics remain separated by candidate, located, verified, and executed states.",Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,"Traceability metrics remain separated by candidate, located, verified, and executed states.",VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-14,Perplexity/Cursor,F-14,S2,Round 3 Part B and final-draft successor,03_IMPLEMENTATION_TRACEABILITY,See source review and final validator evidence,Test IDs do not overclaim verification where locators are absent.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Test IDs do not overclaim verification where locators are absent.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-15,Perplexity/Cursor,F-15,S2,Round 3 Part B and final-draft successor,04_AUTHORITY_LIFECYCLE_REGISTER,See source review and final validator evidence,Reject and remediation outcomes are in the exact 13-state lifecycle.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Reject and remediation outcomes are in the exact 13-state lifecycle.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-16,Perplexity/Cursor,F-16,S1,Round 3 Part B and final-draft successor,VALIDATION/validate_final_draft.py,See source review and final validator evidence,Per-document semantics and negative tests added.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Per-document semantics and negative tests added.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
