branch,remote_ref,head,base_branch,ancestor_of_protected,current_state
codex/cgp-006-iwp-0002-post-merge-correction-v1,origin/codex/cgp-006-iwp-0002-post-merge-correction-v1,4c144c08be7e4c25910694186972a91d2302fbb3,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-pr62-documentary-baseline-post-merge-custody-v1,origin/codex/cgp-006-pr62-documentary-baseline-post-merge-custody-v1,aab66e033dcc2920db0ba858037077f1a0977cef,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-repository-hygiene-dependency-ci-assurance-review-v1,origin/codex/cgp-006-repository-hygiene-dependency-ci-assurance-review-v1,5c4a1b065d33064905f937b98cd938a6a7d33101,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-repository-hygiene-founder-review-disposition-v1,origin/codex/cgp-006-repository-hygiene-founder-review-disposition-v1,f63415214b55b475d5a00b546337aff51140ff12,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/cgp-006-repository-specific-implementation-mapping-current-state-gap-audit-v1,origin/codex/cgp-006-repository-specific-implementation-mapping-current-state-gap-audit-v1,e61912b673da65556767cd8fb463c9d86debe5ff,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-solo-founder-assurance-profile-stage24-readiness-v1,origin/codex/cgp-006-solo-founder-assurance-profile-stage24-readiness-v1,57438d1d032b6c34ebe882be22e07ef938d1fb37,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-stage24-profile-activation-custody-v1,origin/codex/cgp-006-stage24-profile-activation-custody-v1,0ab2446dc9bd87a692927ed3004549e854941476,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-v1-1-post-custody-closeout-v1,origin/codex/cgp-006-v1-1-post-custody-closeout-v1,a32053f96a6b297ef7b16241493d15b60f3f0fd0,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-v1-1-program-revision-pr44-successor-v1,origin/codex/cgp-006-v1-1-program-revision-pr44-successor-v1,5d73078c9a2b28022a934761bb00b1a0d34addcf,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-v1-1-program-revision-successor-custody-v1,origin/codex/cgp-006-v1-1-program-revision-successor-custody-v1,85c0b2c2d745f9d39540c0f7592e8b71edd70d4d,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave-1-activation-evidence-planning-v1,origin/codex/cgp-006-wave-1-activation-evidence-planning-v1,f94c26188e8d35c413b366135df12057b58c2d7d,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/cgp-006-wave-1-adoption-custody-v1,origin/codex/cgp-006-wave-1-adoption-custody-v1,f25343a3f12eef0b5923c1bece3460d2cae9563b,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave-1-adoption-readiness-review-v1,origin/codex/cgp-006-wave-1-adoption-readiness-review-v1,83d8e3af9afa50a55af4b679016c2568c6d3c61d,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave-1-candidate-baseline-custody-receipt,origin/codex/cgp-006-wave-1-candidate-baseline-custody-receipt,8a3b4f14bd4e69f3aac7622f7db6203e916b56e3,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave-1-candidate-baseline-metadata-reconciliation,origin/codex/cgp-006-wave-1-candidate-baseline-metadata-reconciliation,195d7c531d01aac60fbfceaf727ee206e018fee8,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave-1-candidate-drafting-v1,origin/codex/cgp-006-wave-1-candidate-drafting-v1,92cde1bdab45a9b21f5e7179b5d4433555e61298,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave-1-warning-gap-closure-custody-receipt,origin/codex/cgp-006-wave-1-warning-gap-closure-custody-receipt,aa739de76c827611017ed72b2d5b9f07f1098408,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave-1-warning-gap-closure-metadata-reconciliation,origin/codex/cgp-006-wave-1-warning-gap-closure-metadata-reconciliation,85b44a9d7e96534b0d62eff9bd8a3afd2533a310,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave-1-warning-gap-disposition-v1,origin/codex/cgp-006-wave-1-warning-gap-disposition-v1,94abd4b5648313e0bb57ba26fdc0d17f014fa8b1,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave1-v1-1-adoption-authority-reconciliation-custody-v1,origin/codex/cgp-006-wave1-v1-1-adoption-authority-reconciliation-custody-v1,305266a61e76d4cffe3b287a052525188d96274a,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave1-v1-1-adoption-authority-reconciliation-v1,origin/codex/cgp-006-wave1-v1-1-adoption-authority-reconciliation-v1,5901f99340f9b9e664ab40fef03fccc3e3672eef,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave1-v1-1-guide-completion-adoption-candidate-v1,origin/codex/cgp-006-wave1-v1-1-guide-completion-adoption-candidate-v1,d33105fb8ac08f7d8b82beaee12f769f6312e713,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave1-v1-1-post-custody-status-table-correction-v1,origin/codex/cgp-006-wave1-v1-1-post-custody-status-table-correction-v1,077e00255a87349b76134aad27a83899a52e39ef,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp-006-wave1-v1-1-stage22-adoption-stage23-custody-v1,origin/codex/cgp-006-wave1-v1-1-stage22-adoption-stage23-custody-v1,fe82f6f2d2afc808a9006297b631a1966202dc5a,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp005-technical-audit-appendix-metadata-v1,origin/codex/cgp005-technical-audit-appendix-metadata-v1,ba684d2bc7893cdbd5c110511d27bfa0f6c32570,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp005-technical-audit-appendix-receipt-v1,origin/codex/cgp005-technical-audit-appendix-receipt-v1,8832f7508af824c204b74adee96bcb6665fcf871,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp005-technical-audit-appendix-v1,origin/codex/cgp005-technical-audit-appendix-v1,2b882a98aa0b3f3e3ddf8a6756618fdb761466dc,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp006-gap0005-closure-plan-custody-integrity-correction-v1,origin/codex/cgp006-gap0005-closure-plan-custody-integrity-correction-v1,7eb248ff6ec51d5d345f30dade02c6076ea130a2,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp006-gap0005-closure-plan-custody-refresh-v2,origin/codex/cgp006-gap0005-closure-plan-custody-refresh-v2,7923296b51f1b07d9fc8a473b8076be006f3e863,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp006-gap0005-closure-plan-v1-1-accession,origin/codex/cgp006-gap0005-closure-plan-v1-1-accession,016accf4d6eb35ef2e436bcf26330c5a050dddd8,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp006-gap0005-closure-plan-v1-1-custody,origin/codex/cgp006-gap0005-closure-plan-v1-1-custody,e1585d9c476462c031fd5cb394f64e1dc9bb92e7,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/cgp006-gap0005-refresh-boundary-validator-fix-v1,origin/codex/cgp006-gap0005-refresh-boundary-validator-fix-v1,a28fef16a5f51563ea3a624044125a81af4d5032,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/ci-assurance-reporting-and-monitoring-v1,origin/codex/ci-assurance-reporting-and-monitoring-v1,76842397debf37780bea850933b1102779e2b502,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/ci-egress-runner-verification-20260712,origin/codex/ci-egress-runner-verification-20260712,d93ed30b3650118016ca17fc24754b743ba97dcb,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/code-guide-cgp-006-metadata-finalization-v1,origin/codex/code-guide-cgp-006-metadata-finalization-v1,3351e8aa7c66dc852f62f37e7f3cd2e0f72df4e8,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-cgp-006-repository-receipt-v1,origin/codex/code-guide-cgp-006-repository-receipt-v1,747b59a92521faf4b0240e300b7ab1af1e230623,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-controlled-initiation-cgp-006-v1,origin/codex/code-guide-controlled-initiation-cgp-006-v1,434c2e252c91ec52de95d2e9c0d03b7367033bcf,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-current-state-assessment-cgp-004-v1,origin/codex/code-guide-current-state-assessment-cgp-004-v1,ba47e8e73e7404c10828b79849c017f77302b480,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-master-source-inventory-cgp-003-v1,origin/codex/code-guide-master-source-inventory-cgp-003-v1,9c1a428695cd8a93f76558097e10053f0f1f26fb,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-program-foundation-cgp-002-v1,origin/codex/code-guide-program-foundation-cgp-002-v1,39328f98cd78376be2c1dff30f59d1b79e3144b7,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-program-initialization-v1,origin/codex/code-guide-program-initialization-v1,b3971a49727340824d023a0a67e9914f24bcc8a6,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-program-plan-v1-1-accession-v1,origin/codex/code-guide-program-plan-v1-1-accession-v1,e2e8f40f92fc4ed90f11a2062da0511b7012b064,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-program-plan-v1-1-custody-receipt-v1,origin/codex/code-guide-program-plan-v1-1-custody-receipt-v1,c9674ac32993ebd431330ee7202e7c1f6f2a9f0a,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-program-v1-1-reconciliation-custody-receipt-v1,origin/codex/code-guide-program-v1-1-reconciliation-custody-receipt-v1,40b570cb54eaab0d2ac49a802f2e22e926e83bbb,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-program-v1-1-reconciliation-v1,origin/codex/code-guide-program-v1-1-reconciliation-v1,cfa8e52f7e879703aada8adb82f0d8d9202a7728,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/code-guide-wave-1-source-freeze-cgp-005-v1,origin/codex/code-guide-wave-1-source-freeze-cgp-005-v1,71ed7f21132cb8f5f7a8e2c2070cc284dc37b64d,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/core-navigation-visual-system-pia-founder-approved-v1,origin/codex/core-navigation-visual-system-pia-founder-approved-v1,40ad3ae6c5961bc81da4a98c21025215033c15bd,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/deployment-control-closure-record-v1,origin/codex/deployment-control-closure-record-v1,ea632b339516e6e9a08a2b0c277ab0cedc9222b0,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/document-authority-classification-framework-v1,origin/codex/document-authority-classification-framework-v1,209125157fd0c2fe570430ee8d5c763e1ff1e263,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/es-ta-prf-001-cross-barn-authorization-v1,origin/codex/es-ta-prf-001-cross-barn-authorization-v1,9e22cb156bf7b4c2bceefd7a2b06b8c4248488a0,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/es-ta-prf-008-retained-test-classification-v1,origin/codex/es-ta-prf-008-retained-test-classification-v1,4d9c6380af3e33be96960a4205e6c2345ec1d6c2,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/facility-pia-founder-decisions-and-structured-review-v1,origin/codex/facility-pia-founder-decisions-and-structured-review-v1,56b0a88722d983e05baec0d3b1ea5b7b88c24001,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/facility-pia-founder-decisions-v1,origin/codex/facility-pia-founder-decisions-v1,de7b0166a440673d023160ed7c3af214d49cd40f,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/facility-pia-r2-compliant-structured-review-v1,origin/codex/facility-pia-r2-compliant-structured-review-v1,5e549056ee25fd1992846bbd6fedaba4329ab668,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/facility-pia-valid-fresh-segregated-review-v1,origin/codex/facility-pia-valid-fresh-segregated-review-v1,1741ab394e4b23c5ec85a71483d90ea1d95b6863,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/facility-tenant-organizational-structure-pia-v1,origin/codex/facility-tenant-organizational-structure-pia-v1,a5cf78295ad43cde7f73e383b3d5e98a11000382,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/founder-review-phase1-operating-model-v1,origin/codex/founder-review-phase1-operating-model-v1,6565c87f2d2a1499ecd7f6efd83fbbbb67aeb29b,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/founder-review-phase1-pilot-a-mode-b-attempt-03-v1,origin/codex/founder-review-phase1-pilot-a-mode-b-attempt-03-v1,34c427c0196d3f8273ac3ea88ad05a2bbe5a2c29,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/founder-review-phase1-pilot-a-mode-b-attempt-04-founder-disposition-v1,origin/codex/founder-review-phase1-pilot-a-mode-b-attempt-04-founder-disposition-v1,0255271b704cf630b871683128659d2d66e42f50,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/founder-review-phase1-pilot-a-mode-b-attempt-04-v1,origin/codex/founder-review-phase1-pilot-a-mode-b-attempt-04-v1,ebd6a1ed18a2231b450e7bbfb58035198bfcb93c,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/governance-portfolio-scope-taxonomy-closure-maintenance-standard-v1,origin/codex/governance-portfolio-scope-taxonomy-closure-maintenance-standard-v1,95672eac54ae1be715e8c612c712506661e1df03,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/item-03-founder-decisions-strengthened-candidate-v1,origin/codex/item-03-founder-decisions-strengthened-candidate-v1,da10e2f729bc5d98d6087ef846e3e6449557898f,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/item-04-founder-approved-v0-3-documentary-integration-v1,origin/codex/item-04-founder-approved-v0-3-documentary-integration-v1,0eba16c8bf9670933a714634c6941446fa4fbcd2,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/item-05-core-navigation-shell-v0-4-exact-byte-integration-v1,origin/codex/item-05-core-navigation-shell-v0-4-exact-byte-integration-v1,458b5156859492773d014095e1c698a5df1da650,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/item-05-core-navigation-shell-v0-4-fresh-review-blocked-receipt-v1,origin/codex/item-05-core-navigation-shell-v0-4-fresh-review-blocked-receipt-v1,f2a0be100bf2f400388ccc36d3aa5facc9367a3e,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/item-06-tcsn-pia-canonical-remediation-fresh-review-v1,origin/codex/item-06-tcsn-pia-canonical-remediation-fresh-review-v1,108e015cfc3cfdb6b07f40023b8e98c33f183f4d,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/item-06-tcsn-pia-fresh-structured-review-v1,origin/codex/item-06-tcsn-pia-fresh-structured-review-v1,9e1041e64d5aa20282ef093fc520f84feb02c3f3,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/master-product-feature-governance-coverage-matrix-v1,origin/codex/master-product-feature-governance-coverage-matrix-v1,161917c7ab00312c4b389349c7851d79a1b1b5d6,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/pia-items-01-06-item10-documentary-remediation-v1,origin/codex/pia-items-01-06-item10-documentary-remediation-v1,9ffd0d29a6edb6e9995206905477b0c557529a98,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/pia-items-07-10-documentary-integration-v1,origin/codex/pia-items-07-10-documentary-integration-v1,1b897a844da048cf978366685843a2b9ca7f2d52,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/remaining-pia-program-v1,origin/codex/remaining-pia-program-v1,05eaa53be3e5e6aa00814eaeee49f145b3bc6c49,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/repository-hygiene-docs-metadata-v1,origin/codex/repository-hygiene-docs-metadata-v1,2183e438166d6de59a27083c73b52ff0fd2b1406,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/security-legacy-stripe-webhook-fail-closed-v1,origin/codex/security-legacy-stripe-webhook-fail-closed-v1,0baff5aaf43633b812c26bf3abc7f7a737662016,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
codex/stage2-f0001-execution-baseline,origin/codex/stage2-f0001-execution-baseline,0be6172a28b75238c5facabf91d43ed09aaf0d54,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/stage2a-execution-foundation-remediation,origin/codex/stage2a-execution-foundation-remediation,56dc68ce761b84800caa60997af7fb62ab34f82d,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/stripe-sandbox-catalog-assurance-v1,origin/codex/stripe-sandbox-catalog-assurance-v1,e502d0065143eaf19e20e95cd2c21c4c065fe726,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
codex/technical-audit-founder-decisions-approved-v1-1,origin/codex/technical-audit-founder-decisions-approved-v1-1,705ff70f8f5156e16ad86838d196f249bcd15260,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
cursor/bugbot-findings-report-ab05,origin/cursor/bugbot-findings-report-ab05,dd0b69d5f796ec479dc53e860f2acda1e096ff87,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
export/governance-implementation-atlases-2026-07-25,origin/export/governance-implementation-atlases-2026-07-25,c5f433c7adf87feedcda29e6cf2a4532c62a7e5d,integrate-emergent-final-zip,FALSE,UNMERGED_BRANCH
integrate-emergent-final-zip,origin/integrate-emergent-final-zip,1eb384d80daa700ba2e71ee42872cc9bba926332,SELF,TRUE,PROTECTED_BRANCH
release/production,origin/release/production,92e9ccae8695aa523181b4cfe60e554e6c5245bd,integrate-emergent-final-zip,TRUE,MERGED_OR_ANCESTOR
