requirement_id,section_number,section_title,evidence_rule,mandatory_validation,closure_criterion,prohibited_overclaim
T1D10-REQ-012,12,Mandatory validations,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-013,13,Reviewer independence,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-014,14,Role-segregation disclosure,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-015,15,Conflict handling,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-016,16,Finding classification,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-017,17,Risk and waiver treatment,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-018,18,Founder certification treatment,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-019,19,Historical-evidence exception treatment,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-020,20,Test-waiver treatment,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-021,21,Pilot-evidence substitution treatment,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-022,22,Required closing exhibits,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-023,23,Audit determination vocabulary,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-024,24,Founder ratification,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-025,25,Adoption treatment,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-026,26,Accession treatment,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-027,27,Custody treatment,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-028,28,Reopening triggers,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-029,29,Prohibited overclaims,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-030,30,Certificate limitations,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
T1D10-REQ-031,31,Maintenance and recertification,"Exact source, scope, reviewer, authority, and limitation evidence required.",TRUE,"Section completed, evidence indexed, limitations stated, and authority boundary preserved.",Do not certify excluded lifecycle states.
