cluster_id,source_path,preferred_canonical_representation,exact_byte_identity,counterpart_or_derivative,content_differs,controlling_version,archive_treatment,other_copies_usable
T1R2-SRC-CLUSTER-005,docs/canon/candidates/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-006,docs/canon/MASTER_FACILITY_DOMAIN_MODEL.md,docs/canon/MASTER_FACILITY_DOMAIN_MODEL.md,YES,exact duplicate,NO,VERSION_NOT_DECLARED,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-006,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_014/current_repository_source/MASTER_FACILITY_DOMAIN_MODEL.md,docs/canon/MASTER_FACILITY_DOMAIN_MODEL.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-007,docs/canon/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1.md,docs/canon/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1.md,YES,exact duplicate,NO,V2.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-007,docs/canon/history/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1_FOUNDER_APPROVED_SOURCE.md,docs/canon/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1.md,YES,exact duplicate,NO,V2.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-008,docs/canon/MASTER_HORSE_LIFECYCLE.md,docs/canon/MASTER_HORSE_LIFECYCLE.md,YES,exact duplicate,NO,VERSION_NOT_DECLARED,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-008,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_012/current_repository_source/MASTER_HORSE_LIFECYCLE.md,docs/canon/MASTER_HORSE_LIFECYCLE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-009,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-009,docs/canon/candidates/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-010,docs/canon/MASTER_PERMISSION_MODEL.md,docs/canon/MASTER_PERMISSION_MODEL.md,YES,exact duplicate,NO,VERSION_NOT_DECLARED,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-010,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_022/current_repository_source/MASTER_PERMISSION_MODEL.md,docs/canon/MASTER_PERMISSION_MODEL.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-011,docs/canon/MASTER_PRODUCT_VISION.md,docs/canon/MASTER_PRODUCT_VISION.md,YES,exact duplicate,NO,VERSION_NOT_DECLARED,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-011,docs/canon/history/master_product_vision_v2_0/MASTER_PRODUCT_VISION_V2_0_HISTORICAL_PREDECESSOR.md,docs/canon/MASTER_PRODUCT_VISION.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-011,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_004/current_repository_source/MASTER_PRODUCT_VISION.md,docs/canon/MASTER_PRODUCT_VISION.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-012,docs/canon/MASTER_PRODUCT_VISION.pdf,docs/canon/MASTER_PRODUCT_VISION.pdf,YES,exact duplicate,NO,VERSION_NOT_DECLARED,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-012,docs/canon/history/master_product_vision_v2_0/MASTER_PRODUCT_VISION_V2_0_HISTORICAL_PREDECESSOR.pdf,docs/canon/MASTER_PRODUCT_VISION.pdf,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-013,docs/canon/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1.md,docs/canon/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1.md,YES,exact duplicate,NO,V2.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-013,docs/canon/adopted_sources/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_ADOPTED_SOURCE.md,docs/canon/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1.md,YES,exact duplicate,NO,V2.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-014,docs/canon/adopted_sources/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-014,docs/canon/candidates/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_FOUNDER_APPROVED.md,docs/canon/adopted_sources/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-015,docs/canon/adopted_sources/MASTER_BARN_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_BARN_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V3.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-015,docs/canon/reviews/foundational_canon_source_certification_v1_0/source_event/six_reviewed_candidates/MASTER_BARN_LIFECYCLE_V3_1_REVIEWED_CANDIDATE.md,docs/canon/adopted_sources/MASTER_BARN_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-016,docs/canon/adopted_sources/MASTER_BUSINESS_LIFECYCLE_V2_1_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_BUSINESS_LIFECYCLE_V2_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-016,docs/canon/reviews/foundational_canon_source_certification_v1_0/source_event/six_reviewed_candidates/MASTER_BUSINESS_LIFECYCLE_V2_1_REVIEWED_CANDIDATE.md,docs/canon/adopted_sources/MASTER_BUSINESS_LIFECYCLE_V2_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-017,docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-017,docs/canon/intake/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_FOUNDER_SOURCE.md,docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-017,docs/canon/reviews/foundational_canon_source_certification_v1_0/source_event/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_FOUNDER_CERTIFIED_SOURCE.md,docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-017,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_028/recovered_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_FOUNDER_SOURCE.md,docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-018,docs/canon/adopted_sources/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-018,docs/canon/candidates/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_FOUNDER_APPROVED.md,docs/canon/adopted_sources/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-019,docs/canon/adopted_sources/MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-019,docs/canon/founder_approved_sources/MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0_FOUNDER_APPROVED.md,docs/canon/adopted_sources/MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-020,docs/canon/adopted_sources/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-020,docs/canon/candidates/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0.md,docs/canon/adopted_sources/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-021,docs/canon/adopted_sources/MASTER_DEVELOPER_PLATFORM_AND_INTEGRATION_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_DEVELOPER_PLATFORM_AND_INTEGRATION_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-021,docs/canon/founder_approved_sources/MASTER_DEVELOPER_PLATFORM_AND_INTEGRATION_GOVERNANCE_MODEL_V2_0_FOUNDER_APPROVED.md,docs/canon/adopted_sources/MASTER_DEVELOPER_PLATFORM_AND_INTEGRATION_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-022,docs/canon/adopted_sources/MASTER_ECOSYSTEM_MODEL_V2_1_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_ECOSYSTEM_MODEL_V2_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-022,docs/canon/reviews/foundational_canon_source_certification_v1_0/source_event/six_reviewed_candidates/MASTER_ECOSYSTEM_MODEL_V2_1_REVIEWED_CANDIDATE.md,docs/canon/adopted_sources/MASTER_ECOSYSTEM_MODEL_V2_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-023,docs/canon/adopted_sources/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_1_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-023,docs/canon/candidates/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_1_RECONCILED_ADOPTION_CANDIDATE.md,docs/canon/adopted_sources/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-024,docs/canon/adopted_sources/MASTER_FACILITY_DOMAIN_MODEL_V2_1_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_FACILITY_DOMAIN_MODEL_V2_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-024,docs/canon/reviews/foundational_canon_source_certification_v1_0/source_event/six_reviewed_candidates/MASTER_FACILITY_DOMAIN_MODEL_V2_1_REVIEWED_CANDIDATE.md,docs/canon/adopted_sources/MASTER_FACILITY_DOMAIN_MODEL_V2_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-025,docs/canon/adopted_sources/MASTER_HORSE_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_HORSE_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V3.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-025,docs/canon/reviews/foundational_canon_source_certification_v1_0/source_event/six_reviewed_candidates/MASTER_HORSE_LIFECYCLE_V3_1_REVIEWED_CANDIDATE.md,docs/canon/adopted_sources/MASTER_HORSE_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-026,docs/canon/adopted_sources/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-026,docs/canon/reviews/stage0_companion_reconciliation_v1_2/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1.md,docs/canon/adopted_sources/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.2,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-027,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.2,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-027,docs/canon/candidates/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_CANDIDATE.md,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.2,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-028,docs/canon/adopted_sources/MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-028,docs/canon/reviews/c0_022_permission_v1_1_source_identity_confirmation/source_event/MASTER_PERMISSION_MODEL_V1_1_FOUNDER_CONFIRMED_CONTROLLING_SOURCE.md,docs/canon/adopted_sources/MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.1,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-028,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_022/recovered_sources/MASTER_PERMISSION_MODEL_V1_1.md,docs/canon/adopted_sources/MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-029,docs/canon/adopted_sources/MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-029,docs/canon/founder_approved_sources/MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_0_FOUNDER_APPROVED.md,docs/canon/adopted_sources/MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-030,docs/canon/adopted_sources/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-030,docs/canon/founder_approved_sources/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0_FOUNDER_APPROVED.md,docs/canon/adopted_sources/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-031,docs/canon/adopted_sources/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-031,docs/canon/candidates/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0.md,docs/canon/adopted_sources/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-032,docs/canon/adopted_sources/MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-032,docs/canon/founder_approved_sources/MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0_FOUNDER_APPROVED.md,docs/canon/adopted_sources/MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-033,docs/canon/adopted_sources/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE.md,docs/canon/adopted_sources/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0_ADOPTED_SOURCE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
