record_type,record_id,severity,classification,recorded_status,authorization_state,candidate_iwp,source_register,custody_statement
GAP,CGP006-MAP-GAP-0011,P2_MEDIUM,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,OPEN,NO_IMPLEMENTATION_AUTHORIZATION_REQUIRED_FOR_RECORD_ONLY,CGP006-IWP-CANDIDATE-0003,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0012,P2_MEDIUM,PARTIALLY_IMPLEMENTED,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0004,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0013,P2_MEDIUM,DOCUMENTATION_GAP,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0009,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0014,P2_MEDIUM,POLICY_DECISION_REQUIRED,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0010,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0015,P2_MEDIUM,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0011,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0016,P2_MEDIUM,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0012,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0017,P2_MEDIUM,UNVERIFIED_RISK_REQUIRES_EVIDENCE,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0013,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
GAP,CGP006-MAP-GAP-0018,P3_LOW,CONTEXT_DEPENDENT_REQUIRES_FOUNDER_DECISION,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-IWP-CANDIDATE-0015,CURRENT_STATE_GAP_REGISTER.csv,OPEN_STATE_PRESERVED
FINDING,CGP006-MAP-FIND-0001,P1_HIGH,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0002,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0002,P1_HIGH,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0003,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0003,P1_HIGH,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0004,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0004,P1_HIGH,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0005,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0005,P2_MEDIUM,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0004,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0006,P2_MEDIUM,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0006,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0007,P2_MEDIUM,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0007,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0008,P3_LOW,OPEN,OPEN,NO_IMPLEMENTATION_AUTHORIZATION_REQUIRED_FOR_OBSERVATION,CGP006-MAP-GAP-0008,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0009,P2_MEDIUM,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0013,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0010,P2_MEDIUM,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0014,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0011,P2_MEDIUM,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0015,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0012,P1_HIGH,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0011,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0013,P2_MEDIUM,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0016,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0014,OBSERVATION,OBSERVED_NOT_DEFECT,OBSERVED_NOT_DEFECT,IMPLEMENTATION_AUTHORIZATION_REQUIRED,NONE_OBSERVATION_ONLY,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0015,P2_MEDIUM,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0017,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
FINDING,CGP006-MAP-FIND-0016,P3_LOW,OPEN,OPEN,IMPLEMENTATION_AUTHORIZATION_REQUIRED,CGP006-MAP-GAP-0018,SECURITY_PRIVACY_AND_SAFEGUARDING_FINDINGS_REGISTER.csv,RECORDED_STATUS_PRESERVED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0001,LARGE,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0001,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0002,LARGE,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0002,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0003,MEDIUM,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0003,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0004,LARGE,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0004,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0005,MEDIUM,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0005,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0006,MEDIUM,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0006,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0007,MEDIUM,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0007,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0008,LARGE,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0008,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0009,SMALL,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0009,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0010,SMALL,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0010,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0011,MEDIUM,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0011,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0012,MEDIUM,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0012,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0013,MEDIUM,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0013,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0014,LARGE,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0014,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
IWP_CANDIDATE,CGP006-IWP-CANDIDATE-0015,SMALL,CANDIDATE_ONLY,IMPLEMENTATION_NOT_AUTHORIZED,IMPLEMENTATION_NOT_AUTHORIZED,CGP006-IWP-CANDIDATE-0015,IMPLEMENTATION_WORK_PACKAGE_CANDIDATE_BACKLOG.csv,IMPLEMENTATION_NOT_AUTHORIZED
