schema_inventory_id,data_store,collection_or_table,category,first_observed_evidence,static_reference_count,tenancy_or_owner_key_observed,index_or_constraint_evidence,migration_evidence,rls_or_equivalent_control,schema_definition_status,current_state_gap_ids
DATA-0011,MongoDB,digital_forms,feature_module_or_backlog,backend/routes/backlog.py:2094,4,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0012,MongoDB,document_requests,feature_module_or_backlog,backend/core/rf14_documents_signatures_storage_consolidation.py:114,1,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0013,MongoDB,emergency_contacts,feature_module_or_backlog,backend/routes/backlog.py:2200,1,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0014,MongoDB,emergency_workflows,feature_module_or_backlog,backend/routes/backlog.py:2201,1,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0015,MongoDB,events,audit_support_observability,backend/core/analytics.py:18,3,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0016,MongoDB,expenses,feature_module_or_backlog,backend/routes/backlog.py:1694,2,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0017,MongoDB,farrier_history,horse_care,backend/routes/service_provider_center.py:117,5,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0018,MongoDB,feed_tasks,feature_module_or_backlog,backend/routes/care.py:293,3,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0019,MongoDB,feed_templates,feature_module_or_backlog,backend/routes/onboarding.py:514,3,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0020,MongoDB,group_messages,safeguarding_communications,backend/routes/backlog.py:1772,2,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0021,MongoDB,guardian_links,safeguarding_communications,backend/core/minor_communication.py:229,4,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0022,MongoDB,health_documents,feature_module_or_backlog,backend/routes/backlog.py:2159,1,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0023,MongoDB,health_reminders,feature_module_or_backlog,backend/routes/backlog.py:1646,4,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0024,MongoDB,horse_care_profiles,horse_care,backend/core/lifespan.py:224,6,barn_id_or_account_id_observed,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0025,MongoDB,horse_daily_check_logs,horse_care,backend/core/lifespan.py:256,12,NOT_CONFIRMED_BY_STATIC_SCAN,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0026,MongoDB,horse_equipment,horse_care,backend/core/lifespan.py:227,7,barn_id_or_account_id_observed,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0027,MongoDB,horse_ledger_alert_events,horse_care,backend/core/lifespan.py:303,7,NOT_CONFIRMED_BY_STATIC_SCAN,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0028,MongoDB,horse_ledger_alerts,horse_care,backend/core/lifespan.py:278,21,NOT_CONFIRMED_BY_STATIC_SCAN,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0029,MongoDB,horse_ledger_audit,horse_care,backend/core/lifespan.py:342,6,NOT_CONFIRMED_BY_STATIC_SCAN,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0030,MongoDB,horse_owner_visibility_policy,horse_care,backend/core/lifespan.py:330,6,NOT_CONFIRMED_BY_STATIC_SCAN,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0031,MongoDB,horse_owner_visibility_templates,horse_care,backend/core/lifespan.py:337,4,NOT_CONFIRMED_BY_STATIC_SCAN,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0032,MongoDB,horse_provider_assignments,horse_care,backend/core/lifespan.py:232,7,NOT_CONFIRMED_BY_STATIC_SCAN,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0033,MongoDB,horses,horse_care,backend/core/provider_access.py:144,59,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0034,MongoDB,incidents,feature_module_or_backlog,backend/routes/dashboard.py:54,3,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0035,MongoDB,injuries,horse_care,backend/routes/care.py:356,3,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0036,MongoDB,injury_lameness_cases,feature_module_or_backlog,backend/routes/backlog.py:1953,1,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0037,MongoDB,inventory,feature_module_or_backlog,backend/core/rf6_canonical_systems_consolidation.py:114,5,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0038,MongoDB,invites,facility_onboarding,backend/routes/invites.py:79,27,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0039,MongoDB,invoices,billing_finance,backend/cleanup_test_invoices.py:56,22,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0040,MongoDB,lessons,feature_module_or_backlog,backend/routes/dashboard.py:55,4,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0041,MongoDB,locations,facility_onboarding,backend/routes/onboarding.py:496,3,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0042,MongoDB,login_attempts,identity_auth,backend/core/login_attempts.py:35,7,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0043,MongoDB,media,feature_module_or_backlog,backend/storage.py:256,4,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0044,MongoDB,medication_logs,horse_care,backend/routes/care.py:272,4,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0045,MongoDB,medications,horse_care,backend/routes/care.py:155,5,barn_id_or_account_id_observed,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0046,MongoDB,messages,safeguarding_communications,backend/routes/operations.py:217,1,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0047,MongoDB,notification_digest_log,tasks_notifications,backend/owner_digest.py:390,6,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0048,MongoDB,notification_preferences,tasks_notifications,backend/notifications.py:85,5,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0049,MongoDB,notifications,tasks_notifications,backend/notifications.py:121,7,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0050,MongoDB,onboarding_progress,feature_module_or_backlog,backend/routes/admin.py:92,22,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0051,MongoDB,owner_media_updates,feature_module_or_backlog,backend/routes/backlog.py:1802,3,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0052,MongoDB,owner_updates,feature_module_or_backlog,backend/core/rf6_canonical_systems_consolidation.py:128,23,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0053,MongoDB,owners,feature_module_or_backlog,backend/cleanup_test_invoices.py:45,8,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0054,MongoDB,pasture_schedules,feature_module_or_backlog,backend/routes/backlog.py:1499,1,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0055,MongoDB,payment_profiles,feature_module_or_backlog,backend/routes/backlog.py:1969,2,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0056,MongoDB,payment_transactions,billing_finance,backend/routes/membership.py:280,3,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0057,MongoDB,payments,billing_finance,backend/core/lifespan.py:201,3,NOT_CONFIRMED_BY_STATIC_SCAN,backend/core/lifespan.py,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0058,MongoDB,plans,billing_finance,backend/core/billing_provisioning.py:775,14,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0059,MongoDB,provider_visit_notes,feature_module_or_backlog,backend/routes/service_provider_center.py:118,3,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0060,MongoDB,qr_horse_ids,horse_care,backend/routes/backlog.py:1857,1,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0061,MongoDB,recurring_billing_rules,billing_finance,backend/routes/backlog.py:2255,1,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0062,MongoDB,recurring_charges,billing_finance,backend/routes/recurring_charges.py:226,11,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0063,MongoDB,recurring_schedules,feature_module_or_backlog,backend/routes/onboarding.py:556,2,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
DATA-0064,MongoDB,refresh_tokens,identity_auth,backend/auth_security.py:51,9,NOT_CONFIRMED_BY_STATIC_SCAN,embedded_in_routes_or_helpers_or_not_found_in_static_scan,NO_DEDICATED_MIGRATION_DIRECTORY_FOUND,APPLICATION_LEVEL_BARN_FILTER_OR_ROUTE_DEPENDENCY_WHERE_WIRED,DISTRIBUTED_IN_CODE_AND_DOCS,CGP006-MAP-GAP-0004
