requirement_id,guide_id,requirement_title,source_citation,normative_summary,current_state_classification,evidence_classification,repository_evidence_paths,implementation_evidence,verification_evidence,mapped_gap_ids,inference_or_limitation
ES-CG-10-CTRL-0001,ES-CG-10,Candidate Testing Layer Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-10/CONTROL_CATALOG.csv::ES-CG-10-CTRL-0001,"For the V1.1 draft adoption-candidate ES-CG-10 text, testing layer treatment must be applied only within the Testing, Verification, And Assurance candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,CI_OR_STATIC_ANALYSIS_EVIDENCE,.github/workflows/ci.yml;backend/tests/ci_known_failure_gate.py;backend/tests/ci_known_failure_baseline.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/validators/validate_repository_mapping_gap_audit.py;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/tests/test_repository_mapping_gap_audit.py,Existing CI and backend tests are present; this package adds only package-local validator/tests.,Package-local validator and pytest run; broader local backend/frontend execution blocked by missing prepared dependencies and no dependency install authority.,CGP006-MAP-GAP-0008;CGP006-MAP-GAP-0011,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-10-CTRL-0002,ES-CG-10,Candidate Verification Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-10/CONTROL_CATALOG.csv::ES-CG-10-CTRL-0002,"For the V1.1 draft adoption-candidate ES-CG-10 text, verification treatment must be applied only within the Testing, Verification, And Assurance candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,CI_OR_STATIC_ANALYSIS_EVIDENCE,.github/workflows/ci.yml;backend/tests/ci_known_failure_gate.py;backend/tests/ci_known_failure_baseline.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/validators/validate_repository_mapping_gap_audit.py;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/tests/test_repository_mapping_gap_audit.py,Existing CI and backend tests are present; this package adds only package-local validator/tests.,Package-local validator and pytest run; broader local backend/frontend execution blocked by missing prepared dependencies and no dependency install authority.,CGP006-MAP-GAP-0008;CGP006-MAP-GAP-0011,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-10-CTRL-0003,ES-CG-10,Candidate Assurance Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-10/CONTROL_CATALOG.csv::ES-CG-10-CTRL-0003,"For the V1.1 draft adoption-candidate ES-CG-10 text, assurance treatment must be applied only within the Testing, Verification, And Assurance candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",PARTIALLY_IMPLEMENTED,CI_OR_STATIC_ANALYSIS_EVIDENCE,.github/workflows/ci.yml;backend/tests/ci_known_failure_gate.py;backend/tests/ci_known_failure_baseline.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/validators/validate_repository_mapping_gap_audit.py;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/tests/test_repository_mapping_gap_audit.py,Existing CI and backend tests are present; this package adds only package-local validator/tests.,Package-local validator and pytest run; broader local backend/frontend execution blocked by missing prepared dependencies and no dependency install authority.,CGP006-MAP-GAP-0008;CGP006-MAP-GAP-0011,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-10-CTRL-0004,ES-CG-10,Candidate Positive And Negative Test Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-10/CONTROL_CATALOG.csv::ES-CG-10-CTRL-0004,"For the V1.1 draft adoption-candidate ES-CG-10 text, positive and negative test treatment must be applied only within the Testing, Verification, And Assurance candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,CI_OR_STATIC_ANALYSIS_EVIDENCE,.github/workflows/ci.yml;backend/tests/ci_known_failure_gate.py;backend/tests/ci_known_failure_baseline.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/validators/validate_repository_mapping_gap_audit.py;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/tests/test_repository_mapping_gap_audit.py,Existing CI and backend tests are present; this package adds only package-local validator/tests.,Package-local validator and pytest run; broader local backend/frontend execution blocked by missing prepared dependencies and no dependency install authority.,CGP006-MAP-GAP-0008;CGP006-MAP-GAP-0011,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-10-CTRL-0005,ES-CG-10,Candidate CI Interpretation Boundary,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-10/CONTROL_CATALOG.csv::ES-CG-10-CTRL-0005,"For the V1.1 draft adoption-candidate ES-CG-10 text, ci interpretation boundary must be applied only within the Testing, Verification, And Assurance candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,CI_OR_STATIC_ANALYSIS_EVIDENCE,.github/workflows/ci.yml;backend/tests/ci_known_failure_gate.py;backend/tests/ci_known_failure_baseline.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/validators/validate_repository_mapping_gap_audit.py;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/tests/test_repository_mapping_gap_audit.py,Existing CI and backend tests are present; this package adds only package-local validator/tests.,Package-local validator and pytest run; broader local backend/frontend execution blocked by missing prepared dependencies and no dependency install authority.,CGP006-MAP-GAP-0008;CGP006-MAP-GAP-0011,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-10-CTRL-0006,ES-CG-10,Candidate False-Pass Prevention,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-10/CONTROL_CATALOG.csv::ES-CG-10-CTRL-0006,"For the V1.1 draft adoption-candidate ES-CG-10 text, false-pass prevention must be applied only within the Testing, Verification, And Assurance candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",PARTIALLY_IMPLEMENTED,CI_OR_STATIC_ANALYSIS_EVIDENCE,.github/workflows/ci.yml;backend/tests/ci_known_failure_gate.py;backend/tests/ci_known_failure_baseline.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/validators/validate_repository_mapping_gap_audit.py;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/tests/test_repository_mapping_gap_audit.py,Existing CI and backend tests are present; this package adds only package-local validator/tests.,Package-local validator and pytest run; broader local backend/frontend execution blocked by missing prepared dependencies and no dependency install authority.,CGP006-MAP-GAP-0008;CGP006-MAP-GAP-0011,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-13-CTRL-0001,ES-CG-13,Candidate Completion Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-13/CONTROL_CATALOG.csv::ES-CG-13-CTRL-0001,"For the V1.1 draft adoption-candidate ES-CG-13 text, completion treatment must be applied only within the Completion, Evidence, And Traceability candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/EVIDENCE_RETENTION_REGISTER.csv;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/PACKAGE_MANIFEST.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/CHECKSUM_MANIFEST.sha256,"Documentary completion, evidence, traceability, custody, closure, and activation boundaries are represented in records and this package.",Package manifest/checksum validation and authorized path report.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-13-CTRL-0002,ES-CG-13,Candidate Evidence Grade Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-13/CONTROL_CATALOG.csv::ES-CG-13-CTRL-0002,"For the V1.1 draft adoption-candidate ES-CG-13 text, evidence grade treatment must be applied only within the Completion, Evidence, And Traceability candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/EVIDENCE_RETENTION_REGISTER.csv;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/PACKAGE_MANIFEST.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/CHECKSUM_MANIFEST.sha256,"Documentary completion, evidence, traceability, custody, closure, and activation boundaries are represented in records and this package.",Package manifest/checksum validation and authorized path report.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-13-CTRL-0003,ES-CG-13,Candidate Traceability Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-13/CONTROL_CATALOG.csv::ES-CG-13-CTRL-0003,"For the V1.1 draft adoption-candidate ES-CG-13 text, traceability treatment must be applied only within the Completion, Evidence, And Traceability candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/EVIDENCE_RETENTION_REGISTER.csv;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/PACKAGE_MANIFEST.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/CHECKSUM_MANIFEST.sha256,"Documentary completion, evidence, traceability, custody, closure, and activation boundaries are represented in records and this package.",Package manifest/checksum validation and authorized path report.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-13-CTRL-0004,ES-CG-13,Candidate Custody Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-13/CONTROL_CATALOG.csv::ES-CG-13-CTRL-0004,"For the V1.1 draft adoption-candidate ES-CG-13 text, custody treatment must be applied only within the Completion, Evidence, And Traceability candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/EVIDENCE_RETENTION_REGISTER.csv;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/PACKAGE_MANIFEST.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/CHECKSUM_MANIFEST.sha256,"Documentary completion, evidence, traceability, custody, closure, and activation boundaries are represented in records and this package.",Package manifest/checksum validation and authorized path report.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-13-CTRL-0005,ES-CG-13,Candidate Closure Boundary,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-13/CONTROL_CATALOG.csv::ES-CG-13-CTRL-0005,"For the V1.1 draft adoption-candidate ES-CG-13 text, closure boundary must be applied only within the Completion, Evidence, And Traceability candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/EVIDENCE_RETENTION_REGISTER.csv;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/PACKAGE_MANIFEST.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/CHECKSUM_MANIFEST.sha256,"Documentary completion, evidence, traceability, custody, closure, and activation boundaries are represented in records and this package.",Package manifest/checksum validation and authorized path report.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-13-CTRL-0006,ES-CG-13,Candidate Activation Boundary,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-13/CONTROL_CATALOG.csv::ES-CG-13-CTRL-0006,"For the V1.1 draft adoption-candidate ES-CG-13 text, activation boundary must be applied only within the Completion, Evidence, And Traceability candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/EVIDENCE_RETENTION_REGISTER.csv;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/PACKAGE_MANIFEST.json;governance/implementation/code-guides/drafting/CGP-006/REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_AND_CURRENT_STATE_GAP_AUDIT_V1/CHECKSUM_MANIFEST.sha256,"Documentary completion, evidence, traceability, custody, closure, and activation boundaries are represented in records and this package.",Package manifest/checksum validation and authorized path report.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
