label_1,label_2,review_cycle,lane_id,coverage_id,area,numerator,denominator,percent,invalid_references,uncovered_or_open,result,classification,severity,notes
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-020,Relationships acceptance direct requirement coverage,40,68,58.82,0,28,PARTIAL_INFORMATIONAL,EXACTLY_ALIGNED,,All 40 references valid; no claim each requirement needs a distinct acceptance row
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-021,Relationships tests to acceptance coverage,40,40,100.00,0,0,PASS,EXACTLY_ALIGNED,,One test reference per acceptance criterion
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-022,Relationships requirement source-reference occurrence validity,124,124,100.00,0,0,PASS,EXACTLY_ALIGNED,,13 of 16 registered source IDs used
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-023,Relationships recommendation decision-reference validity,35,35,100.00,0,0,PASS,EXACTLY_ALIGNED,,All 16 Founder decisions covered
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-024,Relationships controlled formal decision-reference validity,35,35,100.00,0,0,PASS,EXACTLY_ALIGNED,,All 16 Founder decisions covered
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-025,Relationships pre-ratification conformance decision-reference validity,35,35,100.00,0,0,PASS,EXACTLY_ALIGNED,,All 16 Founder decisions covered
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-026,pre-ratification Founder decision traceability,16,16,100.00,0,0,PASS,EXACTLY_ALIGNED,,All 7 ADR targets represented
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-027,pre-ratification golden-path ADR target coverage,7,7,100.00,0,0,PASS,EXACTLY_ALIGNED,,18 valid ADR-reference occurrences
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-028,pre-ratification adversarial ADR target coverage,7,7,100.00,0,0,PASS,EXACTLY_ALIGNED,,14 valid ADR-reference occurrences
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-029,Relationships source-reconciliation ID coverage,16,16,100.00,0,0,PASS,EXACTLY_ALIGNED,,Controlled and pre-ratification sets exact and byte-identical
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-030,Identity source-reconciliation SHA coverage,4,12,33.33,0,8,OPEN_FINDING,SOURCE_GAP,P1,All nonblank hashes are valid 64-hex; 10 statuses pending partial or unresolved
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-031,Relationships source-reconciliation SHA coverage,8,16,50.00,0,8,OPEN_FINDING,SOURCE_GAP,P1,All nonblank hashes are valid 64-hex; 12 statuses pending partial or unresolved
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-032,cross-domain contract finalized alignment,0,12,0.00,0,12,OPEN_FINDING,AMBIGUOUS_REQUIRES_REMEDIATION,P1,Every row has a blocking dependency; no row marked final or aligned
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-033,repeated canonical ID title consistency,20,23,86.96,0,3,OPEN_FINDING,TERMINOLOGY_DRIFT,P2,Three Relationships ADR title variants originate in candidate PIA register
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-034,pre-ratification current-status machine parity,2,5,40.00,0,3,OPEN_FINDING,AMBIGUOUS_REQUIRES_REMEDIATION,P1,Current status and traceability conflict with preserved pending PIA register and recommendation machine statuses
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-035,MIAP spelling integrity,58,58,100.00,0,0,PASS,EXACTLY_ALIGNED,,MAIP occurrences zero
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-036,Identity supplied open P1 finding register,0,7,0.00,0,7,OPEN_UPSTREAM,AMBIGUOUS_REQUIRES_REMEDIATION,P1,Seven of seven remain OPEN; not added arithmetically to lane finding count
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-037,Relationships controlled supplied open P1 register,0,10,0.00,0,10,OPEN_UPSTREAM,AMBIGUOUS_REQUIRES_REMEDIATION,P1,Ten of ten remain Open; exact copy preserved in pre-rat package
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,COV-038,Relationships pre-ratification summary open P1 register,0,6,0.00,0,6,OPEN_UPSTREAM,AMBIGUOUS_REQUIRES_REMEDIATION,P1,Six of six remain OPEN; distinct namespace and partially overlapping scope
