label_1,label_2,review_cycle,lane_id,ledger_id,work_item,exact_command_or_procedure,input_scope,started_utc,completed_utc,status,limitation,evidence_output
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-011,Validate identifiers,"Generate expected core sequences; regex extract controlled IDs; Counter duplicate checks",44 ID-bearing CSVs plus JSON arrays and ADR filenames,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,Cross-package lineage reuse separated from within-file duplication,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-012,Validate references,"Extract requirement source acceptance decision ADR and traceability IDs; set-membership against target registries",Identity and Relationships packages,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,Prose selectors not silently expanded,REFERENCE_AND_COVERAGE_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-013,Validate expected denominators,"Compare 12 Identity decisions; 16 Relationships decisions; 7 plus 7 ADRs; stage sets",Core registers and formal files,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,None,REFERENCE_AND_COVERAGE_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-014,Validate human-machine parity,"Explicit Identity field map for 12 arrays; exact Relationships dictionary parity for 14 arrays; ADR and validation-report comparisons",Machine JSON and companion CSV or MD,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,Status lifecycle layers assessed separately,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-015,Validate duplicate semantic labels,"Group repeated canonical ADR and decision IDs; compare title or subject sets",Cross-package core registers,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,Machine lane does not decide semantic materiality,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-016,Validate source coverage,"Count valid 64-hex SHA values; blank values; unresolved paths; pending or partial statuses",Three source reconciliation registers,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,Missing hashes not fetched or invented,REFERENCE_AND_COVERAGE_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-017,Validate contract coverage,"Count status distribution and blocking dependency population",Two byte-identical cross-domain contract registers,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,No out-of-scope PIA drafting,REFERENCE_AND_COVERAGE_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-018,Validate terminology,"Case-bounded scan for MIAP and MAIP across expanded text",140 review-material files,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,Token-level check only,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-019,Record pre-write frozen snapshots,"SHA-256 over sorted <file-sha><two spaces><relative path><LF> inventory lines",Frozen handoff and expanded materials,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,None,OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-020,Create required outputs,"apply_patch only",Assigned CMT-06 lane directory,2026-07-20T19:53:23Z,2026-07-20T19:57:31Z,COMPLETE,No writes permitted outside assigned lane,All five required outputs
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-021,Post-write output parse and label audit,"csv.reader(strict=True); json.loads; exact filename and label checks",Assigned CMT-06 outputs,2026-07-20T19:56:48Z,2026-07-20T19:57:31Z,COMPLETE,None; five filenames exact and all files contain both labels,OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-022,Post-write frozen-input audit,"Recompute both deterministic inventory hashes and compare to pre-write values",Frozen handoff and expanded materials,2026-07-20T19:56:48Z,2026-07-20T19:57:31Z,COMPLETE,None; both hashes unchanged,OUTPUT_MANIFEST.json
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-023,Boundary attestation,"Audit executed command classes and output paths",Entire lane,2026-07-20T19:42:33Z,2026-07-20T19:57:31Z,COMPLETE,No network application Git mutation or external write occurred,LANE_REPORT.md
