atlas,workflow,section_number,section,status,repository_traceability,command_complete,environment_complete,fixture_complete,oracle_complete,cp3_complete,rollback_complete,cleanup_complete,evidence_complete,mapped_requirement_count,blocking_gap
Relationships,ATL-FND-RELATIONSHIPS,28,Migration,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,29,Operational Readiness,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,30,Backlog,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,31,Risk Register,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,32,Release Readiness,INCOMPLETE_MULTIPLE_BLOCKERS,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Relationships,ATL-FND-RELATIONSHIPS,33,Traceability Report,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,19,S2-GAP-030
Authorization,ATL-FND-AUTHZ,01,Document Control,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,02,Executive Summary,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,03,Domain Purpose,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,04,Canonical Authority,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,05,Source Register,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,06,Cross-Domain Contracts,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,07,Actors,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,08,Business Capabilities,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,09,Data Model,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,10,State Machines,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,11,Workflow Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,18,S2-GAP-030
Authorization,ATL-FND-AUTHZ,12,Screen Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,13,Component Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,14,API Atlas,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,15,Event Catalog,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,16,Permission Model,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,17,Privacy,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,18,Security,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,19,Offline Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,20,Notification Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,21,Reporting Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,22,Search Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,23,AI Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,24,Integration Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,25,Infrastructure Model,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,26,Failure Model,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,27,Testing,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,28,Migration,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,29,Operational Readiness,INCOMPLETE_EVIDENCE_MISSING,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,30,Backlog,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,31,Risk Register,INCOMPLETE_IMPLEMENTATION_MISSING,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,32,Release Readiness,INCOMPLETE_MULTIPLE_BLOCKERS,MISSING_OR_UNKNOWN,NO,NO,NO,NO,NO,NO,NO,NO,0,S2-GAP-030
Authorization,ATL-FND-AUTHZ,33,Traceability Report,INCOMPLETE_MULTIPLE_BLOCKERS,PARTIAL,NO,NO,NO,NO,NO,NO,NO,NO,18,S2-GAP-030
