item_id,requirement,status,governing_source,implementation_evidence,assessment,gap_ids,blocks_execution_readiness
IDEN-014,Sessions and refresh families,PARTIAL_IMPLEMENTATION,Identity Atlas 09-10,backend/auth_security.py; W1_RF01_SESSION_AND_TOKEN_SECURITY_ASSESSMENT.md,Tokens and session records exist; atomic family rotation/reuse/race proof is incomplete.,S2-GAP-012,True
IDEN-015,Devices,DOCUMENTED_NOT_IMPLEMENTED,Identity Atlas 09-10,Identity canon; W1_RF01_DEFERRED_SCOPE_REGISTER.md,"User-agent/IP signals exist, but governed device identity/trust/revocation is not implemented.",S2-GAP-011,True
IDEN-016,Expiry and revocation,PARTIAL_IMPLEMENTATION,Identity Atlas 10,auth token helpers; suspension checks,Point controls exist; authority/session revision continuity is not complete.,S2-GAP-012;S2-GAP-013,True
IDEN-017,Recovery,PARTIAL_IMPLEMENTATION,Identity Atlas 11,backend/core/auth_tokens.py; routes/auth.py,"Purpose-bound single-use primitives exist; assurance, device/risk, complete cleanup, and recovery oracle are missing.",S2-GAP-012;S2-GAP-014,True
IDEN-018,Compromise response,PARTIAL_DOCUMENTARY,Identity Atlas 26,W1_RF01_IDENTITY_INCIDENT_RESPONSE_RUNBOOK.md,Runbook is documentary; no executable compromise/revocation evidence exists.,S2-GAP-012,True
IDEN-019,Anti-abuse,PARTIAL_IMPLEMENTATION,Identity Atlas 18,rate/lockout configuration; identity observability plan,Rate/lockout controls exist; credential-stuffing and abuse evidence is incomplete.,S2-GAP-012,True
IDEN-020,Duplicate prevention and protected-account transition,DOCUMENTED_NOT_IMPLEMENTED,Identity Atlas 09-10,Identity canon; W1_RF01 duplicate/conflict registers,No canonical duplicate resolution/merge reversal/protected-account transition implementation was found.,S2-GAP-011,True
IDEN-021,"Dependency install, build, runtime",UNKNOWN_BLOCKING,Identity Atlas 25;29,requirements and narrow RF2 README,Backend install/build and complete runtime orchestration commands are not committed.,S2-GAP-001;S2-GAP-004,True
IDEN-022,"Fixtures, positive/negative tests, oracles",PARTIAL_STATIC_TESTS,Identity Atlas 27,test_auth_tokens.py; test_core_auth_verification_gate.py; test_rf2_identity_access_migration.py,Partial source tests exist; full executable Identity fixture/oracle is absent.,S2-GAP-014,True
IDEN-023,"CP-3, evidence, cleanup, rollback",DOCUMENTED_NOT_IMPLEMENTED,Identity Atlas 27-29,CP3 candidate scenarios; W1 rollback plan,No authorized execution evidence or exact cleanup/rollback commands exist.,S2-GAP-006;S2-GAP-007;S2-GAP-008;S2-GAP-010,True
