permitted_starting_state,permitted_next_state,permitted,required_authority,required_evidence,prohibited_transitions,reversal_rules,suspension_rules,supersession_rules,reactivation_rules,archival_rules,lifecycle_rule_class_id
CANDIDATE,SUPERSEDED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_SUPERSEDED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,HISTORICAL_RETAINED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_HISTORICAL_RETAINED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
CANDIDATE,BLOCKED_EVIDENCE_REQUIRED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,CANDIDATE_TO_BLOCKED_EVIDENCE_REQUIRED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,CANDIDATE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_CANDIDATE,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,DRAFT_UNMERGED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_DRAFT_UNMERGED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,FOUNDER_REVIEW_READY,YES,DOCUMENTARY_DRAFTING_OR_REVIEW_AUTHORITY,DRAFT_OR_REVIEW_PACKAGE_RECORD,NOT_APPLICABLE_FOR_PERMITTED_TRANSITION,RETURN_TO_REMEDIATION_OR_REJECTION_REQUIRES_REVIEW_DISPOSITION,NOT_ACTIVE_STATE_HAS_NO_SUSPENSION_EFFECT,SUCCESSOR_PACKAGE_OR_DOCUMENTED_BASIS_REQUIRED,NOT_APPLICABLE_UNTIL_ACTIVE_STATE,RETAIN_PREDECESSOR_AS_HISTORICAL_RECORD,RULE_CLASS_FORWARD_DRAFTING
DRAFT_UNMERGED,REMEDIATION_REQUIRED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_REMEDIATION_REQUIRED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,REJECTED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_REJECTED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,ADOPTED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_ADOPTED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,LOCKED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_LOCKED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,ACCESSIONED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_ACCESSIONED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,ACTIVE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_ACTIVE,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,SUSPENDED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_SUSPENDED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,SUPERSEDED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_SUPERSEDED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,HISTORICAL_RETAINED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_HISTORICAL_RETAINED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
DRAFT_UNMERGED,BLOCKED_EVIDENCE_REQUIRED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,DRAFT_UNMERGED_TO_BLOCKED_EVIDENCE_REQUIRED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,CANDIDATE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,FOUNDER_REVIEW_READY_TO_CANDIDATE,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,DRAFT_UNMERGED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,FOUNDER_REVIEW_READY_TO_DRAFT_UNMERGED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,FOUNDER_REVIEW_READY,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,FOUNDER_REVIEW_READY_TO_FOUNDER_REVIEW_READY,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,REMEDIATION_REQUIRED,YES,REVIEWER_FOUNDER_OR_GOVERNANCE_DISPOSITION,FINDING_OR_DECISION_RECORD,NOT_APPLICABLE_FOR_PERMITTED_TRANSITION,NEW_REVIEW_OR_REMEDIATION_EVIDENCE_REQUIRED,NOT_APPLICABLE_UNLESS_ACTIVE_EFFECT_EXISTS,SUPERSEDING_REMEDIATION_PACKAGE_REQUIRED,ONLY_AFTER_REMEDIATION_AND_AUTHORITY_EVIDENCE,RETAIN_REJECTION_OR_BLOCK_RECORD,RULE_CLASS_REMEDIATION_OR_REJECTION
FOUNDER_REVIEW_READY,REJECTED,YES,REVIEWER_FOUNDER_OR_GOVERNANCE_DISPOSITION,FINDING_OR_DECISION_RECORD,NOT_APPLICABLE_FOR_PERMITTED_TRANSITION,NEW_REVIEW_OR_REMEDIATION_EVIDENCE_REQUIRED,NOT_APPLICABLE_UNLESS_ACTIVE_EFFECT_EXISTS,SUPERSEDING_REMEDIATION_PACKAGE_REQUIRED,ONLY_AFTER_REMEDIATION_AND_AUTHORITY_EVIDENCE,RETAIN_REJECTION_OR_BLOCK_RECORD,RULE_CLASS_REMEDIATION_OR_REJECTION
FOUNDER_REVIEW_READY,ADOPTED,YES,EXPLICIT_FOUNDER_OR_DELEGATED_AUTHORITY,SIGNED_OR_RECORDED_AUTHORITY_EVIDENCE,NOT_APPLICABLE_FOR_PERMITTED_TRANSITION,RESCISSION_OR_SUPERSESSION_EVIDENCE_REQUIRED,SUSPENSION_REQUIRES_EXPLICIT_NON_ACTIVE_EFFECT,SUCCESSOR_AND_EFFECTIVE_DATE_REQUIRED,REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,RETAIN_AUTHORITY_CHAIN_AND_PRIOR_EFFECT,RULE_CLASS_FOUNDER_AUTHORITY
FOUNDER_REVIEW_READY,LOCKED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,FOUNDER_REVIEW_READY_TO_LOCKED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,ACCESSIONED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,FOUNDER_REVIEW_READY_TO_ACCESSIONED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,ACTIVE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,FOUNDER_REVIEW_READY_TO_ACTIVE,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,SUSPENDED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,FOUNDER_REVIEW_READY_TO_SUSPENDED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,SUPERSEDED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,FOUNDER_REVIEW_READY_TO_SUPERSEDED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,HISTORICAL_RETAINED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,FOUNDER_REVIEW_READY_TO_HISTORICAL_RETAINED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
FOUNDER_REVIEW_READY,BLOCKED_EVIDENCE_REQUIRED,YES,REVIEWER_FOUNDER_OR_GOVERNANCE_DISPOSITION,FINDING_OR_DECISION_RECORD,NOT_APPLICABLE_FOR_PERMITTED_TRANSITION,NEW_REVIEW_OR_REMEDIATION_EVIDENCE_REQUIRED,NOT_APPLICABLE_UNLESS_ACTIVE_EFFECT_EXISTS,SUPERSEDING_REMEDIATION_PACKAGE_REQUIRED,ONLY_AFTER_REMEDIATION_AND_AUTHORITY_EVIDENCE,RETAIN_REJECTION_OR_BLOCK_RECORD,RULE_CLASS_REMEDIATION_OR_REJECTION
REMEDIATION_REQUIRED,CANDIDATE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,REMEDIATION_REQUIRED_TO_CANDIDATE,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
REMEDIATION_REQUIRED,DRAFT_UNMERGED,YES,DOCUMENTARY_DRAFTING_OR_REVIEW_AUTHORITY,DRAFT_OR_REVIEW_PACKAGE_RECORD,NOT_APPLICABLE_FOR_PERMITTED_TRANSITION,RETURN_TO_REMEDIATION_OR_REJECTION_REQUIRES_REVIEW_DISPOSITION,NOT_ACTIVE_STATE_HAS_NO_SUSPENSION_EFFECT,SUCCESSOR_PACKAGE_OR_DOCUMENTED_BASIS_REQUIRED,NOT_APPLICABLE_UNTIL_ACTIVE_STATE,RETAIN_PREDECESSOR_AS_HISTORICAL_RECORD,RULE_CLASS_FORWARD_DRAFTING
REMEDIATION_REQUIRED,FOUNDER_REVIEW_READY,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,REMEDIATION_REQUIRED_TO_FOUNDER_REVIEW_READY,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
REMEDIATION_REQUIRED,REMEDIATION_REQUIRED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,REMEDIATION_REQUIRED_TO_REMEDIATION_REQUIRED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
REMEDIATION_REQUIRED,REJECTED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,REMEDIATION_REQUIRED_TO_REJECTED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
REMEDIATION_REQUIRED,ADOPTED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,REMEDIATION_REQUIRED_TO_ADOPTED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
REMEDIATION_REQUIRED,LOCKED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,REMEDIATION_REQUIRED_TO_LOCKED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
REMEDIATION_REQUIRED,ACCESSIONED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,REMEDIATION_REQUIRED_TO_ACCESSIONED,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
REMEDIATION_REQUIRED,ACTIVE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,PROHIBITED_TRANSITION_RECORD,REMEDIATION_REQUIRED_TO_ACTIVE,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,NOT_APPLICABLE_FOR_PROHIBITED_TRANSITION,RETAIN_HISTORICAL_PROHIBITION_RECORD_ONLY,RULE_CLASS_PROHIBITED_TRANSITION
