decision_id,category,question,prior_status,status,classification,recommended_answer,approved_answer,alternatives,risk_if_unresolved,decision_date,founder_refinement,gate,controlling_record,founder_answer
FAC-FD-011,DESIGN_APPROVAL,Are memberships and staff assignments exclusively Relationship-domain facts?,FOUNDER_DECISION_REQUIRED,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,"Yes. Facility PIA may reference them for context but does not create or own membership, employment or staff relationship truth.","Yes. Facility PIA may reference them for context but does not create or own membership, employment or staff relationship truth.",Facility owns staff lists as authority; duplicate facts in both domains.,Contradictory relationship truth and accidental access.,2026-07-21,,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,"Yes. Facility PIA may reference them for context but does not create or own membership, employment or staff relationship truth."
FAC-FD-012,DESIGN_APPROVAL,What evidence establishes stewardship without treating payment or contact status as authority?,FOUNDER_DECISION_REQUIRED,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,Use sourced relationship/delegation/ownership/lease/operating assertions plus current Authorization evaluation; payment/contact and Organization verification are supporting claims only.,Use sourced relationship/delegation/ownership/lease/operating assertions plus current Authorization evaluation; payment/contact and Organization verification are supporting claims only.,"Payer, listed contact or verified Organization is steward automatically.",Unauthorized control and fraud.,2026-07-21,,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Use sourced relationship/delegation/ownership/lease/operating assertions plus current Authorization evaluation; payment/contact and Organization verification are supporting claims only.
FAC-FD-013,IMPLEMENTATION_AUTHORIZATION,"How are providers, vendors, and service Organizations represented?",FOUNDER_DECISION_REQUIRED,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,"Represent them as Organization identities with typed, dated service associations; individual professionals remain person identities representing an Organization where applicable; neither association grants record access.","Represent them as Organization identities with typed, dated service associations; individual professionals remain person identities representing an Organization where applicable; neither association grants record access.",Free-text contact only; every provider is a user role with blanket access.,"Impersonation, duplicate identity or overbroad access.",2026-07-21,,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,"Represent them as Organization identities with typed, dated service associations; individual professionals remain person identities representing an Organization where applicable; neither association grants record access."
FAC-FD-014,IMPLEMENTATION_AUTHORIZATION,"What timezone, locale, and address rules apply?",FOUNDER_DECISION_REQUIRED,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,"Store structured postal components plus display text, IANA timezone, BCP47 locale and separately protected geolocation precision with provenance.","Store structured postal components plus display text, IANA timezone, BCP47 locale and separately protected geolocation precision with provenance.",Free text only; precise coordinates always visible.,Operational ambiguity or privacy exposure.,2026-07-21,,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,"Store structured postal components plus display text, IANA timezone, BCP47 locale and separately protected geolocation precision with provenance."
FAC-FD-015,IMPLEMENTATION_AUTHORIZATION,"How are duplicates detected, reviewed, and merged?",FOUNDER_DECISION_REQUIRED,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,"Quarantine suspected duplicates, compare evidence, then merge through a reviewed reversible change set preserving aliases, provenance, dissent and rollback metadata.","Quarantine suspected duplicates, compare evidence, then merge through a reviewed reversible change set preserving aliases, provenance, dissent and rollback metadata.",Automatic fuzzy merge; delete one duplicate.,Wrong-site merge and irreversible loss.,2026-07-21,,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,"Quarantine suspected duplicates, compare evidence, then merge through a reviewed reversible change set preserving aliases, provenance, dissent and rollback metadata."
FAC-FD-016,ENROLLMENT,What Facility information is publicly discoverable versus Tenant-scoped?,FOUNDER_DECISION_REQUIRED,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,"Use a separate opt-in projection initially limited to public name, coarse locality, public contact channel and service summary; exclude exact layout, occupants and sensitive areas.","Use a separate opt-in projection initially limited to public name, coarse locality, public contact channel and service summary; exclude exact layout, occupants and sensitive areas.",Publish all profile fields; no public projection.,Location/privacy exposure or poor discovery.,2026-07-21,,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,"Use a separate opt-in projection initially limited to public name, coarse locality, public contact channel and service summary; exclude exact layout, occupants and sensitive areas."
FAC-FD-017,ENROLLMENT,What is the minimum first-user Facility/Tenant seed?,FOUNDER_DECISION_REQUIRED,FOUNDER_APPROVED_DESIGN_DOCTRINE,SUPERSEDED_OR_REFINED,"Use adaptive paths. For an individual-owner or horse-first path, establish only the minimum required technical Tenant isolation context without asking the user to invent a Facility, Organization, Barn, or Business. For a real facility/organization context, create only truthful selected structures and explicit associations. Neither path creates authority or stewardship.","Use adaptive paths. For an individual-owner or horse-first path, establish only the minimum required technical Tenant isolation context without asking the user to invent a Facility, Organization, Barn, or Business. For a real facility/organization context, create only truthful selected structures and explicit associations. Neither path creates authority or stewardship.",Tenant and Barn only; fully prepopulate a complex hierarchy.,Conflation or excessive onboarding.,2026-07-21,"EquineSync onboarding must remain adaptive to the actual user and operating context. An individual horse owner must not be forced to create unnecessary Facility, Tenant, Organization, Barn, or Business entities when those entities do not truthfully exist or are not required for the user's legitimate workflow. The onboarding model must support horse-first and individual-owner-first entry paths while preserving the canonical distinctions, isolation rules, evidence requirements, and later explicit association of facilities or organizations when applicable.",DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,"Use adaptive paths. For an individual-owner or horse-first path, establish only the minimum required technical Tenant isolation context without asking the user to invent a Facility, Organization, Barn, or Business. For a real facility/organization context, create only truthful selected structures and explicit associations. Neither path creates authority or stewardship."
FAC-FD-018,IMPLEMENTATION_AUTHORIZATION,How are ambiguous legacy records quarantined?,FOUNDER_DECISION_REQUIRED,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,"Create provenance-preserving quarantine records with candidate mappings, reason, reviewer and disposition; never assign missing records to primary/default automatically.","Create provenance-preserving quarantine records with candidate mappings, reason, reviewer and disposition; never assign missing records to primary/default automatically.",Guess primary Tenant/Facility; reject and discard all ambiguous data.,Cross-tenant leakage or evidence loss.,2026-07-21,,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,"Create provenance-preserving quarantine records with candidate mappings, reason, reviewer and disposition; never assign missing records to primary/default automatically."
FAC-FD-019,IMPLEMENTATION_AUTHORIZATION,What topology behavior is allowed offline?,FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,Permit only minimum-authorized expiring reads and context-neutral observations; no consequential topology mutation until online revalidation.,,Allow offline create/move/merge; no offline access at all.,Stale authority can corrupt canonical topology.,,,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_CANDIDATE_V1.1.0,
FAC-FD-020,IMPLEMENTATION_AUTHORIZATION,What happens on Tenant or Facility suspension?,FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,"Deny ordinary consequential access across all surfaces, preserve emergency/safety evidence capture only through a narrowly controlled path, and require online revalidation for reinstatement.",,Total lockout including safety evidence; allow reads/writes unchanged.,Safety evidence loss or unauthorized continuation.,,,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_CANDIDATE_V1.1.0,
FAC-FD-021,IMPLEMENTATION_AUTHORIZATION,What support-access model is allowed?,FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,"Use ticket-bound, reason-coded, time-limited, least-privilege, impersonation-free access with approval and immutable audit.",,Standing superuser access; no support access.,Privacy exposure or inability to resolve incidents.,,,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_CANDIDATE_V1.1.0,
FAC-FD-022,IMPLEMENTATION_AUTHORIZATION,"What retention rules apply to topology, identity, projection, and evidence records?",FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,"Retain identity/lineage/audit under governed evidence rules, make public projections revocable, and set field-level schedules only after legal and operational review.",,One universal duration; hard-delete the entire topology.,Unsupported legal precision or loss of evidence.,,,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_CANDIDATE_V1.1.0,
FAC-FD-023,ENROLLMENT,What capacity and suitability assertions may a first-user Facility or Area display?,FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,"Treat them as dated, sourced assertions with units, confidence and limitations; never as guarantees of safety.",,Static unqualified numbers; omit capacity entirely.,Unsafe reliance or poor planning.,,,REQUIRED_BEFORE_ENROLLMENT,OPEN_CANDIDATE_V1.1.0,
FAC-FD-024,ENROLLMENT,How is active context switching presented to users?,FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,"Show persistent Tenant/Facility/Organization context, require confirmation for consequential actions, and never silently switch because a link was opened.",,Hidden automatic context; single sticky Barn.,Wrong-context changes.,,,REQUIRED_BEFORE_ENROLLMENT,OPEN_CANDIDATE_V1.1.0,
FAC-FD-025,IMPLEMENTATION_AUTHORIZATION,"Which canonical API commands, events, and jobs are permitted?",FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,Use the candidate contracts as design interfaces only and require separate implementation authorization plus schema/security review.,,Build directly from prose; defer all contracts.,Contract drift or unbuildable design.,,,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_CANDIDATE_V1.1.0,
FAC-FD-026,IMPLEMENTATION_AUTHORIZATION,What nonfunctional thresholds apply?,FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,"Require measured isolation, accessibility, recovery, latency and scale budgets in an authorized work package; retain qualitative gates until evidence exists.",,Invent numeric thresholds now; omit quality gates.,False precision or untestable reliability.,,,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_CANDIDATE_V1.1.0,
FAC-FD-027,ENROLLMENT,What closure and suspension communication is required?,FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,"Notify affected context members through governed notice, show effective time/consequences, and preserve access only where separate authority requires it.",,Immediate silent closure; indefinite full access.,Stranded users or excessive access.,,,REQUIRED_BEFORE_ENROLLMENT,OPEN_CANDIDATE_V1.1.0,
FAC-FD-028,ENROLLMENT,What evidence is required before Founder design approval and later enrollment decisions?,FOUNDER_DECISION_REQUIRED,OPEN_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,"Resolve design-gate decisions, commission fresh segregated review, verify source/traceability gaps are zero, and record separate approval and later readiness decisions.",,Treat this recommendation as approval; approve from summary alone.,Status inflation and unreviewed doctrine.,,,REQUIRED_BEFORE_ENROLLMENT,OPEN_CANDIDATE_V1.1.0,
