acceptance_id,requirement_id,criterion,method,evidence_id,status
FAC-AC-011,FAC-REQ-011,Objective review demonstrates the exact obligation in FAC-REQ-011 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-011,SPECIFIED_NOT_EXECUTED
FAC-AC-012,FAC-REQ-012,Objective review demonstrates the exact obligation in FAC-REQ-012 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-012,SPECIFIED_NOT_EXECUTED
FAC-AC-013,FAC-REQ-013,Objective review demonstrates the exact obligation in FAC-REQ-013 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-013,SPECIFIED_NOT_EXECUTED
FAC-AC-014,FAC-REQ-014,Objective review demonstrates the exact obligation in FAC-REQ-014 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-014,SPECIFIED_NOT_EXECUTED
FAC-AC-015,FAC-REQ-015,Objective review demonstrates the exact obligation in FAC-REQ-015 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-015,SPECIFIED_NOT_EXECUTED
FAC-AC-016,FAC-REQ-016,Objective review demonstrates the exact obligation in FAC-REQ-016 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-016,SPECIFIED_NOT_EXECUTED
FAC-AC-017,FAC-REQ-017,Objective review demonstrates the exact obligation in FAC-REQ-017 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-017,SPECIFIED_NOT_EXECUTED
FAC-AC-018,FAC-REQ-018,Objective review demonstrates the exact obligation in FAC-REQ-018 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-018,SPECIFIED_NOT_EXECUTED
FAC-AC-019,FAC-REQ-019,Objective review demonstrates the exact obligation in FAC-REQ-019 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-019,SPECIFIED_NOT_EXECUTED
FAC-AC-020,FAC-REQ-020,Objective review demonstrates the exact obligation in FAC-REQ-020 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-020,SPECIFIED_NOT_EXECUTED
FAC-AC-021,FAC-REQ-021,Objective review demonstrates the exact obligation in FAC-REQ-021 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-021,SPECIFIED_NOT_EXECUTED
FAC-AC-022,FAC-REQ-022,Objective review demonstrates the exact obligation in FAC-REQ-022 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-022,SPECIFIED_NOT_EXECUTED
FAC-AC-023,FAC-REQ-023,Objective review demonstrates the exact obligation in FAC-REQ-023 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-023,SPECIFIED_NOT_EXECUTED
FAC-AC-024,FAC-REQ-024,Objective review demonstrates the exact obligation in FAC-REQ-024 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-024,SPECIFIED_NOT_EXECUTED
FAC-AC-025,FAC-REQ-025,Objective review demonstrates the exact obligation in FAC-REQ-025 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-025,SPECIFIED_NOT_EXECUTED
FAC-AC-026,FAC-REQ-026,Objective review demonstrates the exact obligation in FAC-REQ-026 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-026,SPECIFIED_NOT_EXECUTED
FAC-AC-027,FAC-REQ-027,Objective review demonstrates the exact obligation in FAC-REQ-027 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-027,SPECIFIED_NOT_EXECUTED
FAC-AC-028,FAC-REQ-028,Objective review demonstrates the exact obligation in FAC-REQ-028 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-028,SPECIFIED_NOT_EXECUTED
FAC-AC-029,FAC-REQ-029,Objective review demonstrates the exact obligation in FAC-REQ-029 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-029,SPECIFIED_NOT_EXECUTED
FAC-AC-030,FAC-REQ-030,Objective review demonstrates the exact obligation in FAC-REQ-030 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-030,SPECIFIED_NOT_EXECUTED
FAC-AC-031,FAC-REQ-031,Objective review demonstrates the exact obligation in FAC-REQ-031 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-031,SPECIFIED_NOT_EXECUTED
FAC-AC-032,FAC-REQ-032,Objective review demonstrates the exact obligation in FAC-REQ-032 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-032,SPECIFIED_NOT_EXECUTED
FAC-AC-033,FAC-REQ-033,Objective review demonstrates the exact obligation in FAC-REQ-033 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-033,SPECIFIED_NOT_EXECUTED
FAC-AC-034,FAC-REQ-034,Objective review demonstrates the exact obligation in FAC-REQ-034 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-034,SPECIFIED_NOT_EXECUTED
FAC-AC-035,FAC-REQ-035,Objective review demonstrates the exact obligation in FAC-REQ-035 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-035,SPECIFIED_NOT_EXECUTED
FAC-AC-036,FAC-REQ-036,Objective review demonstrates the exact obligation in FAC-REQ-036 and its prohibited/failure behavior without cross-tenant fallback.,Document inspection plus authorized future automated/operational evidence,FAC-EVID-036,SPECIFIED_NOT_EXECUTED
FAC-AC-037,FAC-REQ-037,"An individual owner completes horse-first entry without Facility, Organization, Barn, or Business creation.",Documentary golden-path and authorized future implementation test,FAC-EVID-037,SPECIFIED_NOT_EXECUTED
FAC-AC-038,FAC-REQ-038,The resulting record set contains no unnecessary topology entities.,Documentary golden-path and authorized future implementation test,FAC-EVID-038,SPECIFIED_NOT_EXECUTED
FAC-AC-039,FAC-REQ-039,Protected data remains isolated by an explicit technical Tenant context that is not represented as a physical/legal entity.,Documentary golden-path and authorized future implementation test,FAC-EVID-039,SPECIFIED_NOT_EXECUTED
FAC-AC-040,FAC-REQ-040,A later Facility or Organization association occurs only after an explicit controlled action; silent/default association is denied.,Documentary golden-path and authorized future implementation test,FAC-EVID-040,SPECIFIED_NOT_EXECUTED
FAC-AC-041,FAC-REQ-041,No authority or stewardship exists solely because onboarding completed.,Documentary golden-path and authorized future implementation test,FAC-EVID-041,SPECIFIED_NOT_EXECUTED
FAC-AC-042,FAC-REQ-042,A real facility/organization user completes the structured path with distinct identities and explicit associations.,Documentary golden-path and authorized future implementation test,FAC-EVID-042,SPECIFIED_NOT_EXECUTED
