decision_id,current_status,classification,gate,decision_date,controlling_record,notes
FAC-FD-014,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-015,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-016,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-017,FOUNDER_APPROVED_DESIGN_DOCTRINE,SUPERSEDED_OR_REFINED,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,FAC-FD-017 original recommendation refined by controlling adaptive-onboarding direction
FAC-FD-018,FOUNDER_APPROVED_DESIGN_DOCTRINE,FOUNDER_APPROVED_DESIGN_DOCTRINE,DESIGN_DOCTRINE_APPROVED_NO_IMPLEMENTATION_AUTHORITY,2026-07-21,FOUNDER_DECISION_INCORPORATION_DIRECTIVE_SHA256:8158c9f2f00b2702f7057837289dc8395ca28a2a3f9cd7c34d00d8861706944f,Approved design doctrine only; no implementation authority
FAC-FD-019,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
FAC-FD-020,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
FAC-FD-021,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
FAC-FD-022,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
FAC-FD-023,OPEN_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,REQUIRED_BEFORE_ENROLLMENT,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
FAC-FD-024,OPEN_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,REQUIRED_BEFORE_ENROLLMENT,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
FAC-FD-025,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
FAC-FD-026,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
FAC-FD-027,OPEN_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,REQUIRED_BEFORE_ENROLLMENT,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
FAC-FD-028,OPEN_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,REQUIRED_BEFORE_ENROLLMENT,,OPEN_CANDIDATE_V1.1.0,No separate Founder approval located
