record_id,artifact_path,artifact_name,artifact_family,package_id,classification,authority_effect,classification_basis,classification_evidence,controlling_status,lifecycle_status,approval_status,adoption_status,version,supersedes,superseded_by,canonical_path,source_path,selected_in_cgp_005,cgp_005_selection_type,code_guide_dependency,affected_code_guides,change_effect,review_required,source_hash,package_hash,baseline_commit,last_reviewed_commit,notes
"DACR-0011","governance/implementation/code-guides/initiation/CGP-006/CGP_006_INPUT_REGISTER.md","CGP-006 input register","Code Guide Program","ES-CGP-006-CONTROLLED-INITIATION-2026-07-26","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Defines CGP-006 input treatment, including PR #23 as non-normative context unless later authorized.","CGP_006_INPUT_REGISTER.md aggregate inputs and curated normative freeze inputs","CONTROLLING","INTEGRATED","FOUNDER_APPROVED","NOT_APPLICABLE","0.6.0","","","governance/implementation/code-guides/initiation/CGP-006/CGP_006_INPUT_REGISTER.md","governance/implementation/code-guides/initiation/CGP-006/CGP_006_INPUT_REGISTER.md","NO","GOVERNING_CONSTRAINT","CGP-006 gate","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10","CGP_006_INPUT_REFRESH_REQUIRED","YES","","ae7a1c72c92d4f8ed7cfacf5802ec24cce560adc49195345308928fcbb227ac2","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Must be refreshed after PR #23 appendix treatment."
"DACR-0012","governance/implementation/code-guides/initiation/CGP-006/CGP_006_AUTHORITY_BOUNDARY.md","CGP-006 authority boundary","Code Guide Program","ES-CGP-006-CONTROLLED-INITIATION-2026-07-26","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Defines what CGP-006 authorizes and withholds; prevents source promotion, adoption, activation, implementation, and production use.","CGP_006_AUTHORITY_BOUNDARY.md","CONTROLLING","INTEGRATED","FOUNDER_APPROVED","NOT_APPLICABLE","0.6.0","","","governance/implementation/code-guides/initiation/CGP-006/CGP_006_AUTHORITY_BOUNDARY.md","governance/implementation/code-guides/initiation/CGP-006/CGP_006_AUTHORITY_BOUNDARY.md","NO","GOVERNING_CONSTRAINT","CGP-006 gate","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10","CGP_006_INPUT_REFRESH_REQUIRED","YES","","ae7a1c72c92d4f8ed7cfacf5802ec24cce560adc49195345308928fcbb227ac2","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Any source promotion requires separate Founder authority."
"DACR-0013","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/TECHNICAL_AUDIT_FOUNDER_DECISION_PACKET_V1_1_0.md","Technical Audit Founder Decision Packet V1.1.0","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Records final Founder dispositions that impose pilot gates, implementation constraints, provider constraints, and sequencing.","Final disposition table; detailed ES-TA-FD-001 through ES-TA-FD-008 dispositions","CONTROLLING","INTEGRATED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","predecessor decision packet","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/TECHNICAL_AUDIT_FOUNDER_DECISION_PACKET_V1_1_0.md","external approved decision packet","NO","GOVERNING_CONSTRAINT","Requires CGP-005 appendix before affected CGP-006 drafting","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10;later guides ES-CG-03;ES-CG-05;ES-CG-06;ES-CG-07;ES-CG-11;ES-CG-12","FREEZE_APPENDIX_REQUIRED","YES","e39e2ab714cfe6f62b0df2cf1f7fba1b2c416abef52106c58a285ffd06a405e2","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","PR #23 decision content is not just context after this classification gate; it requires explicit governing-constraint treatment."
"DACR-0014","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_APPROVAL_RECORD_ES_TA_FD_001_008.md","Founder approval record ES-TA-FD-001 through ES-TA-FD-008","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Founder approval record supplies approval status and exact approval language for the binding dispositions.","Final dispositions; modifications to ES-TA-FD-006/007/008; pilot gates","CONTROLLING","INTEGRATED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_APPROVAL_RECORD_ES_TA_FD_001_008.md","external approval record","NO","GOVERNING_CONSTRAINT","Requires CGP-005 appendix before affected CGP-006 drafting","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10","FREEZE_APPENDIX_REQUIRED","YES","6dbe5b61f6412cb5762e98b505fa0aed75f1694579edd111b0c00e090f2366fc","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Does not authorize runtime work."
"DACR-0015","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/TECHNICAL_AUDIT_FOUNDER_DECISION_REGISTER_V1_1_0.csv","Technical Audit Founder Decision Register V1.1.0","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Machine-readable decision register captures approval effects and pilot gate effects for all eight decisions.","Rows ES-TA-FD-001 through ES-TA-FD-008","CONTROLLING","INTEGRATED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/TECHNICAL_AUDIT_FOUNDER_DECISION_REGISTER_V1_1_0.csv","external decision register","NO","GOVERNING_CONSTRAINT","Requires CGP-005 appendix before affected CGP-006 drafting","ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10","FREEZE_APPENDIX_REQUIRED","YES","237ec73b165d16d8dd516851e17b4244a724a8dcf17640b1719a1da76e28a002","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Controlled register for decision effects."
"DACR-0016","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/DECISION_TO_FINDING_CROSSWALK_V1_1_0.csv","Decision-to-finding crosswalk V1.1.0","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Maps Founder decisions to open validation gaps, retained capabilities, provider gates, and remediation evidence requirements.","Rows map ES-TA-FD decisions to PRF families and gate evidence","SUPPORTING","INTEGRATED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/DECISION_TO_FINDING_CROSSWALK_V1_1_0.csv","external crosswalk","NO","GOVERNING_CONSTRAINT","Requires CGP-005 appendix before affected CGP-006 drafting","ES-CG-10;ES-CG-13;ES-CG-01","FREEZE_APPENDIX_REQUIRED","YES","cdf570f949efee5f9fe3bc88c4af8435138aeee76bb082466d10b3348e7fb58d","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Evidence and remediation mapping affects drafting questions and validation treatment."
"DACR-0017","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/PROPOSED_REMEDIATION_SEQUENCE_V1_1_0.md","Proposed remediation sequence V1.1.0","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Establishes remediation sequence and dependencies that constrain implementation planning and pilot-readiness work.","Revised Remediation Sequence; related decisions per PRF family","SUPPORTING","INTEGRATED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/PROPOSED_REMEDIATION_SEQUENCE_V1_1_0.md","external remediation sequence","NO","GOVERNING_CONSTRAINT","Requires CGP-005 appendix before affected CGP-006 drafting","ES-CG-13;ES-CG-10;later guides","FREEZE_APPENDIX_REQUIRED","YES","da05ab1260471e06fb6df9fa9e097cd73d34743c6955ce26b328f39492ddc92e","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Sequencing is governance authority with implementation-planning effect."
"DACR-0018","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_CHANGE_LOG_V1_1_0.md","Founder decision change log V1.1.0","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_ONLY","Records changes from predecessor packet and supports supersession review without independently imposing requirements.","Change log from predecessor packet","SUPPORTING","INTEGRATED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","predecessor decision packet","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_CHANGE_LOG_V1_1_0.md","external change log","NO","SUPPORTING_EVIDENCE","Context for authority delta","ES-CG-01;ES-CG-13","IMPACT_REVIEW_REQUIRED","YES","022dd34cf096b33d1419f6a58f2054be5998fdce93f275465ab0a3edb281b201","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Escalates if used to change supersession or controlling status."
"DACR-0019","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_PACKAGE_SOURCE_REGISTER.md","Founder decision package source register","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","CUSTODY_EVIDENCE","CUSTODY_ONLY","Records source custody, expected hashes, source limitations, and drift context.","Source artifacts table and repository drift context","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_PACKAGE_SOURCE_REGISTER.md","external source register","NO","SUPPORTING_EVIDENCE","Custody and drift context","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","000cc589e8493f2d5405e7f096a3bf59a65351ac8b3bdca3e097ea2ffadb6ed4","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Source limitations are explicit; not a fresh technical audit."
"DACR-0020","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_PACKAGE_VALIDATION_REPORT.md","Founder decision package validation report","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","CUSTODY_EVIDENCE","CUSTODY_ONLY","Validates source custody, output completeness, Founder disposition coverage, modified-decision consistency, and non-runtime boundary.","Validation result FOUNDER_DECISIONS_ES_TA_FD_001_008_READY_FOR_REPOSITORY_DOCUMENTARY_INTEGRATION","SUPPORTING","INTEGRATED","REVIEW_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_PACKAGE_VALIDATION_REPORT.md","external validation report","NO","SUPPORTING_EVIDENCE","Validation evidence","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","81a8fd262f1f536d8156c2942aeb948dffd33e983fec890f283e7f92a192d39f","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","No runtime files, test-baseline entries, or provider settings modified."
"DACR-0021","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_PACKAGE_MANIFEST.json","Founder decision package manifest","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","CUSTODY_EVIDENCE","CUSTODY_ONLY","Lists package files, package ID, status, integration context, and non-authorization boundaries.","Manifest files array and non_authorization list","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_PACKAGE_MANIFEST.json","external package manifest","NO","SUPPORTING_EVIDENCE","Package completeness","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","cdfc702a8415326889747325cdb917dc1b17cfead37c58e71a60ca179e97ce4d","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Machine-readable custody manifest."
"DACR-0022","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_PACKAGE_SHA256SUMS.txt","Founder decision package checksum ledger","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","CUSTODY_EVIDENCE","CUSTODY_ONLY","Records package peer-file checksums; proves exact bytes for PR #23 package files except ledger self-hash.","FOUNDER_DECISION_PACKAGE_SHA256SUMS.txt; ledger file hash computed in this package","SUPPORTING","INTEGRATED","NOT_APPLICABLE","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/FOUNDER_DECISION_PACKAGE_SHA256SUMS.txt","external checksum ledger","NO","SUPPORTING_EVIDENCE","Checksum evidence","REFERENCE_ONLY","CUSTODY_REFRESH_ONLY","NO","6f3302a7159e767be8ef6c68fd396749365e67e63f266d0b92e03a0831772d23","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Self-hash computed separately for current package evidence."
"DACR-0023","ES-TA-FD-001","Zero unresolved P0 and node-level retained baseline control","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Creates pilot-entry gate and implementation acceptance criterion for retained test failures and errors.","Founder approval record; decision register; packet final disposition","CONTROLLING","APPROVED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/","decision packet source","NO","GOVERNING_CONSTRAINT","Testing and pilot readiness","ES-CG-10;ES-CG-13;ES-CG-00;ES-CG-01","FREEZE_APPENDIX_REQUIRED","YES","","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Both pilot governance gate and acceptance criterion."
"DACR-0024","ES-TA-FD-002","Fail-closed tenant, barn, actor, context, and capability authorization","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Imposes mandatory architecture and implementation constraint for access and mutation authorization.","Founder approval record; decision register; packet final disposition","CONTROLLING","APPROVED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/","decision packet source","NO","GOVERNING_CONSTRAINT","Engineering authority and later identity/authorization guides","ES-CG-01;ES-CG-13;later ES-CG-03;ES-CG-05;ES-CG-06","FREEZE_APPENDIX_REQUIRED","YES","","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Cross-barn mutation denied by default."
"DACR-0025","ES-TA-FD-003","Durable notification delivery with observable failures","Technical Audit Founder Decisions","ES-TA-FD-001-008-V1.1.0","GOVERNANCE_AUTHORITY","GOVERNANCE_WITH_NORMATIVE_EFFECT","Creates mandatory delivery architecture constraint and prohibits untracked fire-and-forget notification delivery.","Founder approval record; decision register; packet final disposition","CONTROLLING","APPROVED","FOUNDER_APPROVED","NOT_APPLICABLE","V1.1.0","","","governance/implementation/technical-audit/founder-decisions/ES-TA-FD-001-008-V1.1.0/","decision packet source","NO","GOVERNING_CONSTRAINT","Testing, evidence, APIs, operations","ES-CG-10;ES-CG-13;later ES-CG-06;ES-CG-11","FREEZE_APPENDIX_REQUIRED","YES","","","3eb6825091241709f255b8ccf296987fa9b20724","4afe3ccd84d9f8be1bc5c79bb27068676d993a70","Live provider activation remains separately controlled."
