scenario_id,classification,authority_effect,change_type,materiality,freeze_effect,required_action,validation_required,drafting_may_continue,implementation_may_continue,approval_required,escalation_required,notes
SCN-011,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,FOUNDER_APPROVAL_CHANGED,MATERIAL,IMPACT_REVIEW,"Review approval delta and controlling effect; append or amend as required.",approval;authority_review,NO_UNTIL_REVIEWED,NO_UNTIL_REVIEWED,Founder approval,YES,"Founder approval changed."
SCN-012,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,ADOPTION_STATUS_CHANGED,MATERIAL,CGP_005_AMENDMENT,"Stop if adoption changes controlling source set; amend freeze if selected source authority changed.",adoption;source_freeze,NO,NO,Founder approval,YES,"Adoption status changed."
SCN-013,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,CONTROLLING_STATUS_CHANGED,MATERIAL,CGP_005_AMENDMENT,"Stop affected work; amend freeze or resolve controlling-source identity.",controlling_status;source_freeze,NO,NO,Founder approval,YES,"Controlling status changed."
SCN-014,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,SUPERSESSION_STATUS_CHANGED,MATERIAL,IMPACT_REVIEW,"Determine source replacement effect and whether selected source became historical.",supersession;source_freeze,NO_UNTIL_REVIEWED,NO_UNTIL_REVIEWED,Founder approval,YES,"Supersession status changed."
SCN-015,GOVERNANCE_AUTHORITY,GOVERNANCE_ONLY,TECHNICAL_AUDIT_FINDING_ADDED,MATERIAL_IF_PILOT_OR_ACCEPTANCE_AFFECTED,IMPACT_REVIEW,"Review severity, pilot relevance, acceptance criteria, and affected guides.",finding_register;authority_review,NO_UNTIL_REVIEWED,NO_UNTIL_REVIEWED,Review approval,YES,"Technical-audit finding added."
SCN-016,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,TECHNICAL_AUDIT_DISPOSITION_ADDED,MATERIAL,CGP_005_APPENDIX,"If disposition imposes constraints, add governing constraint appendix and refresh CGP-006.",authority_review;source_freeze_appendix,NO_UNTIL_APPENDIX,NO_UNTIL_AFFECTED_CONSTRAINTS_SATISFIED,Founder approval,YES,"Technical-audit disposition added."
SCN-017,CUSTODY_EVIDENCE,CUSTODY_ONLY,CUSTODY_MANIFEST_ADDED,NON_MATERIAL,CUSTODY_REFRESH,"Verify manifest consistency and no source identity change.",manifest;checksum,YES,YES_IF_NO_AUTHORITY_CHANGE,Not required,NO,"Custody manifest added."
SCN-018,CUSTODY_EVIDENCE,CUSTODY_ONLY,MANIFEST_CORRECTED,MATERIAL_IF_SOURCE_IDENTITY_CHANGES,CUSTODY_REFRESH,"Verify correction; escalate if source membership, hash, or controlling identity changed.",manifest;checksum,YES_IF_VERIFIED,YES_IF_VERIFIED,Not required unless authority changed,CONDITIONAL,"Manifest corrected."
SCN-019,CUSTODY_EVIDENCE,CUSTODY_ONLY,CHECKSUM_LEDGER_REGENERATED_IDENTICAL_BYTES,NON_MATERIAL,CUSTODY_REFRESH,"Verify peer hashes and ledger generation treatment.",checksum,YES,YES_IF_NO_AUTHORITY_CHANGE,Not required,NO,"Checksum ledger regenerated with identical underlying bytes."
SCN-020,CUSTODY_EVIDENCE,CUSTODY_ONLY,CHECKSUM_LEDGER_CHANGED_SOURCE_BYTES,MATERIAL,STOP,"Stop; identify underlying source-byte change and reclassify as normative or governance impact.",checksum;source_freeze,NO,NO,Founder approval if authority changed,YES,"Checksum ledger changed because source bytes changed."
SCN-021,NORMATIVE_AUTHORITY,DIRECT_NORMATIVE_EFFECT,EXACT_BYTE_CANONICAL_COPY,NON_MATERIAL_IF_VERIFIED,CUSTODY_REFRESH,"Verify exact bytes, canonical path, manifests, and duplicate-authority risk.",checksum;manifest;duplicate_authority,YES_IF_VERIFIED,NO_UNLESS_ALREADY_AUTHORIZED,Not required if exact-byte verified,NO,"Exact-byte artifact copied to canonical path."
SCN-022,CUSTODY_EVIDENCE,CUSTODY_ONLY,REPOSITORY_RECEIPT_ADDED,NON_MATERIAL,CUSTODY_REFRESH,"Verify receipt commit, branch, PR, and no source authority changes.",receipt;git,YES,YES_IF_NO_AUTHORITY_CHANGE,Not required,NO,"Repository receipt added."
SCN-023,HISTORICAL_REFERENCE,HISTORICAL_ONLY,HISTORICAL_ARCHIVE_ADDED,NON_MATERIAL,NONE,"Record lineage and verify no current controlling claim.",manifest;authority_conflict,YES,YES,Not required,NO,"Historical archive added."
SCN-024,CUSTODY_EVIDENCE,CUSTODY_ONLY,SOURCE_REGISTER_CORRECTED,MATERIAL_IF_SOURCE_IDENTITY_CHANGES,CUSTODY_REFRESH,"Verify correction; escalate if controlling-source identity changed.",source_register;checksum,YES_IF_VERIFIED,YES_IF_VERIFIED,Not required unless authority changed,CONDITIONAL,"Source register corrected."
SCN-025,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,SOURCE_REGISTER_CHANGES_CONTROLLING_SOURCE,MATERIAL,CGP_005_AMENDMENT,"Stop; amend freeze or resolve authority conflict.",source_register;source_freeze;authority_conflict,NO,NO,Founder approval,YES,"Source register changes controlling-source identity."
SCN-026,CUSTODY_EVIDENCE,CUSTODY_ONLY,BASELINE_COMMIT_CHANGED,MATERIAL_IF_AUTHORIZED_BASELINE_CHANGES,IMPACT_REVIEW,"Compare authorized baseline to current head and create change-impact receipt.",git;classification_register,NO_UNTIL_RECEIPT,NO_UNTIL_RECEIPT,Review approval,YES,"Baseline commit changed."
SCN-027,NORMATIVE_AUTHORITY,DIRECT_NORMATIVE_EFFECT,CGP005_SOURCE_SET_MEMBERSHIP_CHANGED,MATERIAL,CGP_005_AMENDMENT,"Stop; amend source freeze and regenerate affected records.",source_freeze;manifest;checksum,NO,NO,Founder approval,YES,"CGP-005 source-set membership changed."
SCN-028,NORMATIVE_AUTHORITY,DIRECT_NORMATIVE_EFFECT,CGP005_SOURCE_HASH_CHANGED,MATERIAL,CGP_005_AMENDMENT,"Stop; resolve source hash change and amend or correct freeze.",source_freeze;checksum,NO,NO,Founder approval,YES,"CGP-005 source hash changed."
SCN-029,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,CGP006_LATER_HEAD,UNDETERMINED,CGP_006_INPUT_REFRESH,"Run classification-aware drift review before resuming candidate drafting.",git;classification_register;impact_matrix,NO_UNTIL_REFRESH,NO_UNTIL_REVIEWED,Review approval,YES,"CGP-006 begins from a later default-branch head."
SCN-030,UNCLASSIFIED,UNDETERMINED,UNCLASSIFIED_ARTIFACT_CHANGED,UNDETERMINED,STOP,"Fail closed; classify artifact and resolve authority before proceeding.",classification_register;authority_review,NO,NO,Founder approval if authority bearing,YES,"Unclassified artifact changed."
SCN-031,UNCLASSIFIED,UNDETERMINED,DUPLICATE_CONTROLLING_ARTIFACTS_DETECTED,UNDETERMINED,STOP,"Stop; resolve controlling authority conflict and supersession.",authority_conflict;supersession,NO,NO,Founder approval,YES,"Duplicate controlling artifacts detected."
