issue_id,issue,classification,blocking,owner,due_date,closure_criteria,next_action
T1R2-EXT-F-13,External review finding F-13,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-14,External review finding F-14,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-15,External review finding F-15,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-16,External review finding F-16,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-17,External review finding F-17,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-18,External review finding F-18,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-19,External review finding F-19,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-20,External review finding F-20,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-21,External review finding F-21,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-22,External review finding F-22,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-23,External review finding F-23,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-24,External review finding F-24,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-25,External review finding F-25,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-26,External review finding F-26,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-27,External review finding F-27,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
T1R2-EXT-F-28,External review finding F-28,REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,SEE_EXTERNAL_REVIEW_REGISTER,FOUNDER_APPOINTMENT_REQUIRED,FOUNDER_REVIEW_DATE_PLUS_14_DAYS,"Validator pass, Founder acceptance of disposition, or explicit retained-gap decision.",Review disposition register.
