finding_id,severity,external_review_finding,round_2_disposition,authority_effect,merge_effect,founder_review_needed,evidence_path
F-11,S2,Source dashboard counts were wrong.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-12,S2,Findings register contained schema examples rather than findings.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-13,S2,Finding duplicate/staleness analysis contradicted reconciliation.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-14,S2,Test IDs implied verification where locators denied it.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-15,S2,Lifecycle had no rejection or remediation state.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-16,S2,Per-document validators and tests were removed.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-17,S3,Confidence scores lacked a rubric.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-18,S3,Version identity remained undeclared in many rows.,TRACKED_NONBLOCKING,NONE,MERGE_NOT_AUTHORIZED,YES,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-19,S3,Byte-identical files carried divergent versions.,TRACKED_NONBLOCKING,NONE,MERGE_NOT_AUTHORIZED,YES,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-20,S3,Adoption-evidence labels could conflict with NOT_ADOPTED.,REMEDIATED_BY_RELABELLING,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-21,S3,Review calendar scheduled vacant roles.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-22,S3,Unresolved issue register understated open population.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-23,S3,Audit criteria were not area-specific.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-24,S3,Decision consequences were boilerplate.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-25,S3,Workstream rows omitted available GitHub data.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-26,S3,No bidirectional traceability or design tier.,REMEDIATED_AS_NOT_ESTABLISHED_FIELDS,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-27,S4,Principal narrative was too thin.,REMEDIATED,NONE,MERGE_NOT_AUTHORIZED,NO_FOR_DOCUMENTARY_REMEDIATION,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
F-28,S4,Validation remained single-host and unsigned.,TRACKED_NONBLOCKING,NONE,MERGE_NOT_AUTHORIZED,YES,EXTERNAL_REVIEW/EQUINESYNC_T1_RR2_EXTERNAL_STANDARDS_BENCHMARK_REVIEW.md
