artifact_id,artifact_name,artifact_class,primary_portfolio_position,dependent_positions,component,lifecycle_status,founder_approval_status,implementation_authority,supersedes,superseded_by,path
ES-PIA-RELATIONSHIPS-DELEGATED-AUTHORITY-V1.1.0,Relationships and Delegated Authority PIA Revised Candidate,PIA_COMPONENT_PACKAGE,03,01,A,REVISED_CANDIDATE_PENDING_FOUNDER_DECISIONS_AND_STRUCTURED_REVIEW,CURRENT_TEXT_NOT_FOUNDER_APPROVED_UNDERLYING_DESIGN_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/frozen_predecessor/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0.zip!EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/inputs/relationships/EquineSync_Relationships_PIA_V1_1_0_Revised_Candidate.zip
ES-REL-PRE-RATIFICATION-COMPLETION-V1.0.0,Relationships Pre-Ratification Completion,PIA_COMPONENT_PACKAGE,03,01,A,CONDITIONALLY_READY_FOR_BOUNDED_RATIFICATION_REVIEW,FORMAL_TEXT_NOT_RATIFIED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/frozen_predecessor/EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0.zip!EquineSync_Identity_Relationships_Controlled_Multi_Thread_Review_Handoff_V1_0_0/inputs/relationships/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0.zip
ES-PIA-IDENTITY-ONBOARDING-V1.0.0,Identity PIA V1.0.0 predecessor reference,HISTORICAL_SUPERSEDED,01,NONE,PRIMARY_PREDECESSOR,HISTORICAL_SUPERSEDED_REFERENCE,NOT_CONTROLLING,FALSE,NONE,ES-PIA-IDENTITY-ONBOARDING-V1.1.0,reference-only://Identity-PIA-V1.0.0
ES-REM-2026-001,Identity and Relationships Bounded Documentary Remediation,CROSS_PIA_REMEDIATION_PACKAGE,01,03,CROSS_PIA,SUCCESSOR_CANDIDATE_PACKAGE_COMPLETE_PENDING_FRESH_SEGREGATED_REVIEW,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001
ES-REV-2026-002,Identity and Relationships Controlled Review Result,CROSS_PIA_REVIEW_PACKAGE,01,03,CROSS_PIA,BOUNDED_REMEDIATION_REQUIRED,NO_APPROVAL_EFFECT,FALSE,NONE,NONE,governance/founder_orchestrated_review/temporary_non_agent_fallback/FORA-NONAGENT-FALLBACK-2026-001/reviews/ES-REV-2026-002
ADR-IDENTITY-001,ADR-IDENTITY-001 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,01,03,PRIMARY,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-001_FORMAL.md
ADR-IDENTITY-002,ADR-IDENTITY-002 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,01,03,PRIMARY,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-002_FORMAL.md
ADR-IDENTITY-003,ADR-IDENTITY-003 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,01,03,PRIMARY,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-003_FORMAL.md
ADR-IDENTITY-004,ADR-IDENTITY-004 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,01,03,PRIMARY,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md
ADR-IDENTITY-005,ADR-IDENTITY-005 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,01,03,PRIMARY,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md
ADR-IDENTITY-006,ADR-IDENTITY-006 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,01,03,PRIMARY,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md
ADR-IDENTITY-007,ADR-IDENTITY-007 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,01,03,PRIMARY,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md
ADR-REL-001,ADR-REL-001 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,03,01,A,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-001_FORMAL.md
ADR-REL-002,ADR-REL-002 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,03,01,A,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-002_FORMAL.md
ADR-REL-003,ADR-REL-003 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,03,01,A,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-003_FORMAL.md
ADR-REL-004,ADR-REL-004 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,03,01,A,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-004_FORMAL.md
ADR-REL-005,ADR-REL-005 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,03,01,A,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-005_FORMAL.md
ADR-REL-006,ADR-REL-006 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,03,01,A,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-006_FORMAL.md
ADR-REL-007,ADR-REL-007 formal candidate,SUBORDINATE_ADR_OR_CONTRACT,03,01,A,PENDING_FRESH_REVIEW_AND_RATIFICATION,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_adrs/relationships/ADR-REL-007_FORMAL.md
AUTHORIZATION_INTERFACE_PIA_CANDIDATE,Authorization Interface PIA Candidate,PIA_COMPONENT_PACKAGE,03,01,B,PROPOSED_NOT_APPROVED,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_contracts/AUTHORIZATION_INTERFACE_PIA_CANDIDATE.md
IDENTITY_AUTHORIZATION_CONTRACT,Identity-Authorization Contract,SUBORDINATE_ADR_OR_CONTRACT,01,03,CROSS_BOUNDARY,PROPOSED_NOT_APPROVED,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_contracts/IDENTITY_AUTHORIZATION_CONTRACT.md
IDENTITY_PROTECTED_PARTICIPANT_CONTRACT,Identity-Protected Participant Contract,SUBORDINATE_ADR_OR_CONTRACT,01,08,CROSS_BOUNDARY,PROPOSED_NOT_APPROVED,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_contracts/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md
IDENTITY_RELATIONSHIPS_CONTRACT,Identity-Relationships Contract,SUBORDINATE_ADR_OR_CONTRACT,01,03,CROSS_BOUNDARY,PROPOSED_NOT_APPROVED,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_contracts/IDENTITY_RELATIONSHIPS_CONTRACT.md
RELATIONSHIPS_AUTHORIZATION_CONTRACT,Relationships-Authorization Contract,SUBORDINATE_ADR_OR_CONTRACT,03,01,CROSS_BOUNDARY,PROPOSED_NOT_APPROVED,NOT_FOUNDER_APPROVED,FALSE,NONE,NONE,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/candidate_contracts/RELATIONSHIPS_AUTHORIZATION_CONTRACT.md
ES-PKG-2026-003-V002,Stage 2 Execution Baseline Successor,ENGINEERING_WORK_PACKAGE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,EXECUTION_BASELINE_SUCCESSOR_PACKAGE,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,docs/implementation/STAGE_2_EXECUTION_BASELINE/ES-PKG-2026-003-V002
ES-PKG-2026-004-V003-CANDIDATE-003,Stage 2A Execution Foundation CANDIDATE-003,MIAP_CROSS_CUTTING_PROFILE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,MIAP_CROSS_CUTTING_SUCCESSOR_CHAIN,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,docs/implementation/STAGE_2A_EXECUTION_FOUNDATION/ES-PKG-2026-004-V003-CANDIDATE-003
ES-PKG-2026-004-V003-CANDIDATE-004,Stage 2A Execution Foundation CANDIDATE-004,MIAP_CROSS_CUTTING_PROFILE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,MIAP_CROSS_CUTTING_SUCCESSOR_CHAIN,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,docs/implementation/STAGE_2A_EXECUTION_FOUNDATION/ES-PKG-2026-004-V003-CANDIDATE-004
ES-PKG-2026-004-V003-CANDIDATE-005,Stage 2A Execution Foundation CANDIDATE-005,MIAP_CROSS_CUTTING_PROFILE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,MIAP_CROSS_CUTTING_SUCCESSOR_CHAIN,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,docs/implementation/STAGE_2A_EXECUTION_FOUNDATION/ES-PKG-2026-004-V003-CANDIDATE-005
ES-PKG-2026-004-V003-CANDIDATE-006,Stage 2A Execution Foundation CANDIDATE-006,MIAP_CROSS_CUTTING_PROFILE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,MIAP_CROSS_CUTTING_SUCCESSOR_CHAIN,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,docs/implementation/STAGE_2A_EXECUTION_FOUNDATION/ES-PKG-2026-004-V003-CANDIDATE-006
ES-PKG-2026-004-V003-CANDIDATE-007,Stage 2A Execution Foundation CANDIDATE-007,MIAP_CROSS_CUTTING_PROFILE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,MIAP_CROSS_CUTTING_SUCCESSOR_CHAIN,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,docs/implementation/STAGE_2A_EXECUTION_FOUNDATION/ES-PKG-2026-004-V003-CANDIDATE-007
ES-PKG-2026-004-V003-CANDIDATE-008,Stage 2A Execution Foundation CANDIDATE-008,MIAP_CROSS_CUTTING_PROFILE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,MIAP_CROSS_CUTTING_SUCCESSOR_CHAIN,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,docs/implementation/STAGE_2A_EXECUTION_FOUNDATION/ES-PKG-2026-004-V003-CANDIDATE-008
ES-PKG-2026-004-V003-CANDIDATE-009,Stage 2A Execution Foundation CANDIDATE-009,MIAP_CROSS_CUTTING_PROFILE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,MIAP_CROSS_CUTTING_SUCCESSOR_CHAIN,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,docs/implementation/STAGE_2A_EXECUTION_FOUNDATION/ES-PKG-2026-004-V003-CANDIDATE-009
ES-PKG-2026-004-V003,Stage 2A Execution Foundation V003,MIAP_CROSS_CUTTING_PROFILE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,MIAP_CROSS_CUTTING_SUCCESSOR_CHAIN,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,docs/implementation/STAGE_2A_EXECUTION_FOUNDATION/ES-PKG-2026-004-V003
STAGE2A-CANDIDATE-009-FOUNDER-CLOSURE,Stage 2A Candidate 009 Founder Finding Closure,MIAP_CROSS_CUTTING_PROFILE,NONE,01;02;03;04;05;06;07;08;09;10,CROSS_CUTTING,FINDING_CLOSURE_RECORD,FOUNDER_CLOSURE_OF_IDENTIFIED_FINDINGS_NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,stage2a/founder_closure/candidate-009
FORA-AGENT-CONFIG-V1.0.0,Founder-Orchestrated Review Agent Configuration,ASSURANCE_TOOLING,NONE,01;02;03;04;05;06;07;08;09;10,ASSURANCE,CONFIGURATION_PACKAGE,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,governance/founder_orchestrated_review/agent_config/V1.0.0
FORA-ACTIVATION,Founder-Orchestrated Review Activation,ASSURANCE_TOOLING,NONE,01;02;03;04;05;06;07;08;09;10,ASSURANCE,ACTIVATION_EVIDENCE,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,governance/founder_orchestrated_review/activation
FORA-CALIBRATION-V1.0.0,Founder-Orchestrated Review Calibration,ASSURANCE_TOOLING,NONE,01;02;03;04;05;06;07;08;09;10,ASSURANCE,CALIBRATION_EVIDENCE,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,governance/founder_orchestrated_review/calibration/V1.0.0
FORA-RUNTIME-REMEDIATION,Founder Review Runtime Remediation,ASSURANCE_TOOLING,NONE,01;02;03;04;05;06;07;08;09;10,ASSURANCE,RUNTIME_REMEDIATION_EVIDENCE,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,governance/founder_orchestrated_review/runtime_remediation
FORA-RUNTIME-REQUAL-2026-001,Founder Review Runtime Requalification,ASSURANCE_TOOLING,NONE,01;02;03;04;05;06;07;08;09;10,ASSURANCE,RUNTIME_LIMITATION_RECORDED,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,governance/founder_orchestrated_review/runtime_requalification/FORA-RUNTIME-REQUAL-2026-001
FORA-NONAGENT-FALLBACK-2026-001,Temporary Non-Agent Review Fallback,ASSURANCE_TOOLING,NONE,01;02;03;04;05;06;07;08;09;10,ASSURANCE,TEMPORARY_FALLBACK_EVIDENCE,NO_PIA_APPROVAL_EFFECT,FALSE,NONE,NONE,governance/founder_orchestrated_review/temporary_non_agent_fallback/FORA-NONAGENT-FALLBACK-2026-001
IDENTITY-CANON-V2.0,"Master Identity, Account, and Actor Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,01,03,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_APPROVED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md
RELATIONSHIP-CANON-V2.0,Master Relationship Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,03,01;02;04;08;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_APPROVED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/MASTER_RELATIONSHIP_MODEL.md
PERMISSION-CANON-V1.1,Master Permission and Access Control Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,03,01;02;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE.md
AGREEMENT-CONSENT-AUTHORIZATION-CANON-V2.1,"Master Agreement, Consent, and Authorization Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,03,01;02;04;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_SUBSEQUENTLY_LOCKED_BY_SEPARATE_RECORD,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_ADOPTED_PRE_LOCK.md
FACILITY-CANON-V2.1,Master Facility Domain Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02,01;03;04;07;09,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_FACILITY_DOMAIN_MODEL_V2_1_ADOPTED_SOURCE.md
BARN-CANON-V3.1,Master Barn Lifecycle and Operations Canon,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02,04;06;07;08,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_BARN_LIFECYCLE_V3_1_ADOPTED_SOURCE.md
BUSINESS-CANON-V2.1,Master Business Lifecycle Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02,01;03;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_BUSINESS_LIFECYCLE_V2_1_ADOPTED_SOURCE.md
ECOSYSTEM-CANON-V2.1,Master Ecosystem Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02,01;03;04;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_ECOSYSTEM_MODEL_V2_1_ADOPTED_SOURCE.md
CLAIMS-CANON-V2.0,"Master Claims, Disputes, and Authority Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,03,01;02;04;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md
RECORDS-CANON-V2.1,Master Record Stewardship and Retention Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_ADOPTED_SOURCE.md
AUDIT-CANON-V2.0,Master Audit Event and Evidence Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE.md
COMMUNICATION-CANON-V2.0,"Master Communication, Notification, and Notice Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,10,01;02;03;04;05;06;07;08;09,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_ADOPTED_SOURCE.md
PRIVACY-CANON-V2.0,Master Privacy and Data Protection Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,NONE,01;02;03;04;05;06;07;08;09;10,CANONICAL_SOURCE,FOUNDER_APPROVED_ADOPTED_AND_LOCKED,FOUNDER_APPROVED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/locks/privacy_v2_0/pre_lock/MASTER_PRIVACY_AND_DATA_PROTECTION_MODEL_V2_0_FOUNDER_APPROVED.md
EQUINE-HEALTH-CANON-V1.1,"Master Equine Health, Welfare, Medical Record, and Clinical Support Model",CONSTITUTIONAL_OR_CANONICAL_SOURCE,07,04;06;08;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_1_ADOPTED_SOURCE.md
HORSE-LIFECYCLE-CANON-V3.1,Master Horse Lifecycle and Passport Model,CONSTITUTIONAL_OR_CANONICAL_SOURCE,04,01;02;03;07;08;09;10,CANONICAL_SOURCE,ADOPTED_AND_LOCKED,FOUNDER_ADOPTED_CANONICAL_SOURCE,FALSE,NONE,NONE,docs/canon/adopted_sources/MASTER_HORSE_LIFECYCLE_V3_1_ADOPTED_SOURCE.md
