artifact_id,document_id,artifact_name,artifact_class,dependent_positions,lifecycle_status,founder_approval_status,implementation_authority,notes
PIA-ART-029,FORA-RUNTIME-REQUAL-2026-001,Founder review agent runtime requalification,ASSURANCE_TOOLING,NONE,RUNTIME_LIMITATION_RECORDED,NO_APPROVAL_EFFECT,FALSE,
PIA-ART-030,FORA-NONAGENT-FALLBACK-2026-001,Temporary non-agent controlled review fallback,ASSURANCE_TOOLING,NONE,TEMPORARY_FALLBACK_USED,NO_APPROVAL_EFFECT,FALSE,
PIA-ART-031,ES-PKG-2026-003-V002,Stage 2 execution baseline successor,ENGINEERING_WORK_PACKAGE,01,IMPLEMENTATION_PACKAGE_NOT_A_PIA,NO_PIA_APPROVAL_EFFECT,FALSE,
PIA-ART-032,ES-PIA-TEN-ITEM-PORTFOLIO,Controlling ten-item PIA portfolio,CONTROLLING_PIA_STANDARD,01;02;03;04;05;06;07;08;09;10,FOUNDER_DIRECTED_CONTROLLING_LIST,FOUNDER_DIRECTED,FALSE,
PIA-ART-034,ES-PIA-PORTFOLIO-FACILITY-HANDOFF-V1.0.0,Portfolio realignment and Facility PIA prior handoff,PIA_HANDOFF_PACKAGE,01;02;03;04;05;06;07;08;09;10,READY_FOR_CODEX_CONTINUATION,NO_APPROVAL_EFFECT,FALSE,
PIA-ART-037,GLOBAL-GOVERNANCE-V1.0,Global Governance V1.0 baseline manifest,CONSTITUTIONAL_OR_CANONICAL_SOURCE,01;02;03;04;05;06;07;08;09;10,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-038,MASTER-FACILITY-DOMAIN-V2.1,Master Facility Domain Model V2.1,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-039,MASTER-BARN-LIFECYCLE-V3.1,Master Barn Lifecycle V3.1,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;07,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-040,MASTER-BUSINESS-LIFECYCLE-V2.1,Master Business Lifecycle V2.1,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;09,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-041,MASTER-IDENTITY-ACCOUNT-ACTOR-V2.0,Identity Account and Actor Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,01;02;03,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-042,MASTER-RELATIONSHIP-MODEL-V2.0,Master Relationship Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;03,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-043,MASTER-PERMISSION-ACCESS-CONTROL-V1.1,Permission and Access-Control Model V1.1,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;03,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-044,MASTER-AGREEMENT-CONSENT-AUTHORIZATION-V2.1,Agreement Consent and Authorization Model V2.1,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;03,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-045,MASTER-PRIVACY-DATA-PROTECTION-V2.0,Privacy and Data Protection Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,01;02;03;04;05;06;07;08;09;10,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-046,MASTER-AUDIT-EVENT-EVIDENCE-V2.0,Audit Event and Evidence Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,01;02;03;04;05;06;07;08;09;10,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-047,MASTER-RECORD-STEWARDSHIP-RETENTION-V2.1,Record Stewardship and Retention Model V2.1,CONSTITUTIONAL_OR_CANONICAL_SOURCE,01;02;03;04;05;06;07;08;09;10,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-048,MASTER-COMMUNICATION-NOTIFICATION-NOTICE-V2.0,Communication Notification and Notice Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;06;10,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-049,MASTER-CLAIMS-DISPUTES-AUTHORITY-V2.0,Claims Disputes and Authority Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;03;09,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-050,MASTER-HORSE-LIFECYCLE-V3.1,Horse Lifecycle V3.1,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;04,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-051,MASTER-HORSE-TRANSFER-CONTINUITY,Horse Transfer and Continuity Policy,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;04,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-052,MASTER-PLATFORM-OPERATIONS-RELIABILITY-RELEASE-V2.0,Platform Operations Reliability and Release Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;05,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-053,MASTER-CONFIGURATION-FEATURE-FLAG-V2.0,Configuration and Feature Flag Governance Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;05,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-054,MASTER-PLATFORM-RESILIENCE-BACKUP-RECOVERY-V1.0,Platform Resilience Backup and Recovery Model V1.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;05,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-055,MASTER-SECURITY-INCIDENT-RESPONSE-DISCLOSURE-V1.0,Security Incident Response and Disclosure Model V1.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;05,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-056,MASTER-SEARCH-DISCOVERY-V2.0,Search Discovery Ranking and Retrieval Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;05,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-057,MASTER-DEVELOPER-PLATFORM-INTEGRATION-V2.0,Developer Platform and Integration Governance Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;05,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-058,MASTER-EXTERNAL-ARCHITECTURE-ADAPTER-V2.0,External Architecture and Adapter Model V2.0,CONSTITUTIONAL_OR_CANONICAL_SOURCE,02;05,CONTROLLING_OR_ADOPTED_SOURCE_REVIEW_REQUIRED,SOURCE_AUTHORITY_ONLY,FALSE,
PIA-ART-059,MASTER-ATLAS-GOVERNANCE,Master Atlas Governance,MIAP_CROSS_CUTTING_PROFILE,01;02;03;04;05;06;07;08;09;10,PROGRAM_GOVERNANCE_NOT_A_PIA,NO_PIA_APPROVAL_EFFECT,FALSE,
PIA-ART-060,MASTER-EQUINESYNC-IMPLEMENTATION-ATLAS-V1.0,Master EquineSync Implementation Atlas V1.0 adoption bundle,MIAP_CROSS_CUTTING_PROFILE,01;02;03;04;05;06;07;08;09;10,HISTORICAL_PROGRAM_IMPLEMENTATION_BASELINE_NOT_A_PIA,NO_PIA_APPROVAL_EFFECT,FALSE,
