section,canonical_heading,source_ids,requirement_ids,acceptance_ids,test_ids,decision_ids,unresolved_ids,status
12,"Record Ownership, Stewardship, Correction, and Retention","RAP-SRC-002;RAP-SRC-003;RAP-SRC-011","RAP-REQ-014;RAP-REQ-027;RAP-REQ-028","RAP-AC-012;RAP-AC-024;RAP-AC-025","RAP-TST-013;RAP-TST-026;RAP-TST-027",NONE,RAP-UNR-006,DOCUMENTED
13,State and Transition Models,"RAP-SRC-002;RAP-SRC-003","RAP-REQ-002;RAP-REQ-006;RAP-REQ-007;RAP-REQ-013;RAP-REQ-014","RAP-AC-006;RAP-AC-007;RAP-AC-012","RAP-TST-005;RAP-TST-006;RAP-TST-013",NONE,NONE,DOCUMENTED
14,Authorization and Permission Matrix,"RAP-SRC-003;RAP-SRC-007","RAP-REQ-008;RAP-REQ-009;RAP-REQ-010;RAP-REQ-011;RAP-REQ-012","RAP-AC-008;RAP-AC-009;RAP-AC-011","RAP-TST-008;RAP-TST-009;RAP-TST-012",NONE,RAP-UNR-005,DOCUMENTED
15,User Interface and Experience Requirements,"RAP-SRC-003;RAP-SRC-011","RAP-REQ-001;RAP-REQ-012;RAP-REQ-031","RAP-AC-011;RAP-AC-013","RAP-TST-012;RAP-TST-014",NONE,NONE,DOCUMENTED
16,"API, Event, Job, and Integration Contracts","RAP-SRC-003;RAP-SRC-007;RAP-SRC-011","RAP-REQ-013;RAP-REQ-018;RAP-REQ-029","RAP-AC-016;RAP-AC-026","RAP-TST-018;RAP-TST-028;RAP-TST-029;RAP-TST-030",ES-PIA-GFD-003,NONE,DOCUMENTED
17,Notifications and Communications,"RAP-SRC-004;RAP-SRC-011","RAP-REQ-012;RAP-REQ-026;RAP-REQ-027",RAP-AC-019,RAP-TST-021,ES-PIA-GFD-003,RAP-UNR-003,DOCUMENTED
18,"Files, Media, and Document Handling","RAP-SRC-004;RAP-SRC-011","RAP-REQ-001;RAP-REQ-009;RAP-REQ-014;RAP-REQ-028",RAP-AC-012,RAP-TST-013,NONE,RAP-UNR-006,PREDECESSOR_QUALIFIED
19,"Search, Reporting, and Analytics","RAP-SRC-003;RAP-SRC-008;RAP-SRC-009;RAP-SRC-012","RAP-REQ-012;RAP-REQ-028",RAP-AC-011,RAP-TST-012,ES-PIA-GFD-004,RAP-UNR-003,DOCUMENTED
20,"Offline, Device, and Synchronization","RAP-SRC-003;RAP-SRC-011","RAP-REQ-015;RAP-REQ-016;RAP-REQ-031","RAP-AC-013;RAP-AC-014","RAP-TST-014;RAP-TST-015;RAP-TST-016",NONE,RAP-UNR-004,DOCUMENTED
21,"Security, Privacy, Consent, Safeguarding, and Abuse Controls","RAP-SRC-003;RAP-SRC-004;RAP-SRC-011","RAP-REQ-005;RAP-REQ-010;RAP-REQ-011;RAP-REQ-012;RAP-REQ-028","RAP-AC-005;RAP-AC-011;RAP-AC-025","RAP-TST-004;RAP-TST-012;RAP-TST-027",NONE,"RAP-UNR-005;RAP-UNR-006",PREDECESSOR_QUALIFIED
22,AI and Automation Controls,"RAP-SRC-003;RAP-SRC-011",RAP-REQ-030,RAP-AC-027,RAP-TST-031,NONE,RAP-UNR-007,DOCUMENTED
23,"Failure Modes, Recovery, Correction, and Reconciliation","RAP-SRC-002;RAP-SRC-003;RAP-SRC-011","RAP-REQ-010;RAP-REQ-011;RAP-REQ-014;RAP-REQ-016;RAP-REQ-031","RAP-AC-009;RAP-AC-010;RAP-AC-012;RAP-AC-014","RAP-TST-009;RAP-TST-011;RAP-TST-013;RAP-TST-015",NONE,"RAP-UNR-004;RAP-UNR-005",DOCUMENTED
24,"Observability, Administration, Support, and Incident Operations","RAP-SRC-003;RAP-SRC-011","RAP-REQ-003;RAP-REQ-027;RAP-REQ-032",RAP-AC-024,RAP-TST-026,NONE,"RAP-UNR-004;RAP-UNR-007",DEFERRED_TO_IMPLEMENTATION_ATLAS
25,Nonfunctional and Quality Attribute Requirements,"RAP-SRC-001;RAP-SRC-003","RAP-REQ-010;RAP-REQ-013;RAP-REQ-027",RAP-AC-024,RAP-TST-026,NONE,RAP-UNR-004,DEFERRED_TO_IMPLEMENTATION_ATLAS
26,"Environment, Configuration, Feature Flags, and Secrets","RAP-SRC-003;RAP-SRC-011","RAP-REQ-009;RAP-REQ-010;RAP-REQ-032",RAP-AC-028,RAP-TST-032,NONE,RAP-UNR-007,DEFERRED_TO_IMPLEMENTATION_ATLAS
27,"Migration, Seed Data, and Reconciliation","RAP-SRC-001;RAP-SRC-002;RAP-SRC-003","RAP-REQ-014;RAP-REQ-032",RAP-AC-028,RAP-TST-032,NONE,RAP-UNR-007,DEFERRED_TO_IMPLEMENTATION_ATLAS
28,Engineering Work Packages and Implementation Sequence,RAP-SRC-001,RAP-REQ-032,RAP-AC-028,RAP-TST-032,NONE,RAP-UNR-007,DEFERRED_TO_IMPLEMENTATION_ATLAS
29,Acceptance Criteria,"RAP-SRC-001;RAP-SRC-003","RAP-REQ-001;RAP-REQ-036",RAP-AC-030,RAP-TST-034,NONE,RAP-UNR-002,DOCUMENTED
30,Test and Validation Matrix,"RAP-SRC-001;RAP-SRC-003","RAP-REQ-035;RAP-REQ-036",RAP-AC-030,"RAP-TST-034;RAP-TST-035;RAP-TST-036",ES-PIA-GFD-007,RAP-UNR-002,DOCUMENTED_NOT_EXECUTED
31,Golden-Path Reproduction Scenarios,"RAP-SRC-002;RAP-SRC-003;RAP-SRC-008","RAP-REQ-004;RAP-REQ-005;RAP-REQ-017;RAP-REQ-019","RAP-AC-005;RAP-AC-020","RAP-TST-004;RAP-TST-022",ES-PIA-GFD-003,"RAP-UNR-003;RAP-UNR-006",DOCUMENTED_NOT_EXECUTED
32,"Adversarial, Negative, and Abuse Scenarios","RAP-SRC-001;RAP-SRC-003;RAP-SRC-008","RAP-REQ-010;RAP-REQ-011;RAP-REQ-018;RAP-REQ-030","RAP-AC-009;RAP-AC-015;RAP-AC-027","RAP-TST-009;RAP-TST-017;RAP-TST-031",ES-PIA-GFD-003,RAP-UNR-005,DOCUMENTED_NOT_EXECUTED
33,"Evidence Requirements, Coverage, and Manifest","RAP-SRC-001;RAP-SRC-011","RAP-REQ-027;RAP-REQ-036","RAP-AC-024;RAP-AC-030","RAP-TST-026;RAP-TST-035",NONE,NONE,DOCUMENTED
34,"Deployment, Rollout, Rollback, and Release Controls",RAP-SRC-001,RAP-REQ-032,RAP-AC-028,RAP-TST-032,NONE,RAP-UNR-007,DEFERRED_TO_IMPLEMENTATION_ATLAS
35,Enrollment and Onboarding Readiness,"RAP-SRC-001;RAP-SRC-002;RAP-SRC-003","RAP-REQ-001;RAP-REQ-032;RAP-REQ-035","RAP-AC-001;RAP-AC-030","RAP-TST-001;RAP-TST-036",ES-PIA-GFD-007,"RAP-UNR-001;RAP-UNR-002;RAP-UNR-003;RAP-UNR-007",NOT_READY
36,Dependencies and Critical Path,"RAP-SRC-001;RAP-SRC-008;RAP-SRC-009;RAP-SRC-012","RAP-REQ-017;RAP-REQ-019;RAP-REQ-020;RAP-REQ-021;RAP-REQ-022;RAP-REQ-023;RAP-REQ-024;RAP-REQ-025;RAP-REQ-026;RAP-REQ-035",RAP-AC-020,RAP-TST-022,"ES-PIA-GFD-001;ES-PIA-GFD-002;ES-PIA-GFD-003;ES-PIA-GFD-004;ES-PIA-GFD-007","RAP-UNR-001;RAP-UNR-002;RAP-UNR-003",DOCUMENTED
37,"Open Decisions, Assumptions, Findings, Deviations, and Risks","RAP-SRC-005;RAP-SRC-006;RAP-SRC-007;RAP-SRC-010;RAP-SRC-011","RAP-REQ-034;RAP-REQ-035",RAP-AC-030,RAP-TST-036,ES-PIA-GFD-007,"RAP-UNR-001;RAP-UNR-002;RAP-UNR-003;RAP-UNR-004;RAP-UNR-005;RAP-UNR-006;RAP-UNR-007",DOCUMENTED_OPEN
38,Implementation Drift and As-Built Reconciliation,RAP-SRC-001,RAP-REQ-032,RAP-AC-028,RAP-TST-032,NONE,RAP-UNR-007,DEFERRED_TO_IMPLEMENTATION_ATLAS
39,Change-Control History,"RAP-SRC-001;RAP-SRC-010","RAP-REQ-033;RAP-REQ-036",RAP-AC-029,RAP-TST-033,NONE,NONE,DOCUMENTED
40,Requirement Traceability Matrix,"RAP-SRC-001;RAP-SRC-008;RAP-SRC-009","RAP-REQ-027;RAP-REQ-036",RAP-AC-030,RAP-TST-034,"ES-PIA-GFD-001;ES-PIA-GFD-002;ES-PIA-GFD-003;ES-PIA-GFD-004;ES-PIA-GFD-007",NONE,DOCUMENTED
41,Five Mandatory Readiness Questions,"RAP-SRC-001;RAP-SRC-005;RAP-SRC-006;RAP-SRC-007;RAP-SRC-008","RAP-REQ-032;RAP-REQ-034;RAP-REQ-035;RAP-REQ-036",RAP-AC-030,RAP-TST-036,ES-PIA-GFD-007,"RAP-UNR-001;RAP-UNR-002;RAP-UNR-003;RAP-UNR-004;RAP-UNR-005;RAP-UNR-006;RAP-UNR-007",DOCUMENTED
42,"Review, Approval, Authorization, and Disposition","RAP-SRC-001;RAP-SRC-008","RAP-REQ-032;RAP-REQ-035",RAP-AC-030,RAP-TST-036,ES-PIA-GFD-007,RAP-UNR-002,READY_FOR_COMPLIANT_FRESH_REVIEW_ONLY
43,"Maintenance, Supersession, and Decommissioning","RAP-SRC-001;RAP-SRC-010","RAP-REQ-014;RAP-REQ-033;RAP-REQ-036","RAP-AC-012;RAP-AC-029;RAP-AC-030","RAP-TST-013;RAP-TST-033;RAP-TST-035",NONE,RAP-UNR-007,DOCUMENTED
